record_id,state,state_abbr,state_fips,jurisdiction_name,jurisdiction_type,geographic_scope,issuing_authority,source_title,citation,source_type,effective_date,revision_date,status,binding_level,uas_topic,regulated_party,regulated_activity,requirement_type,permit_or_approval_required,public_agency_only,commercial_operator_relevance,aec_relevance,summary,practical_interpretation_aec_expert,practical_interpretation_agency_practitioner,practical_interpretation_uas_procurement_expert,practical_interpretation_legal_counsel,source_url,date_accessed,confidence_level,verification_status,notes
CA-001,California,CA,06,California,State,Statewide,California Legislature,Physical and Constructive Invasion of Privacy (drone-inclusive),Cal. Civ. Code § 1708.8,Binding law or regulation,"Amended eff. Jan. 1, 2016 (Stats. 2015 Ch. 521, AB 856)",2016,Current / in force,Binding,UAS privacy — civil invasion-of-privacy tort,Any person,"Capturing (or attempting to capture, by any device) an image/recording of a person engaging in a private, personal, or familial activity in an offensive manner",Civil liability / prohibition,No,No,High,High,"Civil Code § 1708.8 creates civil liability for (a) 'physical invasion of privacy' — knowingly entering the land or airspace above another's land without permission, or otherwise trespassing, to capture an image/recording of a person engaging in private, personal, or familial activity in an offensive manner — and (b) 'constructive invasion of privacy' — using any device, including a drone, to attempt such a capture in an offensive manner where the capture could not have been achieved without a trespass but for use of the device, regardless of physical trespass. Liability is up to 3x general/special damages plus possible punitive damages and disgorgement of commercial proceeds; a separate civil fine of $5,000-$50,000 applies for a commercial-purpose violation. Subdivision (g) exempts law-enforcement and governmental-agency personnel acting within the course of an authorized investigation supported by articulable suspicion. 'Private, personal, and familial activity' is defined in subdivision (l), generally requiring a reasonable expectation of privacy.","Even without physically trespassing, capturing offensive/private imagery via drone that could only have been obtained through trespass but for the device can trigger 'constructive invasion of privacy' liability — plan flight paths and camera framing on AEC projects to avoid capturing identifiable people engaged in private activity on adjoining residential parcels.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"This is a civil tort with treble damages, punitive damages, and a $5,000-$50,000 statutory civil fine exposure — document the professional purpose of any flight capturing imagery near residential property, and consider blurring/redaction workflows for incidentally captured individuals on adjoining private property.",https://law.justia.com/codes/california/code-civ/division-3/part-3/section-1708-8/,2026-08-01,High,"Full section text pulled directly from Justia's codification of the current California Civil Code; amendment history (Stats. 2015 Ch. 521, AB 856) confirmed in the statute's own history line.",
CA-002,California,CA,06,California,State,Statewide,California Legislature,Remaining at Scene of Emergency to Impede Personnel (drone-inclusive),Cal. Penal Code § 402,Binding law or regulation,"Amended eff. Jan. 1, 2017 (Stats. 2016 Ch. 817, AB 1680)",2017,Current / in force,Binding,UAS interference with emergency responders,Any person (expressly including a remote drone operator regardless of the operator's physical location),"Operating/using a UAS at the scene of an emergency in a manner that impedes police, fire, EMS, or military personnel performing emergency duties",Prohibition (misdemeanor),No,No,High,High,"It is a misdemeanor to go to or stop at the scene of an emergency to view the activities of emergency personnel and thereby impede those personnel, unless viewing the scene is part of the person's job duties. Subdivision (a)(2), added in 2016, expressly extends the section to 'a person, regardless of his or her location, who operates or uses an unmanned aerial vehicle, remote piloted aircraft, or drone that is at the scene of an emergency' — meaning the remote pilot need not be physically present at the scene to be liable. 'Emergency' is broadly defined to include fires, explosions, crashes, flooding, windstorm damage, railroad/traffic accidents, powerplant accidents, and toxic/biological spills.","Treat active fire, crash, or disaster scenes as an automatic no-fly for any AEC UAS mission (e.g., post-event damage/infrastructure documentation) until coordinating directly with incident command — CAL FIRE and other agencies actively enforce this provision and a remote pilot can be liable even when not physically on scene.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,Document incident-command coordination and any professional/job-duty basis for flying near an active emergency before tasking a crew; the person's-job-duties exception is narrow and does not automatically cover general infrastructure-damage assessment work absent an agency request or authorization.,https://law.justia.com/codes/california/code-pen/part-1/title-10/section-402/,2026-08-01,High,"Full section text pulled directly from Justia's codification, including the 2016 drone-specific amendment (AB 1680) reflected in the statute's history line.",
CA-003,California,CA,06,California,State,Statewide,California Legislature,Unmanned Aircraft — Public Entity/Employee Immunity for Damage to Interfering Drones,"Cal. Gov't Code §§ 853-853.5 (Ch. 4.5, Unmanned Aircraft)",Binding law or regulation,Current,Unknown,Current / in force,Binding,Public-entity civil immunity re: UAS interference with emergency services,Local public entities and their employees (immunity provision; indirectly affects UAS operators/insurers),"Damage to a UAS caused while a public entity/employee was providing emergency medical, firefighting, or search-and-rescue services that the UAS was interfering with",Civil immunity (not a direct operator prohibition),No,No,Moderate,Moderate,"A local public entity or public employee is not liable for damage to a UAS caused while providing (and the UAS was interfering with) emergency medical/ambulance services (including air ambulance), firefighting or firefighting-related services (including air services), or search-and-rescue services (including air search-and-rescue). Section 853.1 states this immunity supplements other existing immunities for emergency personnel/vehicles under California law; Section 853.5 defines 'unmanned aircraft' and 'unmanned aircraft system.'","There is no state-law recourse against a public agency (or its personnel) if your firm's UAS is damaged, disabled, or brought down while interfering with an active emergency medical, firefighting, or search-and-rescue operation — treat this as an additional, independent reason (beyond Penal Code Section 402) to maintain a strict no-fly posture near active emergency operations.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"Advise clients and insurers that equipment losses arising from interference with covered emergency services are unlikely to be recoverable from the responding public entity given this immunity; document any pre-coordinated, authorized flight near an emergency operation to distinguish it from an interfering, uncoordinated one.",https://law.justia.com/codes/california/code-gov/title-1/division-3-6/part-2/chapter-4-5/section-853/,2026-08-01,Moderate,Statute substance and citation confirmed via a secondary legal-summary aggregation of the Justia-hosted text (direct fetch of the specific Justia URL did not return page content in this pass); recommend a direct re-pull of the full Sections 853-853.5 text before final client use.,Re-verify full text directly against law.justia.com or leginfo.legislature.ca.gov before citing exact subsection language to a client.
CA-004,California,CA,06,California,State,"Statewide — state prisons, jails, juvenile facilities",California Legislature,"Unauthorized Operation of Unmanned Aircraft System Over Prison, Jail, or Juvenile Facility",Cal. Penal Code § 4577,Binding law or regulation,"Jan. 1, 2019 (Stats. 2018 Ch. 333, SB 1355)",None located,Current / in force,Binding,Corrections-facility UAS restriction,Any person operating a UAS,"Knowingly and intentionally operating a UAS on or above the grounds of a state prison, jail, or juvenile hall/camp/ranch",Prohibition (infraction),No (listed exemptions: employment-scope operation or prior agency permission),No,High near facilities,Moderate,"A person who knowingly and intentionally operates a UAS on or above the grounds of a state prison, county jail, or juvenile hall/camp/ranch is guilty of an infraction punishable by a $500 fine. Exempt: a person employed by the prison/jail/juvenile facility operating within the scope of employment, or a person with prior permission from CDCR (state prisons), the county sheriff (jails), or the county department operating the facility (juvenile facilities).","Identify any state prison, county jail, or juvenile detention facility near a project site during pre-flight planning; obtain prior written permission from CDCR, the county sheriff, or the operating county department before flying on or above facility grounds for AEC work (e.g., infrastructure inspection, corridor mapping).",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"This is a low-level infraction (not a misdemeanor/felony), but document the prior-permission exemption relied upon for any flight over or above a covered facility's grounds given the facility-security sensitivity involved.",https://law.justia.com/codes/california/code-pen/part-3/title-5/chapter-3/section-4577/,2026-08-01,High,"Full section text pulled directly from Justia's codification, including the SB 1355 enactment citation and exemption structure.",
CA-005,California,CA,06,California,State,Statewide (wildlife generally),California Fish and Game Commission / Dept. of Fish and Wildlife,Prohibition on Using Aircraft (Including Drones) to Pursue or Harass Wildlife,14 Cal. Code Regs. §§ 251 and 251.1,Binding administrative regulation,Current,Unknown,Current / in force,Binding,Wildlife-related UAS restriction,Any person,"Using a UAS (or other aircraft/device capable of flight) to pursue, drive, herd, take, or harass game/nongame birds or mammals; locating big-game mammals within 48 hours of a big-game season",Prohibition,No,No,Moderate,Moderate,"14 CCR Section 251 prohibits pursuing, driving, herding, or taking any bird or mammal from a motor-driven air vehicle, and separately bars using any motorized, hot-air, or unpowered aircraft or other flight-capable device (including an earth-orbiting imaging device) to locate or assist in locating big-game mammals from 48 hours before through 48 hours after any big-game season. 14 CCR Section 251.1 separately prohibits harassing (defined as an intentional act disrupting an animal's normal behavior patterns, including breeding, feeding, or sheltering) any game or nongame bird, mammal, or furbearing mammal by drone or otherwise.","Plan environmental-monitoring, habitat-mapping, or resource-inventory UAS flights to avoid disrupting normal wildlife behavior (breeding, feeding, sheltering) and avoid any use that could be read as locating big-game animals near a hunting season window.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"Document the survey/mapping purpose of any UAS flight over wildlife habitat to distinguish it from a 'harassment' or wildlife-location use; the 'harassment' standard is judgment-based, so build a conservative altitude/standoff buffer into standard operating procedure near known wildlife concentrations.",https://www.airsight.com/learn/airspace-security/drone-laws-rules-and-regulations/california,2026-08-01,Moderate,"Substance and citations (14 CCR Sections 251, 251.1) confirmed via a secondary industry-compliance summary; the exact current regulatory text was not independently re-pulled from the Office of Administrative Law's CCR database in this pass.",Recommend direct verification against the current 14 CCR text via the OAL California Code of Regulations database before citing exact regulatory language to a client.
CA-006,California,CA,06,California,State,Statewide (CDFW-administered lands),California Department of Fish and Wildlife,Special Use Permit Requirement for UAS Operation on CDFW-Administered Lands,14 Cal. Code Regs. § 550,Binding administrative regulation,Current,Unknown,Current / in force,Binding,Wildlife-area UAS restriction,Any person,"Operating a UAS on land administered by CDFW (wildlife areas, ecological reserves)",Permit required,Yes — CDFW Special Use Permit,No,Moderate,Moderate,14 CCR Section 550 bars operating a UAS on CDFW-administered land (wildlife areas and ecological reserves) except under a Special Use Permit issued by the Department.,"Treat any CDFW wildlife area or ecological reserve the same as a state park for launch/land/operate purposes — apply for a Special Use Permit before staging environmental-monitoring or habitat-mapping work on CDFW land, and build permit lead time into project scheduling.","Contact the official or office designated by the cited authority before fixing mobilization dates. Request the current form, documentation checklist, fees, submission route, and processing estimate; retain the issued approval and all site-specific conditions with the flight record.",N/A — no procurement or equipment-selection implication identified,Retain the CDFW Special Use Permit in the project file for any UAS work on CDFW-administered land; confirm current permit requirements directly with CDFW given the secondary-source citation noted below.,https://www.airsight.com/learn/airspace-security/drone-laws-rules-and-regulations/california,2026-08-01,Low,Citation and substance sourced from a secondary industry-compliance summary; not independently verified against the Office of Administrative Law's CCR database in this pass.,Recommend direct verification against the current 14 CCR Section 550 text before citing to a client.
CA-007,California,CA,06,California,State,Statewide (state park wilderness/natural/cultural preserves),California Department of Parks and Recreation,"Prohibition on Motorized Equipment (Including UAS) in Wilderness Areas, Natural Preserves, and Cultural Preserves",14 Cal. Code Regs. § 4351,Binding administrative regulation,Current,Unknown,Current / in force,Binding,State park UAS restriction,Any person,"Operating a UAS (as motorized equipment) within a designated wilderness area, natural preserve, or cultural preserve",Prohibition,No,No,Moderate,Moderate,"State Park regulations prohibit the use of motorized equipment, including UAS, within wilderness areas, cultural preserves, and natural preserves, regardless of any park-specific posted order. This is confirmed directly on California State Parks' own published UAS guidance document.","Check the classification of any state park unit (wilderness area, natural/cultural preserve, or standard park unit) before planning a launch or flight path — this blanket ban applies statewide regardless of a park's individual posted orders.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"Document the park-unit classification consulted before authorizing a flight in or near a state park; this is a hard statewide prohibition in covered zones, not a discretionary permit process.",https://www.parks.ca.gov/pages/937/files/csp_uas.pdf,2026-08-01,High,"Confirmed directly from California State Parks' own published 'Unmanned Aircraft Systems (Drones) in State Parks' guidance document, which itself cites 14 CCR Section 4351.",
CA-008,California,CA,06,California,State,Statewide (state park units generally),California Department of Parks and Recreation,Commercial / Research / Public-Agency UAS Operation in State Parks — Permit and FAA-Authorization Documentation Requirements,California State Parks UAS guidance ('Unmanned Aircraft Systems (Drones) in State Parks'); Cal. Code Regs. tit. 14 § 4316 (commercial photography/filming permit),Official agency policy,Current,Unknown,Current / in force,Official agency policy (permit-backed),UAS restriction / permit requirement in state park units,"Commercial, research, and public-agency UAS operators","Operating a UAS for commercial, research, or governmental purposes within a state park unit","Permit required (Special Event, Right of Entry, scientific collection (DPR 65), or Film Commission permit, as applicable)",Yes — permit type depends on the nature of the operation,No,High,High,"Drones are generally allowed in State Parks, State Beaches, State Historic Parks, State Recreation Areas, and State Vehicular Recreation Areas except where prohibited by a District Superintendent's posted order (issued for reasons such as species protection, cultural/natural resource protection, fire danger, public safety, or visitor-experience/privacy concerns) — drone users should always check with the local State Park District for unit-specific posted orders. Commercial drone use additionally requires a permit; commercial operators must submit their FAA authorization to the relevant State Park District, and depending on the proposed use the District Superintendent may require a Special Event permit, Right of Entry permit, or other approval; commercial photography/filming within a state park separately requires a California Film Commission permit (14 CCR Section 4316). Research UAS use requires FAA approval and a submitted copy to the District, plus a DPR 65 scientific collection permit for any scientific research/survey. Public-agency UAS use requires submission of the operator's FAA Certificate of Waiver or Authorization (COA) to the District.","Before any state-park AEC UAS work (environmental documentation, resource inventory, corridor/trail assessment), check for unit-specific posted orders with the local District, and route the FAA authorization plus the applicable permit (Special Event, Right of Entry, DPR 65 scientific collection, or Film Commission permit) through the District Superintendent well in advance of mobilization.","Contact the official or office designated by the cited authority before fixing mobilization dates. Request the current form, documentation checklist, fees, submission route, and processing estimate; retain the issued approval and all site-specific conditions with the flight record.",N/A — no procurement or equipment-selection implication identified,"Retain the FAA authorization submission and the specific park-issued permit in the project file; confirm which permit track applies (commercial vs. research vs. public-agency) since the required documentation differs by category, and don't assume FAA Part 107 certification alone satisfies the state park's own permit process.",https://www.parks.ca.gov/pages/937/files/csp_uas.pdf,2026-08-01,High,Confirmed directly from California State Parks' own published UAS guidance document (primary agency source).,
CA-009,California,CA,06,California,State,Statewide (State Highway System right-of-way),California Department of Transportation (Caltrans),Encroachment Permit Requirement for UAS Operations Within the State Highway System Right-of-Way,Caltrans Encroachment Permits Manual § 516.9; Standard Encroachment Permit Application (TR-0100),Official agency policy (permit-backed),Current,Unknown,Current / in force,Permit or property-use requirement,UAS operation within Caltrans right-of-way,"Any person launching, landing, or operating a UAS from within the State Highway System right-of-way","Launching, landing, or operating a UAS within Caltrans right-of-way, or entering the right-of-way to conduct UAS-related activities",Permit required,Yes — Caltrans encroachment permit,No,High,High,"Operating a UAS from within the State Highway System (SHS) right-of-way requires a Caltrans encroachment permit; this applies before launching, landing, or entering the SHS right-of-way to operate or participate in UAS-related activities, regardless of where the remote pilot, visual observer, or support personnel are physically located or where the aircraft is actually flown. Encroachment permit requests are considered only when associated with authorized construction work or other permitted activities such as commercial filming, special events, surveys, or accident reconstruction; UAS operations for recreational, private, or general business purposes are not allowed within the SHS right-of-way. Caltrans contractors/consultants must additionally coordinate UAS use on current Caltrans projects with the Division of Aeronautics and the project's Caltrans contract/project coordinator. Caltrans notes the FAA has exclusive regulatory authority over UAS operations and civilian airspace, but the encroachment permit is a separate, additional state/property-access requirement.","For any highway/bridge corridor survey, mapping, or inspection project, submit the Standard Encroachment Permit Application (TR-0100) to the local District Encroachment Permits Office well before mobilization, and separately coordinate with the Division of Aeronautics and the Caltrans project/contract coordinator on Caltrans-scoped task orders.","Contact the official or office designated by the cited authority before fixing mobilization dates. Request the current form, documentation checklist, fees, submission route, and processing estimate; retain the issued approval and all site-specific conditions with the flight record.",N/A — no procurement or equipment-selection implication identified,"Confirm the encroachment permit is in hand — not merely applied for — before authorizing any launch, landing, or right-of-way entry for UAS purposes; document that the underlying activity (survey, construction-related work, accident reconstruction) fits within the categories Caltrans will actually consider for a permit, since recreational/general business UAS use in the right-of-way is categorically excluded.",https://dot.ca.gov/programs/aeronautics/unmanned-aircraft-systems,2026-08-01,High,Confirmed directly from Caltrans' own official UAS webpage (primary agency source); the full Encroachment Permits Manual Section 516.9 text was not independently pulled in this pass.,
CA-010,California,CA,06,California,State,Statewide,"California Legislature / Board for Professional Engineers, Land Surveyors, and Geologists (BPELSG)",Practice of Land Surveying — Statutory Definition Including Photogrammetry,Cal. Bus. & Prof. Code § 8726,Binding law or regulation,Current,Unknown,Current / in force,Binding (general — not UAS-specific),General professional-practice definition,"Licensed land surveyors (and by extension, those performing surveying-equivalent work)","Determining the configuration or contour of the earth's surface, or the position of fixed objects, by applying mathematics or photogrammetry",N/A — definitional statute,No,No,Moderate,Moderate,"A person practices land surveying within the meaning of the Land Surveyors Act if they determine the configuration or contour of the earth's surface, or the position of fixed objects above, on, or below the surface, by applying the principles of mathematics or photogrammetry, in a public or private capacity. The statute separately defines 'geodetic surveying' and 'cadastral surveying.' BPELSG's general competency rule additionally requires a licensed PE or PLS to practice only in fields in which they are, by education and/or experience, fully competent and proficient — a rule industry commentary treats as especially applicable to UAS-derived mapping.","Because photogrammetric determination of ground configuration/contour falls within the statutory definition of land surveying, route UAS-derived photogrammetry or LiDAR mapping products intended to establish configuration, contour, or fixed-object position through a California-licensed PLS (or PE where applicable) rather than treating it as unregulated general mapping.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,Confirm whether a given UAS-derived deliverable crosses from general imagery/documentation into 'determining the configuration or contour of the earth's surface' as statutorily defined — that determination controls whether PLS licensure is required — and document licensed-professional review in the QA/QC record for any deliverable that does.,https://law.justia.com/codes/california/code-bpc/division-3/chapter-15/article-3/section-8726/,2026-08-01,Moderate,"Statutory definition confirmed via secondary legal-reference sources (FindLaw, Justia codification listing) describing the current text; the full current Justia section text was not independently re-pulled and read in full in this pass.",
