record_id,state,state_abbr,state_fips,jurisdiction_name,jurisdiction_type,geographic_scope,issuing_authority,source_title,citation,source_type,effective_date,revision_date,status,binding_level,uas_topic,regulated_party,regulated_activity,requirement_type,permit_or_approval_required,public_agency_only,commercial_operator_relevance,aec_relevance,summary,practical_interpretation_aec_expert,practical_interpretation_agency_practitioner,practical_interpretation_uas_procurement_expert,practical_interpretation_legal_counsel,source_url,date_accessed,confidence_level,verification_status,notes
IN-001,Indiana,IN,18,Indiana,State,Statewide,Indiana General Assembly,Unmanned Aerial Vehicles; Search Warrant; Exceptions,"IC 35-33-5-9 (as added by P.L.170-2014, SEC.19; amended by P.L.57-2016, SEC.2; P.L.136-2019, SEC.1)",Binding law or regulation,"2014 (original enactment, P.L.170-2014); most recently amended 2019 (P.L.136-2019)",2019-07-01 (P.L.136-2019 amendment),Current / in force,Binding,Law-enforcement UAV use restriction; private-property search/surveillance warrant requirement,Law enforcement officers (public agency only),"Using an unmanned aerial vehicle on or over private property, or to conduct a search, perform surveillance, or obtain a photograph or video of private property or of individuals, items, or structures on private property","Search-warrant requirement, with an exception where a warrant would not be required for the same search if conducted without a UAV",Search warrant required unless excepted,Yes,No,Low,"IC 35-33-5-9 requires a law enforcement officer to obtain a search warrant to use an unmanned aerial vehicle (1) on or over private property, or (2) to search, surveil, photograph, or video private property or persons/items/structures on private property, without the affected owner's consent. A warrant is not required if one would not be required for the same search conducted without a UAV. The statute does not itself regulate private/commercial UAS operators.","Design acquisition and data-handling workflows to minimize unnecessary capture of people and private activity. Confirm the source-supported consent or project-purpose basis before flight and carry that limitation through processing, access control, retention, and delivery.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"This authority governs a public entity rather than private operators directly. Review the solicitation and contract for incorporation or flow-down before treating it as binding on the consultant, and document the basis for that conclusion.",https://law.justia.com/codes/indiana/title-35/article-33/chapter-5/section-35-33-5-9/,2026-08-01,High,"Full current statutory text verified directly against Justia's Indiana Code mirror; amendment history (P.L.170-2014, P.L.57-2016, P.L.136-2019) confirmed in the section's own history note.","This is a law-enforcement-only restriction; it does not directly regulate private commercial/AEC UAS operators, though AEC firms operating jointly with or under contract to a law-enforcement/public-safety agency should confirm warrant compliance before a joint operation."
IN-002,Indiana,IN,18,Indiana,State,Statewide,Indiana General Assembly,Voyeurism; Public Voyeurism; Aerial Voyeurism (Remote Aerial Voyeurism provisions),IC 35-45-4-5(g)-(h) (remote aerial voyeurism subsections added by P.L.107-2017),Binding law or regulation,2017 (P.L.107-2017 addition of remote-aerial-voyeurism subsections (g)-(h)),"Unknown (current text shown current as of Jan. 1, 2026 per FindLaw codification mirror)",Current / in force,Binding,UAS-specific privacy/voyeurism restriction (private-operator facing),Any person operating a UAV,"Operating a UAV with intent to peep, causing it to enter the airspace above or surrounding another person's occupied dwelling to capture images, photographs, video, or audio of that person while in the dwelling or on adjoining land not visible from a public area","Prohibition (Class A misdemeanor; Level 6 felony if a prior unrelated conviction, or if the images/recordings are published, posted online, or transmitted to another person)",N/A,No,High,Moderate,"IC 35-45-4-5(g) makes it remote aerial voyeurism for a person, with intent to peep, to operate a UAV so that it enters the airspace above or surrounding another person's occupied dwelling to capture images, photographs, video, or audio of that person while inside the dwelling or on adjoining land not visible from a public area, without consent. Subsection (h) elevates the offense to a Level 6 felony for a repeat offense or if the material is published, posted online, or transmitted to another person. This is a subsection within Indiana's broader voyeurism statute (Sec. 5), distinct from the separate remote aerial harassment offense at IC 35-45-10-6 (IN-003).","Plan environmental and mapping flights to avoid conduct that could be characterized as locating, pursuing, disturbing, or harassing wildlife. Coordinate mission timing and stand-off distances with the land manager when project work overlaps sensitive habitat or hunting activity.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"Treat the cited authority as a documented compliance gate where applicable. Preserve the facts supporting any exception or consent theory, allocate client and operator responsibilities clearly, and seek state counsel when project facts approach ambiguous or penal language.",https://codes.findlaw.com/in/title-35-criminal-law-and-procedure/in-code-sect-35-45-4-5/,2026-08-01,High,"Full current text (through subsection (h)), shown current as of January 1, 2026, verified directly against FindLaw's Indiana Code mirror; cross-checked against an independent AI-generated legal summary for citation consistency (IC 35-45-4-5(g)).","Distinguish this sexual-privacy/voyeurism offense from the separate, broader 'remote aerial harassment' offense at IC 35-45-10-6 (IN-003); both are private-operator-facing criminal restrictions on UAV use, not agency-administered permitting schemes."
IN-003,Indiana,IN,18,Indiana,State,Statewide,Indiana General Assembly,Remote Aerial Harassment,"IC 35-45-10-6 (as added by P.L.107-2017, SEC.9; amended by H.E.A. 1249, P.L.158-2026, eff. 2026-07-01)",Binding law or regulation,"2017 (original enactment, P.L.107-2017)","2026-07-01 (H.E.A. 1249 / P.L.158-2026 amendment expanding scope to livestock, crops, and farm operations)",Current / in force,Binding,"UAS-specific harassment restriction, recently expanded to cover livestock, crops, and farm operations",Any person operating a UAV,"Pre-amendment: operating a UAV in a manner intended to subject another person to harassment. Per multiple news reports describing H.E.A. 1249 (P.L.158-2026, eff. 7-1-2026): also operating a UAV over another person's property with intent to harass or disturb livestock, damage crops, or interfere with farm/agricultural operations",Prohibition (Class A misdemeanor; Level 6 felony for a prior unrelated conviction),N/A,No,High,Moderate,"As currently codified in the primary-source mirrors reviewed, IC 35-45-10-6 makes it remote aerial harassment, a Class A misdemeanor (Level 6 felony on repeat offense), to operate a UAV in a manner intended to subject another person to harassment. Multiple independent news outlets (Indiana Capital Chronicle, Indiana Public Radio/WFIU, Hoosier Ag Today) report that House Enrolled Act 1249 (P.L.158-2026), signed by the Governor in March 2026 and effective July 1, 2026, expanded this statute so that operating a drone over another's property with intent to harass or disturb livestock, damage crops, or interfere with agricultural operations is also a Class A misdemeanor, following farmer complaints of unauthorized drone activity over poultry barns amid avian-flu concerns in northeastern Indiana.","Plan environmental and mapping flights to avoid conduct that could be characterized as locating, pursuing, disturbing, or harassing wildlife. Coordinate mission timing and stand-off distances with the land manager when project work overlaps sensitive habitat or hunting activity.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"Treat the cited authority as a documented compliance gate where applicable. Preserve the facts supporting any exception or consent theory, allocate client and operator responsibilities clearly, and seek state counsel when project facts approach ambiguous or penal language.",https://law.justia.com/codes/indiana/title-35/article-45/chapter-10/section-35-45-10-6/,2026-08-01,Moderate,"Pre-amendment text verified directly against Justia's and FindLaw's Indiana Code mirrors. The July 1, 2026 livestock/crops/farm-operations amendment (H.E.A. 1249, P.L.158-2026) is confirmed via the Indiana Office of Court Services' official Legislative Update summary (courts.in.gov) and independently corroborated by three news outlets, but the amended codified section text itself was not located in a primary codification mirror as of the date accessed.","CURRENCY FLAG: as of this research date (Aug. 1, 2026), both Justia's and FindLaw's Indiana Code mirrors still display only the pre-amendment single-sentence version of this statute, despite the amendment's July 1, 2026 effective date having passed. AEC firms conducting agricultural, corridor, or rural-property flights should confirm the current codified text directly with the Indiana General Assembly (iga.in.gov) rather than relying solely on either version described here."
IN-004,Indiana,IN,18,Indiana,State,Statewide,Indiana General Assembly,Trafficking With an Inmate; Carrying Contraband Into a Correctional Facility / Trafficking With an Inmate Outside a Facility (UAV-delivered contraband),"IC 35-44.1-3-5 and IC 35-44.1-3-6 (both amended by P.L.22-2024, part of Senate Enrolled Act 182, signed 2024-03-11)",Binding law or regulation,"2012 (original enactment, P.L.126-2012); UAV-specific language added 2024 (P.L.22-2024)",2024 (P.L.22-2024),Current / in force,Binding,Correctional-facility contraband-trafficking restriction (UAV-specific),Any person (not limited to inmates),"Delivering, carrying, or receiving contraband or another article to or from an inmate of a penal/juvenile facility, or delivering/placing contraband for an inmate being transported outside a facility, including by means of an unmanned aerial vehicle, without the facility head's prior authorization","Prohibition (Class A misdemeanor; Level 5 felony if the article is a controlled substance, chemical intoxicant, deadly weapon, or wireless device; Level 6 or Level 5 felony under Sec. 6 depending on contraband type)",N/A (facility head's prior authorization is the only avoidance mechanism),No,Moderate,Moderate,"IC 35-44.1-3-5 makes it trafficking with an inmate, a Class A misdemeanor (Level 5 felony for certain contraband), to deliver, carry, or receive an article to or from an inmate or juvenile-facility resident without the facility head's prior authorization, expressly including delivery, carrying, or receipt 'through the use of an unmanned aerial vehicle.' IC 35-44.1-3-6 creates a parallel offense, trafficking with an inmate outside a facility, for delivering or placing contraband where an inmate being transported outside a facility could obtain it, likewise expressly including delivery or placement by UAV. Both sections were amended in 2024 (P.L.22-2024) as part of Senate Enrolled Act 182, enacted after the Indiana Department of Correction reported more than 30 drone sightings and over a dozen confirmed drone-delivered contraband drops at state correctional facilities in 2023.","Build Indiana General Assembly approval into pre-mobilization planning. Confirm the property boundary, current submission materials, operating dates, and issued conditions before dispatch, and leave schedule contingency because the captured source does not guarantee processing time.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"Make the required approval and compliance with its conditions a documented mobilization gate. Allocate responsibility for applications and schedule impacts in the contract, and obtain counsel if the project's facts do not fit the stated authorization pathway.",https://law.justia.com/codes/indiana/title-35/article-44-1/chapter-3/section-35-44-1-3-5/,2026-08-01,High,"Full current text of both sections verified directly against Justia's Indiana Code mirror; the 2024 UAV-specific amendment (P.L.22-2024) is confirmed in each section's own history note and corroborated by contemporaneous news coverage of Senate Enrolled Act 182's March 11, 2024 signing.","Codification of 2024's Senate Enrolled Act 182. AEC firms conducting authorized inspection, mapping, or documentation flights at or near a correctional facility should secure the facility head's advance authorization referenced in these sections before flying, to avoid inadvertent exposure to this offense."
IN-005,Indiana,IN,18,Indiana,State,Statewide,Indiana General Assembly,Public Safety Remote Aerial Interference,"IC 35-44.1-4-10 (as added by P.L.107-2017, SEC.7; amended by P.L.22-2024, SEC.3)",Binding law or regulation,"2017 (original enactment, P.L.107-2017)","2024 (P.L.22-2024, adding correctional officer to the covered-official definition)",Current / in force,Binding,Public-safety-operations UAV interference restriction (private-operator facing),Any person operating a UAV,"Operating a UAV in a manner intended to obstruct or interfere with a law enforcement officer (including a correctional officer), firefighter, emergency medical person, or search-and-rescue team/mission member performing official duties",Prohibition (Class A misdemeanor; Level 6 felony for a prior unrelated conviction),N/A,No,High,Moderate,"IC 35-44.1-4-10 makes it public safety remote aerial interference, a Class A misdemeanor (Level 6 felony on repeat offense), to operate a UAV in a manner intended to obstruct or interfere with a law enforcement officer (including a correctional officer as defined in IC 5-10-10-1.5), a firefighter, an emergency medical person, or a member of a search-and-rescue team or mission, while that individual is performing or attempting to perform official duties. The 2024 amendment (P.L.22-2024) added correctional officers to the list of covered officials.","Screen the project map for protected facilities and active emergency operations before dispatch. Establish conservative stand-off and escalation points, brief the crew on the applicable restriction, and document any source-supported authorization before entering the affected area.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"Treat the cited authority as a documented compliance gate where applicable. Preserve the facts supporting any exception or consent theory, allocate client and operator responsibilities clearly, and seek state counsel when project facts approach ambiguous or penal language.",https://law.justia.com/codes/indiana/title-35/article-44-1/chapter-4/section-35-44-1-4-10/,2026-08-01,High,Full current text verified directly against Justia's Indiana Code mirror; the 2024 amendment (P.L.22-2024) adding correctional officers is confirmed in the section's own history note.,"This is a private-operator-facing offense already in force in Indiana, distinct from and broader than the law-enforcement-only search-warrant statute at IN-001. AEC drone crews should maintain standoff from active law-enforcement, fire, EMS, or search-and-rescue operations regardless of an otherwise-lawful flight plan."
IN-006,Indiana,IN,18,Indiana,State,Statewide,"Indiana General Assembly / Indiana DNR (Division of Fish & Wildlife, enforcement)",Use of Unmanned Aerial Vehicles to Aid Hunting,"IC 14-22-6-16 (as added by P.L.111-2016, SEC.16; amended by P.L.107-2017, SEC.1; P.L.25-2024, SEC.2)",Binding law or regulation,"2016 (original enactment, P.L.111-2016)",2024 (P.L.25-2024),Current / in force,Binding,"UAV-aided-hunting restriction (wildlife/hunting), with agricultural-monitoring and post-harvest-recovery exceptions","Hunters and the general public (exceptions for DNR and its designees, government agents, educational/research institutions, veterinary care, and agricultural/nuisance-animal monitoring)","Using a UAV to search for, scout, locate, or detect a wild animal to which a hunting season applies, as an aid to taking that animal, during the period beginning 14 days before the season and running through its last legal hunting hour","Prohibition during the defined season window; UAV-aided recovery of an already-legally-taken animal (including with infrared) is expressly permitted, but does not authorize entering another's property without permission",N/A,No,Low,Low,"IC 14-22-6-16(c) prohibits knowingly using a UAV to search for, scout, locate, or detect a wild animal covered by a hunting season, as an aid to taking it, during a window beginning 14 days before that season and ending at the close of legal hunting hours on the season's last day. Subsection (d) permits using a UAV with infrared capability to locate and recover an already-legally-taken animal, but does not authorize entering another person's property without the landowner's permission. Subsection (a) exempts the department and its designees, government-agency employees/agents performing official duties, educational/research institution personnel for bona fide purposes, UAV use to assist or provide veterinary care to a specific wild animal, and UAV use to monitor agricultural production or nuisance wild animals.","Plan environmental and mapping flights to avoid conduct that could be characterized as locating, pursuing, disturbing, or harassing wildlife. Coordinate mission timing and stand-off distances with the land manager when project work overlaps sensitive habitat or hunting activity.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"Treat the cited authority as a documented compliance gate where applicable. Preserve the facts supporting any exception or consent theory, allocate client and operator responsibilities clearly, and seek state counsel when project facts approach ambiguous or penal language.",https://law.justia.com/codes/indiana/title-14/article-22/chapter-6/section-14-22-6-16/,2026-08-01,High,"Full current text verified directly against Justia's Indiana Code mirror; amendment history (2016 enactment, 2017 and 2024 amendments) confirmed in the section's own history note; current enforcement corroborated by Indiana DNR's first prosecution under this statute (the Pettit case), reported March-April 2026 by WBIW and the Indiana Capital Chronicle.",The agricultural-production/nuisance-animal-monitoring exception in subsection (a)(5) is notable for precision-agriculture or ag-adjacent AEC UAS work; the statute otherwise functions as a hunting-regulation restriction with limited direct AEC application. See Non-Regulatory Context for Indiana's first prosecution under this statute (2026).
IN-007,Indiana,IN,18,"Indiana (DNR-owned, -leased, or -managed property statewide, including state parks, state forests, state recreation areas, nature preserves, fish and wildlife areas, and reservoir properties)",State,Statewide (DNR-managed property),Indiana Natural Resources Commission / Indiana Department of Natural Resources,"Vehicles, Trails, Boats, and Aircraft -- Airborne-Device Prohibition on DNR Property","312 IAC 8-2-8(i) (Natural Resources Commission rule; most recently amended/readopted per filing 1/25/2024, eff. 20240221-IR-312230538FRA)",Binding administrative regulation,"Unknown original adoption date (rule filed Oct. 28, 1998, eff. Jan. 1, 1999); most recently amended effective per Feb. 2024 filing",2024 (filed 1/25/2024),Current / in force,Binding,State park/public land UAV landing and launch prohibition,"Any person, including AEC/commercial UAS operators","Landing, taxiing, taking off, parking, or mooring an unmanned motor-driven airborne device (or an airborne human transportation device) on DNR-owned, -leased, or -managed property",Prohibition except at a site designated by the Department for that purpose; DNR's own published guidance separately describes a discretionary launch/film licensing practice administered by DNR or a specific DNR division,"Yes -- per DNR's own published guidance, a discretionary license from DNR or the relevant DNR division, plus an FAA license and proof of insurance, may be required outside a designated site; contact the property manager",No,High,High,"312 IAC 8-2-8(i) prohibits a person from landing, taxiing, taking off, parking, or mooring an unmanned motor-driven airborne device, or an airborne human transportation device, on DNR-owned, -leased, or -managed property, except at a site the Department has designated for that purpose. The rule's own text contains no enumerated exceptions. DNR's own webpage (in.gov/dnr, page last modified March 11, 2026) states that 'licenses to launch and film may occasionally be granted by DNR or by specific DNR divisions,' that an FAA license and proof of insurance may be required, and directs inquiries to the relevant property manager.","Build Indiana Natural Resources Commission / Indiana Department of Natural Resources approval into pre-mobilization planning. Confirm the property boundary, current submission materials, operating dates, and issued conditions before dispatch, and leave schedule contingency because the captured source does not guarantee processing time.","Contact the official or office designated by the cited authority before fixing mobilization dates. Request the current form, documentation checklist, fees, submission route, and processing estimate; retain the issued approval and all site-specific conditions with the flight record.",N/A — no procurement or equipment-selection implication identified,"Make the required approval and compliance with its conditions a documented mobilization gate. Allocate responsibility for applications and schedule impacts in the contract, and obtain counsel if the project's facts do not fit the stated authorization pathway.",https://www.law.cornell.edu/regulations/indiana/312-IAC-8-2-8,2026-08-01,Moderate,"Full current rule text (subsection (i)) verified directly against Cornell LII's mirror of 312 IAC 8-2-8, including its complete amendment/readoption history; DNR's own official webpage independently confirms a discretionary launch/film licensing practice tied to this rule but does not itself enumerate specific exception categories.","CITATION/DISCREPANCY FLAG: the codified rule text of 312 IAC 8-2-8(i) is an unqualified prohibition with no textual exceptions. Several secondary drone-law aggregator sites describe three specific enumerated exceptions (professional journalists, university researchers, and tourism agencies) as though written into the rule; this level of detail could not be verified in the rule's own text or in DNR's own official guidance page, which describes only a general, undefined discretionary licensing practice. AEC firms should treat any DNR-property launch or landing as requiring direct, site-specific coordination with the property manager rather than assuming a categorical exception applies."
IN-008,Indiana,IN,18,Indiana,State,Statewide (with an Indianapolis pilot-project designation),Indiana General Assembly / Indiana State Police,Counter-Unmanned Aircraft System Authority,"IC 10-22 (new article added by Senate Bill 227, 2026 Reg. Sess.; ceremonially signed by Governor Braun April 23, 2026; eff. 2026-07-01)",Binding law or regulation,2026-07-01,2026-07-01,Current / in force (effective date passed; substantive operational authority remains contingent -- see notes),Binding,Counter-UAS (detection/mitigation) statewide coordination; critical-infrastructure/correctional-facility/airport 'high-risk site' designation; procurement restricted to the federal C-UAS Technology List,Indiana State Police (statewide coordinating agency); designated local law-enforcement 'participating agencies',"State police authority to apply for federal counter-UAS authorization, coordinate detection/tracking/identification/mitigation activity by trained personnel, designate 'high-risk sites' (large public events, federally-rated special events, critical infrastructure, correctional facilities, airports) and a pilot-project location (Indianapolis), and restrict counter-UAS procurement to systems on the federal C-UAS Technology List","Authorizing/coordinating framework -- by its own terms (Article 22, Ch. 1), the article's substantive counter-UAS authority applies only once a triggering federal law is enacted and the Governor publishes notice in the Indiana Register","N/A (governs state agency authority, not private-operator permitting)",Yes,Moderate,Moderate,"New IC Article 10-22, added by Senate Bill 227 (2026 Reg. Sess.), designates the Indiana State Police as the statewide coordinating agency for counter-UAS activities authorized under federal law. It authorizes the state police to seek federal authorization to acquire, deploy, and operate counter-UAS systems; to designate local law-enforcement 'participating agencies' meeting federal training/readiness requirements; to designate Indianapolis as a pilot-project location given its concentration of high-risk sites; and to designate 'high-risk sites' including critical infrastructure, correctional facilities, airports, and large public/special-event-rated events. Counter-UAS systems must appear on the federal C-UAS Technology List. By its own terms (Chapter 1), the article applies only once a federal law authorizing state/local detection, tracking, identification, or mitigation of UAS is enacted and the Governor has published notice of that authorization in the Indiana Register; mitigation activity is barred absent express federal authorization.","Build Indiana General Assembly / Indiana State Police approval into pre-mobilization planning. Confirm the property boundary, current submission materials, operating dates, and issued conditions before dispatch, and leave schedule contingency because the captured source does not guarantee processing time.",N/A — no agency process involved,"This equipment restriction governs agency counter-UAS systems, not ordinary AEC aircraft or payloads. Do not treat it as a fleet-eligibility rule unless the contract requires the firm to furnish detection or mitigation technology.","Make the required approval and compliance with its conditions a documented mobilization gate. Allocate responsibility for applications and schedule impacts in the contract, and obtain counsel if the project's facts do not fit the stated authorization pathway.",https://www.hannah-in.com/ShowDocument.aspx?BTextID=231899,2026-08-01,High,"Full bill text (as reported favorably out of committee, Jan. 21, 2026, reflecting the enacted new-article structure) verified directly against an official Indiana General Assembly legislative document; the bill's passage and the Governor's April 23, 2026 ceremonial signing are corroborated by an Indiana House Republicans caucus press release. The final codified IC 10-22 text was not independently re-verified against a post-enactment primary codification mirror as of the date accessed.",This article's operative trigger (a qualifying federal law plus a published gubernatorial notice in the Indiana Register) had not been independently confirmed as satisfied as of this research date; confirm current operational status directly with the Indiana State Police before assuming active counter-UAS detection or mitigation operations are underway at any specific Indiana site.
IN-009,Indiana,IN,18,Indiana,State,Statewide,Indiana Professional Licensing Agency / Indiana State Board of Registration for Professional Surveyors,'Practice of Surveying' -- General Professional-Practice Definition (No UAS-Specific Board Guidance Located),"IC 25-21.5-1-7 (Indiana Land Surveyors licensing statute, Definitions)",Binding administrative regulation (statute),Unknown original enactment date; definitions section subsequently amended,Unknown,Current / in force,Binding (general licensing framework only -- no UAS-specific rule or guidance identified),General professional-licensing competency for photogrammetric/GNSS survey methods (no UAS-specific rule or guidance located),"Licensed Professional Surveyors; persons performing survey-grade measurement of boundaries, fixed works, or topography","Practicing land surveying -- including photogrammetric- or GNSS-based determination of boundaries, fixed works, or topography intended to be authoritative -- without licensure or outside an applicable statutory exemption","Licensure requirement for work performed 'under the responsible charge' of a professional surveyor, subject to a statutory exemption pathway (subsection (d)) for defined circumstances",License (PLS) generally required for boundary-related or authoritative topographic surveying work; a subsection (d) exemption may remove certain UAS-derived deliverables from the licensure requirement if its conditions are met,No,High,High,"IC 25-21.5-1-7 defines the 'practice of surveying' to include making geometric measurements of, and gathering information about, the physical or legal features of the earth, improvements, or the space above the earth, and developing that information into survey products (graphics, digital data, maps, plats, plans, reports, descriptions). Activities including the creation of maps and geo-referenced databases representing authoritative boundary, fixed-works, or topographic locations -- whether by terrestrial methods, photogrammetric methods, or GNSS -- must be accomplished under the responsible charge of a professional surveyor, unless a specific exemption under subsection (d) applies. No standalone Indiana Professional Licensing Agency or State Board of Registration for Professional Surveyors rule, advisory opinion, or FAQ specifically addressing UAS-derived photogrammetry, LiDAR, or orthomosaic mapping products was located during this research pass.","Classify the intended UAS-derived deliverable before mobilization and place licensed-professional review where the verified authority requires it. Keep flight acquisition, analysis, and final professional deliverable responsibilities explicit in the project workflow.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"Describe this source as guidance or policy, not a generally binding statute. Check whether the client or property owner incorporates it contractually, preserve the version relied upon, and escalate conflicts with controlling authority.",https://www.lawserver.com/law/state/indiana/in-code/indiana_code_25-21-5-1-7,2026-08-01,Low,"General statutory framework and the photogrammetric/GNSS inclusion were located via a secondary aggregation mirror (LawServer) of the definitions section; the exact current subsection (d) exemption text and the section's full amendment history were not independently re-fetched and read section-by-section in this pass, and no UAS-specific guidance search was confirmed as exhaustive.","Matches the general framework-only pattern flagged in other states in this program: this is not itself UAS-specific guidance. Whether a given UAS-derived deliverable (topographic surface, orthomosaic, or boundary-adjacent product) falls inside or outside licensed practice under subsection (d) is fact-specific; recommend direct inquiry to the Indiana Professional Licensing Agency / State Board of Registration for Professional Surveyors (pla10@pla.in.gov) before relying on this citation for a specific deliverable."
IN-010,Indiana,IN,18,Indiana (no comprehensive court decision or AG opinion located; one UAS-specific executive order located; no statewide UAS local-preemption statute located; no state-agency UAS procurement/manufacturer-restriction statute beyond IN-008 located),State (research result -- categories reviewed),Statewide,Governor of Indiana / Indiana Attorney General / Indiana courts / Indiana General Assembly (research result -- categories reviewed),"Executive Orders, AG Opinions, Court Decisions, and Procurement","Executive Order 25-73 (Governor Mike Braun, signed on or about 2025-10-29/30); other categories -- no dispositive UAS-specific source located in this research pass",Discovery lead -- not final authority and not included in the final source register,2025-10-29 (Executive Order 25-73),N/A,"Current / in force (EO 25-73); other categories -- reviewed, no source located",Advisory guidance (EO 25-73 creates a task force/planning process; does not itself impose an operator-facing requirement),General (research checklist categories: executive orders; AG opinions; court decisions; state-agency UAS procurement/manufacturer restriction; preemption of local ordinances),N/A,N/A,N/A,N/A,No,N/A,N/A,"Governor Mike Braun signed Executive Order 25-73 (on or about October 29-30, 2025), establishing the 'Indiana Initiative for Drone Dominance Task Force,' a multi-agency, university, and industry body directed to develop a strategic plan supporting federal 'American drone dominance' policy, drawing on assets such as NSWC Crane, Camp Atterbury, and Muscatatuck Urban Training Center; the task force owed its strategic plan and recommendations to the Governor by July 31, 2026. The order itself does not impose an operator-facing requirement. No Indiana Attorney General opinion construing a UAS-specific statute was located. No Indiana appellate or Supreme Court decision directly construing an Indiana UAS-specific statute was located. No general statewide state-agency UAS procurement or approved-manufacturer restriction equivalent to Illinois' IDOT foreign-manufacturer policy was located beyond the counter-UAS-system procurement provision already captured at IN-008; INDOT's Division of Aeronautics/Land and Aerial Survey Office maintains an active internal UAS program (public webtool, FAQ page) but its public-facing material imposes no located operator-facing permit or manufacturer restriction. No statewide statute preempting local UAS ordinances was located, in contrast to states such as Illinois.","Treat this record as a research flag, not an operator requirement. Do not change field procedures unless a current controlling source confirms the issue; route any project-specific uncertainty to the identified agency or counsel.",N/A — no agency process involved,"No current state equipment restriction is established by this research result. Do not treat that absence as permanent; check current solicitation terms, client policies, and independently applicable federal restrictions before committing a fleet to the work.","Do not present this negative or unresolved research result as a legal conclusion. Preserve the research limitation, verify current authority for the specific project, and escalate only if the issue could materially affect scope, access, or liability.",https://indianacapitalchronicle.com/briefs/new-indiana-task-force-aims-to-boost-states-role-in-u-s-drone-development/,2026-08-01,Moderate,"The Executive Order 25-73 PDF (in.gov/gov/files/EO-Drone.pdf) was located and fetched directly from the Governor's official domain but returned as an empty/non-machine-readable file; its existence, number, date, and substantive content are instead corroborated here via a named Indiana Capital Chronicle news report and U.S. Senator Todd Young's official press release, both of which quote the Governor's office and cite the order by number. The negative findings on AG opinions, court decisions, general procurement, and local-ordinance preemption reflect a research result (no source located in this pass), not a comprehensive negative-search confirmation.","CITATION/DISCREPANCY FLAG (preemption): several secondary drone-law aggregator sites assert that Indiana preempts local UAS ordinances (some describing an exception structure resembling Illinois'); no such state preemption statute was located in this research pass, and the continued, non-uniform operation of distinct local drone ordinances in at least two Indiana cities -- Fort Wayne (City Ordinance Sec. 96.30) and Carmel (City Ordinance Sec. 6-69) -- is inconsistent with a statewide preemption regime being in force. Treat 'Indiana preempts local drone ordinances' claims in secondary sources as unverified pending a more exhaustive search or direct inquiry to the Indiana General Assembly."
