record_id,state,state_abbr,state_fips,jurisdiction_name,jurisdiction_type,geographic_scope,issuing_authority,source_title,citation,source_type,effective_date,revision_date,status,binding_level,uas_topic,regulated_party,regulated_activity,requirement_type,permit_or_approval_required,public_agency_only,commercial_operator_relevance,aec_relevance,summary,practical_interpretation_aec_expert,practical_interpretation_agency_practitioner,practical_interpretation_uas_procurement_expert,practical_interpretation_legal_counsel,source_url,date_accessed,confidence_level,verification_status,notes
NC-001,North Carolina,NC,37,North Carolina,State,Statewide,North Carolina General Assembly,Restrictions on Use of Unmanned Aircraft Systems (privacy/surveillance),N.C. Gen. Stat. § 15A-300.1,Binding law or regulation,"Effective 2014 (S.L. 2014-100), amended 2017 (S.L. 2017-160)",2017,Current / in force,Binding,Privacy / unauthorized surveillance and photography by UAS,"Any person, entity, or State agency",Conducting surveillance of a person/dwelling/curtilage or private real property without consent; photographing an individual without consent for publication/public dissemination,"Prohibition, with law-enforcement and emergency-management exceptions",No,No,Moderate,Moderate,"N.C. Gen. Stat. § 15A-300.1(b) prohibits any person, entity, or State agency from using a UAS to (1) conduct surveillance of a person or a dwelling and its curtilage without consent, or of private real property without the owner's/easement holder's/lessee's consent, or (2) photograph an individual without consent for the purpose of publishing or publicly disseminating the photograph (with an exception for newsgathering, newsworthy events, or events/places open to the general public). Law enforcement agencies have five listed exceptions (subsection (c)), including counter-terrorism determinations, plain-view surveillance, search warrants, exigent circumstances, and photographing public gatherings; an emergency management agency exception (subsection (c1)) covers incident command, reconnaissance, search and rescue, damage assessment, hazard risk management, and floodplain mapping. A person whose privacy is violated has a civil cause of action with statutory damages of $5,000 per photograph/video, plus costs and attorney's fees (subsection (e)); evidence obtained in violation is generally inadmissible in criminal prosecutions (subsection (f)).","Routine AEC aerial mapping, inspection, and construction-progress photography over a project site is not the conduct this statute targets, but avoid incidental surveillance-style capture of neighboring private property, dwellings, or individuals without consent — adjust flight paths or camera settings near residential areas bordering a project site.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"This statute creates a private civil cause of action with statutory damages ($5,000 per image/video) distinct from any criminal exposure — document the professional/survey purpose and project boundary of any flight near residential property, and obtain consent where the flight path may reasonably capture private property or individuals outside the project scope.",https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_15A/GS_15A-300.1.html,2026-08-01,High,Full current statutory text verified directly against the North Carolina General Assembly's official codified-statutes website.,
NC-002,North Carolina,NC,37,North Carolina,State,"Statewide, with local-government carve-out for locally owned property",North Carolina General Assembly,Regulation of Launch and Recovery Sites,N.C. Gen. Stat. § 15A-300.2,Binding law or regulation,Effective 2014 (S.L. 2014-100),Unknown,Current / in force,Binding,Launch/recovery site consent requirement; local-government regulatory authority over own property,Any person operating a UAS,Launching or recovering a UAS from State or private property without consent; local governments may separately regulate launch/recovery from their own property,Consent requirement (state/private property); local ordinance authority (local government property),"No (consent from property owner/controller, not a government permit, for state/private land generally)","Partial — local governments only, as to their own property",Moderate,High,"N.C. Gen. Stat. § 15A-300.2(a) prohibits launching or recovering a UAS from any State or private property without consent. Subsection (b) separately authorizes a unit of local government to adopt an ordinance regulating the use of the local government's own property for UAS launch or recovery — this is the primary statutory basis for local UAS ordinances in North Carolina, and it is narrower than a general local police-power grant: it applies only to the local government's own property, not to UAS operation generally within its jurisdiction.","Obtain documented consent from the property owner or controlling State agency before launching or recovering a UAS from any State-owned or private property outside the client's own project site; separately check whether a specific municipality has adopted a locally-owned-property launch/recovery ordinance (e.g., a city park) if the project involves local-government land.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"This statute is the primary hook for North Carolina's (narrower, property-based) local UAS ordinance authority — distinguish it for clients from a broad local police-power grant; a full local-ordinance survey for locally owned property near a specific project site is a later research-phase task.",https://www.ncdot.gov/divisions/aviation/uas/Documents/nc-uas-regulations.pdf,2026-08-01,High,"Full current statutory text verified directly against NCDOT's official summary document, which reproduces the statute word-for-word from the ratified act.",
NC-003,North Carolina,NC,37,North Carolina,State,Statewide (500 ft horizontal / 250 ft vertical buffer around confinement/correctional facilities),North Carolina General Assembly,Use of an Unmanned Aircraft System Near a Confinement or Correctional Facility Prohibited,N.C. Gen. Stat. § 15A-300.3,Binding law or regulation,"Effective December 1, 2017 (S.L. 2017-179)",2017,Current / in force,Binding,Correctional/confinement facility UAS restriction,"Any person, entity, or State agency",Operating a UAS within 500 ft horizontal / 250 ft vertical of a local confinement facility or State/federal correctional facility,"Prohibition, with a written-consent defense and a narrower commercial/public-utility exception",No — but a narrower distance/notice regime applies to public utilities and commercial entities (see summary),"Yes, for public utilities/providers/commercial entities meeting the statutory conditions",High,High,"N.C. Gen. Stat. § 15A-300.3(a) prohibits operating a UAS within a horizontal distance of 500 ft or vertical distance of 250 ft from any local confinement facility (as defined in G.S. 153A-217) or State/federal correctional facility, measured outward from the facility's exterior walls, perimeter fences, or a marked boundary with notices posted no more than 100 yards apart. Subsection (b) provides exceptions for: (1) a person with written consent from the official in responsible charge of the facility; (2) a law enforcement officer acting under § 15A-300.1(c); and (3) a public utility, § 146-29(a)(6) provider, or commercial entity that (a) stays outside a narrower 150 ft horizontal/150 ft vertical buffer, (b) gives the facility's responsible official at least 24 hours' notice (commercial entities compliant with § 15A-300.1 are exempt from this notice requirement), (c) uses the UAS for utility/provider infrastructure inspection or other business purposes, (d) operates for commercial purposes in compliance with FAA rules and Chapter 63, Article 10, and (e) does not physically enter the prohibited space without a facility escort. Emergency management agencies, EMS, firefighters, and law enforcement are exempt when responding to an emergency. Penalties range from a Class I misdemeanor ($500 fine) for a bare violation, up to a Class H felony ($1,500 fine) for delivering or attempting to deliver a weapon, or a Class I felony ($1,000 fine) for delivering or attempting to deliver contraband. Violating UAS are subject to law-enforcement seizure and forfeiture.","This is directly relevant to any AEC infrastructure-inspection or mapping work near a North Carolina jail or prison — a commercial AEC operator inspecting nearby utility infrastructure may be able to use the narrower 150 ft/150 ft commercial exception (with 24-hour notice) rather than needing outright facility consent, but confirm the exact facility boundary and posted-notice markings on site, and document FAA Part 107 compliance since that is a condition of the commercial exception.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"Do not assume general FAA Part 107 certification alone satisfies this statute — the commercial exception requires meeting all five listed conditions (150 ft buffer, 24-hour notice or § 15A-300.1 compliance, qualifying business purpose, FAA/Chapter 63 Article 10 compliance, and no unescorted entry); document each element given the felony exposure tied to weapon/contraband delivery, and note that Chapter 63, Article 10 (referenced in condition (d)) was substantially repealed effective Dec. 1, 2024 (see NC-009) — confirm what compliance with 'Article 10' now requires in light of that repeal.",https://www.ncdot.gov/divisions/aviation/uas/Documents/nc-uas-regulations.pdf,2026-08-01,High,"Full current statutory text verified directly against NCDOT's official summary document, which reproduces the statute word-for-word from the ratified act (S.L. 2017-179); note the statute's own commercial-exception condition (d) cross-references Chapter 63, Article 10, which was substantially repealed in 2024 — see NC-009 for that unresolved interaction.","High-priority item: confirm with NCDOT's Division of Aviation how the 2024 repeal of Chapter 63, Article 10's permit/test requirements affects the 'compliance with Article 10' condition in § 15A-300.3(b)(3)(d), since that cross-reference may now point to a largely repealed article."
NC-004,North Carolina,NC,37,North Carolina,State,"Statewide (3,000 ft horizontal/vertical buffer around an active forest fire)",North Carolina General Assembly / North Carolina Forest Service,Use of an Unmanned Aircraft System Near a Forest Fire Prohibited,N.C. Gen. Stat. § 15A-300.4,Binding law or regulation,"Enacted 2023 (S.L. 2023-63, s. 10(a))",2023,Current / in force,Binding,Wildfire/emergency-response UAS restriction,"Any person, entity, or State agency","Operating a UAS within 3,000 ft horizontal or vertical distance of any forest fire within North Carolina Forest Service jurisdiction","Prohibition, with consent, law-enforcement, and Forest Service exceptions",No,No,High,High,"N.C. Gen. Stat. § 15A-300.4(a), enacted in 2023, prohibits operating a UAS within a horizontal or vertical distance of 3,000 ft from any forest fire within North Carolina Forest Service jurisdiction, measured outward from the fire's or fire-control lines' furthest exterior perimeter. Exceptions (subsection (b)) apply to a person with consent from the official in responsible charge of the fire, a law enforcement officer acting under § 15A-300.1(c), and Forest Service employees/those acting under their direction. Penalties are unusually severe and tiered by consequence: up to a Class D felony if the violation proximately causes another person's death, down to a Class A1 misdemeanor for a violation not otherwise covered, each carrying a mandatory minimum $1,000 fine; a Class G or H felony applies specifically where the violation interferes with emergency operations. Violating UAS are subject to law-enforcement seizure and forfeiture.","This statute is directly relevant to any AEC post-wildfire damage assessment or infrastructure-inspection work — do not fly within 3,000 ft of an active forest fire without first obtaining consent from the official in charge of managing that fire, given the unusually severe, injury-tiered felony exposure (up to Class D felony if death results).",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,Document the specific consent obtained from the Forest Service or incident-command official before any flight near an active or recently active forest fire; this is one of the most severely penalized state UAS statutes reviewed to date and warrants conservative compliance given the felony exposure tied to interference with emergency operations even absent injury.,https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_15A/GS_15A-300.4.html,2026-08-01,High,Full current statutory text verified directly against the North Carolina General Assembly's official codified-statutes website.,
NC-005,North Carolina,NC,37,North Carolina,State,Statewide,North Carolina General Assembly,Interference with Manned Aircraft by Unmanned Aircraft Systems,N.C. Gen. Stat. § 14-280.3,Binding law or regulation,Effective 2014 (S.L. 2014-100),Unknown,Current / in force,Binding,Airspace safety / interference with manned aviation,Any person operating a UAS,"Willfully damaging, disrupting the operation of, or otherwise interfering with a manned aircraft via a UAS while the manned aircraft is taking off, landing, in flight, or otherwise in motion",Prohibition (criminal offense),No,No,Moderate,Moderate,"N.C. Gen. Stat. § 14-280.3 makes it a Class H felony for a person to willfully damage, disrupt the operation of, or otherwise interfere with a manned aircraft through use of a UAS, while the manned aircraft is taking off, landing, in flight, or otherwise in motion.","Maintain airspace awareness and situational deconfliction near any active manned-aircraft operations (agricultural aviation, helicopter utility work, medevac, etc.) during AEC UAS flights, since willful interference carries felony exposure.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,This is a willfulness-based felony statute distinct from ordinary FAA airspace-deconfliction rules — document standard operating procedures for detecting and yielding to manned aircraft as evidence against any willfulness allegation.,https://www.ncdot.gov/divisions/aviation/uas/Documents/nc-uas-regulations.pdf,2026-08-01,High,"Full current statutory text verified directly against NCDOT's official summary document, which reproduces the statute word-for-word from the ratified act.",
NC-006,North Carolina,NC,37,North Carolina,State,Statewide,North Carolina General Assembly,Unlawful Possession and Use of Unmanned Aircraft Systems (weapon attachment; hunting/fishing),N.C. Gen. Stat. § 14-401.24,Binding law or regulation,Effective 2015 (S.L. 2015-232),Unknown,Current / in force,Binding,Weapon-attached UAS prohibition; hunting/fishing-by-UAS prohibition,Any person,Possessing or using a UAS with a weapon attached; using a UAS to fish or hunt,Prohibition (criminal offense),No,No,Low,Low,N.C. Gen. Stat. § 14-401.24(a) makes it a Class E felony to possess or use a UAS with a weapon attached. Subsection (b) makes it a Class 1 misdemeanor to fish or hunt using a UAS. Subsection (d) clarifies the section does not prohibit possession or use of a UAS authorized by federal law or regulation.,"This statute is generally not implicated by standard AEC survey/inspection/mapping payloads (cameras, LiDAR, sensors), but confirm no project payload could be construed as a 'weapon' under the cross-referenced definitions before any specialized or novel payload deployment.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,Low practical relevance for routine commercial AEC UAS work; flag only if a project involves an unusual payload or hunting/fishing-adjacent land use.,https://www.ncdot.gov/divisions/aviation/uas/Documents/nc-uas-regulations.pdf,2026-08-01,High,"Full current statutory text verified directly against NCDOT's official summary document, which reproduces the statute word-for-word from the ratified act.",
NC-007,North Carolina,NC,37,North Carolina,State,Statewide,North Carolina General Assembly,Unlawful Distribution of Images (thermal/infrared imaging),N.C. Gen. Stat. § 14-401.25,Binding law or regulation,Effective 2015 (S.L. 2015-232),Unknown,Current / in force,Binding,Privacy — thermal/infrared imaging distribution restriction,Any person or non-law-enforcement entity,"Publishing or disseminating recorded images taken by infrared or similar thermal imaging technology attached to a UAS, revealing individuals/materials/activities inside a structure, without the property owner's consent",Prohibition (criminal offense),No,No,Moderate,Moderate,"N.C. Gen. Stat. § 14-401.25 makes it a Class A1 misdemeanor to publish or disseminate, for any purpose, recorded images taken by a non-law-enforcement person or entity using infrared or similar thermal imaging technology attached to a UAS that reveal individuals, materials, or activities inside a structure, without the property owner's consent.","This is directly relevant to thermal/infrared building-envelope inspection work (energy audits, moisture/heat-loss surveys) — obtain the property owner's consent before publishing or disseminating any thermal-imaging deliverable that could reveal interior activity, even where the underlying inspection itself is authorized.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,Distinguish between conducting a thermal-imaging inspection (which this statute does not itself prohibit) and publishing/disseminating the resulting imagery without consent (which it does); build a client consent/release step into thermal-imaging deliverable workflows.,https://www.ncdot.gov/divisions/aviation/uas/Documents/nc-uas-regulations.pdf,2026-08-01,High,"Full current statutory text verified directly against NCDOT's official summary document, which reproduces the statute word-for-word from the ratified act.",
NC-008,North Carolina,NC,37,North Carolina,State,Statewide,North Carolina General Assembly / Wildlife Resources Commission,Unlawful Harassment of Persons Taking Wildlife Resources (UAS-specific provision),N.C. Gen. Stat. § 113-295(a1),Binding law or regulation,Unknown (added to pre-existing § 113-295),Unknown,Current / in force,Binding,Wildlife-related UAS restriction,Any person,"Using a UAS to interfere with the lawful taking of wildlife resources, or to drive, harass, or intentionally disturb wildlife resources for the purpose of disrupting lawful taking",Prohibition (criminal offense),No,No,Moderate,Moderate,"N.C. Gen. Stat. § 113-295(a1) makes it a Class 1 misdemeanor to use a UAS to violate subsection (a) of the same section, which independently prohibits intentionally interfering with the lawful taking of wildlife resources or driving/harassing/intentionally disturbing wildlife resources for the purpose of disrupting lawful taking (subsection (a) itself, without a UAS, is a Class 2 misdemeanor for a first offense and Class 1 for subsequent offenses). The Wildlife Resources Commission may separately seek civil injunctive relief, including attorney's fees and expert-witness costs.","Plan environmental-monitoring, habitat-mapping, or resource-inventory UAS flights to avoid any activity that could be read as disrupting the lawful taking of wildlife resources, with a conservative standoff buffer near active hunting/fishing areas during relevant seasons.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,Document the survey/mapping purpose of any UAS flight over wildlife habitat or areas of active lawful hunting/fishing to distinguish it from a prohibited harassment/disruption use.,https://www.ncdot.gov/divisions/aviation/uas/Documents/nc-uas-regulations.pdf,2026-08-01,High,"Full current statutory text verified directly against NCDOT's official summary document, which reproduces the statute word-for-word from the ratified act.",
NC-009,North Carolina,NC,37,North Carolina,State,Statewide,"North Carolina Department of Transportation, Division of Aviation / North Carolina General Assembly",Repeal of State UAS Knowledge Test and Commercial Operator Permit Requirement,"N.C. Gen. Stat. §§ 63-95, 63-96 (Chapter 63, Article 10) — REPEALED by S.L. 2024-15, s. 21(a)",Binding law or regulation (repeal),"Repeal effective December 1, 2024",2024,Repealed — no longer in force,Binding (repeal),Commercial UAS operator licensing/permitting,Commercial and government UAS operators previously required to hold a State permit,N/A — requirement eliminated,N/A — no longer required,N/A,"No — this was a requirement that has been eliminated, which is favorable for commercial operators",High,High (significant favorable change for AEC compliance burden),"Effective December 1, 2024, Session Law 2024-15 (House Bill 198, enacted after the General Assembly overrode a gubernatorial veto) repealed Article 10 of Chapter 63 of the General Statutes, eliminating the separate North Carolina UAS knowledge test and the State commercial-operator permit requirement (formerly codified at §§ 63-95 and 63-96) that had applied on top of FAA Part 107 certification. As of this repeal, commercial and government UAS operators in North Carolina need only comply with FAA Part 107 (or other applicable federal authorization) and are not required to separately hold a State-issued UAS permit or pass the State knowledge test.","Do not plan for or advise clients to obtain a North Carolina State UAS commercial-operator permit or complete the State knowledge test — this requirement no longer exists as of December 1, 2024. FAA Part 107 certification remains the operative commercial licensing requirement.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"Update any pre-December-2024 compliance checklists or client-facing materials that referenced the North Carolina UAS permit or knowledge test, since those requirements have been repealed; note that § 15A-300.3(b)(3)(d) (NC-003) still cross-references 'Chapter 63, Article 10' compliance as a condition of its commercial correctional-facility exception, creating an unresolved interpretive question about what that cross-reference now requires post-repeal.",https://www.ncdot.gov/divisions/aviation/uas/Pages/laws-regulations.aspx,2026-08-01,High,"Repeal and effective date confirmed directly against NCDOT's own official Laws & Regulations webpage (last updated 12/6/2024) and corroborated by contemporaneous industry news coverage (dronelife.com, ncaerox.com) of the veto override and Session Law 2024-15.","This is a high-value, recent (2024) change that materially reduces the North Carolina-specific compliance burden for commercial AEC UAS operators compared to the pre-2024 regime; flag prominently for any client previously operating under the old permit system."
NC-010,North Carolina,NC,37,North Carolina,State,Statewide (all Division of Parks and Recreation property and waters),North Carolina Division of Parks and Recreation,"Prohibition on UAV/Drone Launch, Landing, and Ascent on State Park Property",07 NCAC 13B .1204 (Aviation); permit process under 07 NCAC 13B .0104,Binding administrative regulation,"Effective February 1, 1976; amended March 1, 2022; transferred from 15A NCAC 12B .1204 effective April 1, 2017",2022,Current / in force,Binding,State park UAS restriction,Any person,"Voluntarily bringing, landing, causing to descend/alight, ascending, or taking off with a UAV/drone (or other aviation apparatus) within or upon any Division of Parks and Recreation property","Prohibition, except under a Special Activity or Special Use Permit",Yes,No,High,High,"07 NCAC 13B .1204 prohibits a person from voluntarily bringing, landing, causing to descend or alight, ascending, or taking off within or upon any North Carolina Division of Parks and Recreation property with a UAV or drone (along with other named aviation apparatus), except under authorization of a Special Activity or Special Use Permit obtained under 07 NCAC 13B .0104. 'Voluntarily' is defined to mean anything other than a forced landing. Secondary sources note Jockey's Ridge State Park has historically had its own separate operator-permit arrangement for hang gliders/UAS given its unique dune-launch activity.","Apply for a Special Activity or Special Use Permit under 07 NCAC 13B .0104 well before any AEC UAS work (inspection, mapping, environmental documentation) planned within a North Carolina state park boundary, and budget for park-authority discretion and processing time.","Start with the site manager or permitting office for North Carolina Division of Parks and Recreation before scheduling fieldwork, because property-specific conditions may control the route and timing. Request the current form, lead time, fee, insurance and FAA-document checklist, and site restrictions, then keep the signed approval and conditions in the mission file.",N/A — no procurement or equipment-selection implication identified,"Retain the Special Activity/Special Use Permit in the project file for any state-park UAS work; confirm current application procedure and any park-specific variations (e.g., Jockey's Ridge) directly with the Division of Parks and Recreation.",http://reports.oah.state.nc.us/ncac/title%2007%20-%20natural%20and%20cultural%20resources/chapter%2013%20-%20parks%20and%20recreation%20area%20rules/subchapter%20b/07%20ncac%2013b%20.1204.pdf,2026-08-01,High,Full current rule text verified directly against the North Carolina Office of Administrative Hearings' official NCAC database.,
