record_id,state,state_abbr,state_fips,jurisdiction_name,jurisdiction_type,geographic_scope,issuing_authority,source_title,citation,source_type,effective_date,revision_date,status,binding_level,uas_topic,regulated_party,regulated_activity,requirement_type,permit_or_approval_required,public_agency_only,commercial_operator_relevance,aec_relevance,summary,practical_interpretation_aec_expert,practical_interpretation_agency_practitioner,practical_interpretation_uas_procurement_expert,practical_interpretation_legal_counsel,source_url,date_accessed,confidence_level,verification_status,notes
ND-001,North Dakota,ND,38,North Dakota,State,Statewide,North Dakota Legislative Assembly,Lawfulness of aircraft flight and landing; liability for damage,"N.D.C.C. §§ 2-03-01, 2-03-04, 2-03-05",Binding statute,Current,Current codification reviewed 2026-08-02,Current / in force,Binding,Low flight; landing consent; property interference; civil liability,"Aircraft owners and pilots, including UAS operators to the extent a UAS is an aircraft under the broad definition","Flying low over land or water, landing, or causing injury or property damage",Operational prohibition and civil-liability rule,Landowner consent is required for a non-forced landing,No,High,High,"Chapter 2-03 defines aircraft broadly as any contrivance used or designed for flight. Flight is lawful unless it is so low that it interferes with the owner's existing use of land, water, or the space above it, or is imminently dangerous to persons or property below. Landing on another's land or water without consent is unlawful except for a forced landing. Aircraft owners and pilots can be liable under state tort rules for injuries or property damage caused by ascent, descent, flight, or falling objects.",PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,https://ndlegis.gov/cencode/t02c03.pdf,2026-08-02,High,Verified against current official statutory text,"The provisions are not UAS-specific, but the definition is broad enough to include unmanned aircraft. Federal airspace authority does not itself supply launch or landing permission."
ND-002,North Dakota,ND,38,North Dakota,State,Statewide,North Dakota Legislative Assembly,Reckless or intoxicated aircraft operation and aircraft tampering,"N.D.C.C. §§ 2-03-01, 2-03-10",Binding statute,Current,Current codification reviewed 2026-08-02,Current / in force,Binding,Operational safety; intoxication; tampering,Aircraft operators and persons interacting with civil aircraft,Operating carelessly or while impaired; acting as crew within eight hours of alcohol; unauthorized tampering,Criminal prohibition,No approval pathway stated,No,High,High,"North Dakota makes careless aircraft operation in willful disregard of others, or operation without due caution in a manner that endangers or is likely to endanger persons or property, a class A misdemeanor. Operating an aircraft while intoxicated or under the influence is also a class A misdemeanor, and a person may not act as crew or start an aircraft engine within eight hours after consuming alcohol. Unauthorized operation, control manipulation, part removal, or other intentional tampering with a civil aircraft is separately prohibited.",PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,https://ndlegis.gov/cencode/t02c03.pdf,2026-08-02,High,Verified against current official statutory text,"Because chapter 2-03 defines aircraft broadly, these provisions can apply independently of FAA operating rules."
ND-003,North Dakota,ND,38,North Dakota,State,Statewide prosecutions and proceedings,North Dakota Legislative Assembly,Admissibility and warrant requirements for UAS surveillance,N.D.C.C. §§ 29-29.4-01 through 29-29.4-03,Binding statute,Current,2025 H.B. 1613; current codification reviewed 2026-08-02,Current / in force,Binding,Government surveillance; warrants; evidence,Law-enforcement agencies and persons conducting court-authorized surveillance,Collecting or using UAS surveillance information in a state prosecution or proceeding,Evidence limitation and warrant-content requirement,Search warrant or a recognized warrant exception is generally required,Yes,Medium,Medium,"UAS information is inadmissible in a North Dakota prosecution or proceeding unless obtained under a search warrant or a warrant exception, and generally may not support probable cause unless obtained on that basis or through monitoring public lands or international borders. A surveillance warrant must identify authorizers, operating locations, maximum flight duration, whether individual data will be collected, and how data and derived conclusions will be used, disclosed, retained, handled, and destroyed. These controls govern governmental evidentiary use rather than ordinary private project imagery.",PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,https://ndlegis.gov/api/cencode/t29c29-4.pdf,2026-08-02,High,Verified against current official statutory text,A private consultant supporting a public agency should determine whether the mission is surveillance under this chapter and ensure the agency's warrant and data plan cover contractor collection.
ND-004,North Dakota,ND,38,North Dakota,State,Statewide,North Dakota Legislative Assembly,Statutory exceptions for specified UAS surveillance,N.D.C.C. § 29-29.4-04,Binding statute,Current,2025 H.B. 1613; current codification reviewed 2026-08-02,Current / in force,Binding exception,Surveillance exceptions; emergencies; research and education,"State and local authorities, educational institutions, and qualifying collaborators","Using UAS for border patrol, exigencies, catastrophe response, or mutually supported research and development",Exception to chapter restrictions,Mission-specific governmental or institutional authority may still be required,Mixed,Medium,Medium,"Chapter 29-29.4 does not prohibit specified border patrol, law-enforcement exigency, or state and local authority use during environmental or weather catastrophes to protect safety or property and assess damage, erosion, flooding, or contamination. It also preserves research, education, training, testing, and development undertaken by or with a North Dakota school or higher-education institution and public or private collaborators in mutually supported efforts. The exception is not a general commercial-survey exemption and does not replace property, airspace, contract, or institutional approvals.",PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,https://ndlegis.gov/api/cencode/t29c29-4.pdf,2026-08-02,High,Verified against current official statutory text,The educational-collaboration exception is expressly limited to mutually supported UAS or robotics efforts.
ND-005,North Dakota,ND,38,North Dakota,State,Statewide,North Dakota Legislative Assembly,Prohibited governmental authorization of armed UAS and private-person surveillance,N.D.C.C. § 29-29.4-05,Binding statute,Current,2025 H.B. 1613; current codification reviewed 2026-08-02,Current / in force,Binding,Weapons; private surveillance; constitutional rights,Law-enforcement agencies and private persons acting under law-enforcement authorization,Authorizing armed UAS or government-facilitated surveillance of private persons,Prohibition and consent requirement,Express informed consent is required in the covered private-surveillance situation,Mixed,Medium,Medium,"A law-enforcement agency may not authorize a UAS armed with a lethal weapon. It also may not authorize, including by permit, a private person to use a UAS or robot to surveil another private person without that person's express informed consent or the consent of the owner of the real property where the person is present. Surveillance of lawful constitutional activity is prohibited unless otherwise allowed by the chapter. These provisions are tied to law-enforcement authorization and should not be overstated as a general private-flight consent statute.",PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,https://ndlegis.gov/api/cencode/t29c29-4.pdf,2026-08-02,High,Verified against current official statutory text,The statute separately limits law-enforcement deployment of less-than-lethal weapons and requires an agency use-of-force policy.
ND-006,North Dakota,ND,38,North Dakota,State,Statewide,North Dakota Legislative Assembly,"Documentation, retention, and access rules for authorized UAS surveillance",N.D.C.C. § 29-29.4-06,Binding statute,Current,2025 H.B. 1613; current codification reviewed 2026-08-02,Current / in force,Binding,Government surveillance; flight records; data retention; public records,Persons authorized to conduct surveillance and supervising public agencies,Documenting surveillance flights and retaining or disclosing flight information and imagery,"Documentation, retention, destruction, and disclosure requirement",Authorization under chapter 29-29.4 is prerequisite to covered surveillance,Yes,Medium,Medium,"Authorized surveillance must be documented with flight duration, path, and mission objectives, verified by the supervising authorized person, and retained for five years. Lawfully obtained imaging or other data not tied to reasonable and articulable suspicion, an ongoing investigation, or trial may not be retained longer than 90 days. Accused persons may obtain covered information through criminal discovery, and other interested persons may request required documentation under North Dakota's open-records chapter, subject to the statute's operational and security limitations.",PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,https://ndlegis.gov/api/cencode/t29c29-4.pdf,2026-08-02,High,Verified against current official statutory text,"Contracts supporting covered public surveillance should allocate flight-log, data-segregation, deletion, discovery, and records-request duties."
ND-007,North Dakota,ND,38,North Dakota,State,Statewide,North Dakota Legislative Assembly,Drone-inclusive harassment and stalking offenses,"N.D.C.C. §§ 12.1-17-07, 12.1-17-07.1",Binding statute,2025-08-01,2025 N.D. Sess. Laws ch. 126; current codification reviewed 2026-08-02,Current / in force,Binding,Harassment; stalking; tracking; privacy,Any person operating a remotely piloted aircraft,"Using a drone for offensive conduct, repeated targeted conduct, or unauthorized tracking",Criminal prohibition,No approval pathway stated; legitimate purpose is material to the offenses,No,High,High,"North Dakota's harassment and stalking statutes define a robot to include remotely piloted aircraft. Using one, with intent to frighten or harass, for offensive conduct with no legitimate purpose can be harassment. Drone acts can form a stalking course of conduct, and unauthorized tracking of a person's movements or location by robot, GPS, or electronic means can qualify when it would cause a reasonable person fear, intimidation, or harassment and serves no legitimate purpose. Documented project purpose and disciplined collection boundaries are therefore important.",PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,https://ndlegis.gov/cencode/t12-1c17.pdf,2026-08-02,High,Verified against current official statutory text and 2025 chapter law,The broader farm-surveillance language proposed in 2025 H.B. 1429 was not enacted; this record reflects the final harassment and stalking amendments only.
ND-008,North Dakota,ND,38,North Dakota Parks and Recreation Department,State agency,"All land owned, leased, or managed by the Department",North Dakota Parks and Recreation Department,UAS operation on Parks and Recreation Department lands,"N.D. Admin. Code §§ 58-02-08-02(14), 58-02-08-16.1",Binding administrative rule,2018-02-01,Current agency-posted rule reviewed 2026-08-02,Current / in force,Binding,State parks and recreation lands; launch and operation authorization,"Hobby, recreational, and commercial UAS operators","Operating a UAS within Department-owned, leased, or managed lands",Prohibition unless authorized,Yes — authorization from the director or deputy director,No,High,High,"North Dakota prohibits operation of any UAS for hobby, recreation, or commercial purposes within land owned, leased, or managed by the Parks and Recreation Department unless the director or deputy director authorizes it. A violation is a class 2 noncriminal offense. The rule is broader than a launch-and-landing-only restriction because it uses operation 'within' covered lands; project teams should identify the property boundary and secure written authorization before relying on an off-property launch location for work over or inside a park unit.",PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,https://www.parkrec.nd.gov/business/sites/www/files/documents/Resources/Admin%20Code%20_2.20.18.pdf,2026-08-02,High,Verified against official agency-posted administrative-rule text,The agency PDF is dated 2018 but remains the Department's posted chapter containing the UAS rule. Confirm current application process and site conditions with the Department.
ND-009,North Dakota,ND,38,North Dakota,State,Statewide,North Dakota Legislative Assembly,"Intentional killing, chasing, or harassment of wildlife from aircraft","N.D.C.C. §§ 2-03-01, 20.1-01-11",Binding statute,Current,Current codification reviewed 2026-08-02,Current / in force,Binding,Wildlife; harassment; environmental survey,"Persons operating or controlling aircraft, including UAS under the broad aircraft definition","Intentionally killing, chasing, or harassing wild animals or birds from an aircraft",Wildlife-protection prohibition,No approval pathway stated except statutory exceptions,No,High,High,"A person operating or controlling any aircraft in North Dakota may not intentionally kill, chase, or harass a wild animal or wild bird, whether protected or unprotected, except as the wildlife title allows or when necessary to protect life or property under the stated exceptions. Chapter 2-03 broadly defines aircraft as any contrivance used or designed for flight, supporting application to UAS. Environmental and wildlife surveys should use altitude, stand-off distance, abort criteria, and seasonal planning that avoid intentional pursuit or harassment.",PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,https://ndlegis.gov/cencode/t20-1c01.pdf,2026-08-02,High,Verified against current official statutory text,This record does not classify ordinary incidental wildlife observation as hunting; mission intent and aircraft effects remain important.
ND-010,North Dakota,ND,38,North Dakota,State,Public and private land statewide,North Dakota Legislative Assembly,UAS interference with lawful hunting,N.D.C.C. § 20.1-01-31,Binding statute,Current,Current codification reviewed 2026-08-02,Current / in force,Binding,Hunter interference; wildlife disturbance,Operators of aerial vehicles that do not carry a human operator,Intentionally interfering with a lawful taking or disturbing wildlife to disrupt a lawful hunt,Operational prohibition,No approval pathway stated,No,High,High,"North Dakota expressly prohibits using an aerial vehicle that does not carry a human operator on public or private land to intentionally interfere with another person's lawful taking of wildlife or to intentionally harass, drive, or disturb wildlife for the purpose of disrupting a lawful hunt. Incidental interference from lawful public or private land use is excluded. A commercial project near active hunting should document its legitimate purpose, coordinate site access, and avoid flight behavior or scheduling that could be understood as intentional disruption.",PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,https://ndlegis.gov/cencode/t20-1c01.pdf,2026-08-02,High,Verified against current official statutory text,"This provision is distinct from the separate ban on aircraft operators intentionally killing, chasing, or harassing wildlife."
