record_id,state,state_abbr,state_fips,jurisdiction_name,jurisdiction_type,geographic_scope,issuing_authority,source_title,citation,source_type,effective_date,revision_date,status,binding_level,uas_topic,regulated_party,regulated_activity,requirement_type,permit_or_approval_required,public_agency_only,commercial_operator_relevance,aec_relevance,summary,practical_interpretation_aec_expert,practical_interpretation_agency_practitioner,practical_interpretation_uas_procurement_expert,practical_interpretation_legal_counsel,source_url,date_accessed,confidence_level,verification_status,notes
NH-001,New Hampshire,NH,33,New Hampshire,State,Statewide; resident-owned aircraft and specified nonresident aircraft,New Hampshire Legislature; New Hampshire Department of Transportation,"State aircraft registration, identification, and operating-fee requirements","RSA 422:3, VI, XV, XXVII-a, XXVII-b, XXX; RSA 422:21-:22, 422:28(I)-(V), 422:31-:32; N.H. Admin. R. Tra 903.01",Binding statute or regulation,Current framework; UAS definitions effective 2021-07-01,Current codification and rules reviewed 2026-08-02,Current / in force; UAS-specific agency application not published,"Binding, with application caveat",Aircraft registration; identification; operating fee,"Owners and operators of federally registered civil aircraft, including UAS to the extent covered by the statutory definitions",Owning or operating a federally registered civil aircraft in New Hampshire,"State registration certificate, federal identification mark, identifier display, and operating fee",Yes for covered aircraft unless a statutory exemption or waiver applies,No,High,High,"New Hampshire defines an aircraft as a flight device assigned a federal registration certificate and number, defines small and other unmanned aircraft by federal regulation, and requires resident owners of civil aircraft to obtain a state registration certificate unless an exception or waiver applies. Nonresident aircraft can trigger registration after more than 90 cumulative days in the State, and separate air-commerce provisions apply. Tra 903.01 requires an N-number and state registration, exemption, or waiver. The text appears to reach federally registered UAS, but NHDOT publishes no UAS-specific registration instructions; confirm the Department's current application, decal practice, and fee treatment before relying on the general aircraft forms.",PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,https://www.gc.nh.gov/rsa/html/xxxix/422/422-mrg.htm,2026-08-02,Medium,Statutory and rule text verified; UAS application requires NHDOT confirmation,"RSA 422:31 lists a $100 operating fee for the 0-3,000-pound class. The ordinary form and N-number schedule appear designed for conventional aircraft, which creates an implementation ambiguity for FAA-registered UAS."
NH-002,New Hampshire,NH,33,New Hampshire,State,Statewide,New Hampshire Legislature,Operation of an aircraft while impaired,"RSA 422:3, VI, XXII, XXVII-a, XXVII-b, XXX; RSA 422:28(VIII)",Binding statute,Current,Current codification reviewed 2026-08-02,Current / in force,Binding,Intoxication; operational safety,"Operators of aircraft covered by RSA 422, including federally registered UAS","Operating or attempting to operate an aircraft on the ground, on public waters, or in the air while impaired",Operational prohibition,No approval pathway stated,No,High,High,"RSA 422:28(VIII) prohibits operating or attempting to operate an aircraft on the ground, on public waters, or in the air while under the influence of intoxicating liquor or a controlled drug that affects safe operation, or with a blood-alcohol concentration of 0.04 percent or more. Because RSA 422 defines aircraft by federal registration and separately incorporates unmanned-aircraft definitions, a federally registered UAS operation can fall within this independent state prohibition. This is stricter and more specific than a general workplace fitness policy and should be treated as a no-operation condition.",PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,https://gc.nh.gov/rsa/html/XXXIX/422/422-28.htm,2026-08-02,High,Verified against current official statutory text,This record does not replace the separate FAA alcohol and drug restrictions or employer safety requirements.
NH-003,New Hampshire,NH,33,New Hampshire,State,Statewide,New Hampshire Legislature,State offense for violating specified FAA small-UAS rules,"RSA 644:23(II), as amended by 2026 N.H. Laws ch. 6 (SB 49)",Binding statute,2026-05-19,2026 N.H. Laws ch. 6,Current / in force,Binding,Federal compliance; state enforcement; Part 107,Small-UAS operators,Operating a small UAS contrary to specified FAA law and regulation,State violation or misdemeanor,Applicable FAA authority is required; no separate approval cures noncompliance,No,High,High,"New Hampshire makes operation of a small UAS in violation of FAA laws and regulations, specifically 14 C.F.R. part 107 as of July 24, 2025, a state violation for a first offense and a misdemeanor for a second or later offense. Chapter 6 narrowed and clarified the original January 2026 language effective May 19, 2026. A Part 107 deviation can therefore create separate state exposure in addition to federal enforcement. The online RSA page is updated only through December 2025 and still displays the superseded broader wording, so the 2026 chapter law controls this record.",PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,https://gc.nh.gov/bill_status/billinfo.aspx?id=931&inflect=2,2026-08-02,High,"Verified against official RSA, bill docket, and chaptered amendment","The chaptered amendment fixes the incorporated Part 107 version as of July 24, 2025; later federal amendments should be checked separately for federal compliance."
NH-004,New Hampshire,NH,33,New Hampshire,State,Statewide,New Hampshire Legislature,UAS operation that violates New Hampshire's privacy statute,RSA 644:23(III); RSA 644:9,Binding statute,2026-01-01,Current codification reviewed 2026-08-02,Current / in force,Binding,Privacy; imaging; audio; surveillance,Small-UAS operators and data collectors,"Using a UAS-mounted device to observe, record, amplify, broadcast, or transmit protected images, locations, movements, or sounds",Criminal prohibition,Consent or another lawful basis may be required; no general flight permit resolves privacy,No,High,High,"A person commits a misdemeanor under RSA 644:23(III) by operating a small UAS in a manner that violates RSA 644:9. The incorporated privacy statute prohibits specified device-enabled observation, photography, recording, amplification, broadcasting, or transmission in a private place and from outside a private place when the information would not ordinarily be visible, audible, or comprehensible outside. A private place includes dwelling interiors and other locations where a person reasonably expects freedom from surveillance. Limited law-enforcement and investigation exceptions do not create a general commercial mapping exemption, so sensor geometry, windows, audio, people, and data retention require deliberate controls.",PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,https://gc.nh.gov/rsa/html/LXII/644/644-9.htm,2026-08-02,High,Verified against current official statutory text,RSA 644:9 contains enhanced consequences for repeat offenses and specified conduct involving children. General property permission does not necessarily equal consent from every person entitled to privacy.
NH-005,New Hampshire,NH,33,New Hampshire,State,Statewide; emergency scenes,New Hampshire Legislature,"Interference with law-enforcement, firefighting, or emergency response operations","RSA 644:23(III), as amended by 2026 N.H. Laws ch. 6",Binding statute,2026-01-01; amended 2026-05-19,2026 N.H. Laws ch. 6,Current / in force,Binding,Emergency response; incident command; interference,Small-UAS operators; news media under a conditional exception,Operating a small UAS that interferes with emergency response,Misdemeanor prohibition and conditional exception,No ordinary approval pathway; qualified news media must satisfy all statutory conditions and incident-command directives,No,High,High,"Operating a small UAS that interferes with law enforcement, firefighting, or other emergency response is a misdemeanor. The news-media exception is narrow: the operator must comply with the incorporated Part 107 requirements, possess a valid FAA certificate of waiver or authorization for drone news gathering, avoid jeopardizing responders or people on the ground, and follow the agency-in-charge's directives, including an order to alter or stop operations. Ordinary commercial AEC work does not qualify merely because it documents an incident; a mission should stop and deconflict whenever emergency activity arises.",PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,https://gc.nh.gov/rsa/html/lxii/644/644-mrg.htm,2026-08-02,High,Verified against official RSA and chaptered amendment,This prohibition can apply even outside a formal FAA temporary flight restriction.
NH-006,New Hampshire,NH,33,New Hampshire,State,Statewide; human-occupied aircraft and airports,New Hampshire Legislature,Small-UAS interference with human-occupied aircraft or airport operations,RSA 644:23(IV),Binding statute,2026-01-01,Current codification reviewed 2026-08-02,Current / in force,Binding,Manned-aircraft safety; airports; interference,Small-UAS operators,Negligently interfering with a human-occupied aircraft or impeding airport operations,Criminal prohibition with escalating penalties,No approval pathway stated,No,High,High,"Negligently operating a small UAS so as to interfere with or disrupt the flight of a human-occupied aircraft, or to impede the normal operation of an international, regional, municipal, or general-aviation airport, is a class A misdemeanor. The offense escalates to a class B felony if the operation damages a human-occupied aircraft in flight and to a class A felony if it causes a crash resulting in death or serious bodily injury. Airport-adjacent work therefore requires more than airspace authorization: site layout, traffic patterns, lost-link behavior, observers, and immediate yielding to crewed aircraft must prevent operational interference.",PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,https://gc.nh.gov/rsa/html/lxii/644/644-mrg.htm,2026-08-02,High,Verified against current official statutory text,The statute addresses interference and consequences; FAA airspace authorization remains a separate federal requirement.
NH-007,New Hampshire,NH,33,New Hampshire,State,"FAA-restricted airspace over federal, state, or county correctional, penal, or detention facilities in New Hampshire",New Hampshire Legislature,Correctional-facility UAS offense,RSA 644:23(V),Binding statute,2026-01-01,Current codification reviewed 2026-08-02,Current / in force,Binding,Corrections; restricted airspace; contraband; escape,Small-UAS operators,Operating over a covered facility in FAA-restricted airspace or for contraband delivery or escape assistance,Misdemeanor or felony prohibition,FAA restriction and any facility authorization must be resolved; no general commercial exception stated,No,High,High,"Operating a small UAS in FAA-restricted airspace over a federal, state, or county correctional, penal, or detention facility is a misdemeanor. The offense becomes a class B felony when the operation is undertaken to deliver contraband or aid a prisoner's escape. The state offense is expressly tied to FAA-restricted airspace, not a separately stated fixed-distance buffer. AEC work on or near a covered facility should identify the exact federal restriction, obtain written owner and client coordination, and design launch, recovery, geofencing, and contingency procedures that prevent an unplanned penetration.",PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,https://gc.nh.gov/rsa/html/lxii/644/644-mrg.htm,2026-08-02,High,Verified against current official statutory text,State and federal facility-property rules or contract terms may add controls even where the statutory FAA-restricted-airspace element is not met.
NH-008,New Hampshire,NH,33,New Hampshire,State,Statewide,New Hampshire Legislature,Possession or operation of weaponized or projectile-capable small UAS,RSA 644:23(VI)-(VII),Binding statute,2026-01-01,Current codification reviewed 2026-08-02,Current / in force,Binding,Weaponization; projectiles; payloads; public safety,Persons possessing or operating equipped small UAS,"Possessing or operating a small UAS equipped to cause serious injury, death, or property damage or to fire or release a projectile",Class B felony prohibition with narrow public-safety exceptions,No general approval pathway stated,No,Medium,Medium,"Knowingly possessing or operating a small UAS equipped with a device capable of causing serious bodily injury, death, or property damage, or otherwise capable of firing or releasing a projectile, is a class B felony. Narrow exceptions cover specified public-safety bomb-squad disposal work and law-enforcement distraction or disorientation devices, and the section does not apply to a law-enforcement officer acting under lawful authority. Because the language reaches possession as well as flight and is not limited to conventional weapons, any dispensing, dropping, tethered, impact, or experimental payload should be reviewed before being configured on the aircraft.",PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,https://gc.nh.gov/rsa/html/lxii/644/644-mrg.htm,2026-08-02,High,Verified against current official statutory text,Whether a specialized AEC payload is 'capable of causing' the listed harm can be fact-sensitive; the statute provides no express commercial inspection or agricultural exception.
NH-009,New Hampshire,NH,33,New Hampshire,State,Statewide wildlife-taking activity,New Hampshire Fish and Game Department,"Use of drones to take, locate, surveil, communicate wildlife location, drive, or harass wildlife",N.H. Admin. R. Fis 312.01-.02; Fis 301.07(g),Binding administrative rule,Fis 312 current version effective 2024-09-25,Current rules reviewed 2026-08-02,Current / in force,Binding,Wildlife; hunting; surveillance; harassment,UAS operators and persons assisting wildlife taking,"Using a UAS to take or attempt to take wildlife, locate or surveil wildlife for taking, communicate its location, or drive or harass it",Operational prohibition,No approval pathway stated; official-duty exception applies to law enforcement and Fish and Game personnel,No,High,High,"Fis 312.02 prohibits taking or attempting to take wildlife with a UAS and using one to locate or surveil wildlife for taking, communicate wildlife location to a person on the ground for taking, or drive, harass, aid, or assist in taking wildlife. Law-enforcement and Fish and Game personnel acting in official duties are excepted. The moose rule separately bars UAV or aircraft location and communication between September 1 and December 31 or during the open season. An environmental survey is not hunting by default, but clients, deliverables, data sharing, season, flight behavior, and wildlife response must not convert the work into prohibited assistance or harassment.",PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,https://gc.nh.gov/rules/state_agencies/fis300.html,2026-08-02,High,Verified against current official administrative rules,"Fis 312 defines UAV broadly as any remotely, automatically, or otherwise pilotless flight device, including drones."
NH-010,New Hampshire,NH,33,New Hampshire,State,"Statewide lawful hunting, trapping, and fishing activity",New Hampshire Legislature; New Hampshire Fish and Game Department,"Drone surveillance of hunters, trappers, or anglers and interference with lawful taking",RSA 207:57; N.H. Admin. R. Fis 2101.01-.04,Binding statute and administrative rule,UAS statutory provision effective 2016-01-01; current rule effective 2023-09-25,Current text reviewed 2026-08-02,Current / in force,Binding,Hunter privacy; interference; wildlife disturbance,"UAS operators and other persons near lawful hunting, trapping, or fishing",Conducting drone surveillance without written consent or intentionally interfering with lawful taking,Prohibition; written-consent requirement for surveillance,"Written consent from each surveilled hunter, trapper, or angler is required for the prohibited surveillance context",No,High,High,"RSA 207:57 and Fis 2101 prohibit intentional obstruction or interference with lawful hunting, trapping, or fishing, intentional disturbance of wild animals to prevent lawful taking, and UAV surveillance of a person lawfully engaged in those activities without the person's prior written consent. Law-enforcement and Fish and Game official duties and incidental interference from lawful, normal public-land use are excepted. A commercial mapping flight over an active recreation area therefore requires scheduling, camera geometry, notices, and data controls that avoid targeted surveillance and intentional interference; incidental lawful use is fact-dependent rather than a blanket safe harbor.",PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,https://gc.nh.gov/rsa/html/XVIII/207/207-57.htm,2026-08-02,High,Verified against current official statute and administrative rule,A violation is treated as a violation offense under the cited provisions.
