record_id,state,state_abbr,state_fips,jurisdiction_name,jurisdiction_type,geographic_scope,issuing_authority,source_title,citation,source_type,effective_date,revision_date,status,binding_level,uas_topic,regulated_party,regulated_activity,requirement_type,permit_or_approval_required,public_agency_only,commercial_operator_relevance,aec_relevance,summary,practical_interpretation_aec_expert,practical_interpretation_agency_practitioner,practical_interpretation_uas_procurement_expert,practical_interpretation_legal_counsel,source_url,date_accessed,confidence_level,verification_status,notes
TX-001,Texas,TX,48,Texas,State,Statewide,Texas Legislature,Use of Unmanned Aircraft — Nonapplicability (lawful image capture exceptions),Tex. Gov't Code § 423.002,Binding law or regulation,"Sept. 1, 2013 (orig.); last amended 2023 (Acts 2023, 88th Leg. Ch. 50 and Ch. 709)",2023,Current / in force,Binding,Image-capture surveillance restriction — statutory exceptions,Any person capturing an image using a UAS in Texas,Defines 21 categories of lawful image capture that fall outside the Section 423.003 surveillance offense,Exception / safe harbor to a prohibition,No,No,High,High,"Section 423.002 lists 21 circumstances in which capturing an image by UAS is lawful notwithstanding Section 423.003, including images captured with the consent of the property owner/occupant (para 6); by a registered professional land surveyor in connection with professional surveying if no individual is identifiable (para 19); by a professional engineer licensed under Occupations Code Ch. 1001 in connection with the practice of engineering if no individual is identifiable (para 20); by or for an electric/gas utility or telecommunications provider for operations, maintenance, inspection, vegetation management, or routing/siting (para 5); of public real property or a person on that property (para 15); and from 8 ft or less above ground level in a public place without image-amplifying equipment (para 14). Does not apply to manufacture, assembly, distribution, or sale of a UAS.","The PLS exception (para 19) and PE exception (para 20) are the two most directly relevant carve-outs for AEC survey/engineering work, but both require that no individual be identifiable in the captured image — plan flight paths and processing workflows (face/plate blurring) accordingly on any project with people present in frame. Do not assume the exceptions extend to non-licensed field crew capturing images for a licensed professional's later review; confirm internally who is 'capturing' the image for purposes of the statute.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"The PLS/PE exceptions in para 19-20 are narrower than general commercial Part 107 authority — they require the activity to be 'in connection with the practice of' surveying or engineering as defined by the applicable Occupations Code chapter, and require no individual be identifiable. For AEC work that doesn't cleanly fit a licensed-practice exception (e.g., general construction-progress photography with people visible), document reliance on property-owner consent (para 6) or another applicable exception rather than assuming Part 107 certification alone provides a state-law defense.",https://law.justia.com/codes/texas/government-code/title-4/subtitle-b/chapter-423/section-423-002/,2026-08-06,High,"Full section text pulled directly from Justia's codification of the current Texas Government Code (secondary republisher of official text); citations and structure cross-checked against the chapter's section index. Recommend a direct statutes.capitol.texas.gov pull before final client use, since that official site is JavaScript-rendered and could not be independently re-verified in this pass. Re-confirmed 2026-08-06 as part of Workstream 9 retrofit: Justia's current Chapter 423 table of contents shows no additional 89th Legislature (2025) amendments beyond what is already reflected in this record's effective/revision dates.",
TX-002,Texas,TX,48,Texas,State,Statewide,Texas Legislature,Offense: Illegal Use of Unmanned Aircraft to Capture Image,Tex. Gov't Code § 423.003,Binding law or regulation,"Sept. 1, 2013",Unamended since enactment,Current / in force,Binding,UAS surveillance-image offense,Any person operating a UAS,Using a UAS to capture an image of an individual or privately owned real property with intent to conduct surveillance,Prohibition (Class C misdemeanor),No,No,High,High,"A person commits an offense by using a UAS to capture an image of an individual or privately owned real property in Texas with the intent to conduct surveillance on the individual or property captured. Class C misdemeanor. It is a defense to prosecution that the person destroyed the image as soon as they had knowledge it was captured in violation of the section and without disclosing, displaying, or distributing it to a third party. 'Intent' has the meaning assigned by Penal Code Section 6.03. Upheld against a facial First Amendment challenge in National Press Photographers Ass'n v. McCraw, 90 F.4th 770 (5th Cir. 2023) (see TX-007... see court decision record).","The offense turns on intent to surveil, not on merely capturing an image that happens to include private property — routine AEC aerial mapping/photogrammetry over a project site is not itself the targeted conduct this statute addresses, but crews should still avoid deliberately orbiting on or lingering over neighboring private property or individuals outside the survey scope without a Section 423.002 exception or the owner's consent.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"Because this is intent-based and a criminal (not civil) statute, a single as-applied prosecution risk exists even for commercial operators; keep flight logs, mission purpose documentation, and client scope-of-work records that establish the flight's professional purpose in case intent is ever questioned. The Fifth Circuit's 2023 ruling rejected only a facial challenge — it expressly left open future as-applied First Amendment defenses, so this is not fully settled as to every fact pattern.",https://law.justia.com/codes/texas/government-code/title-4/subtitle-b/chapter-423/section-423-003/,2026-08-06,High,Full section text pulled directly from Justia's codification; no amendments since 2013 enactment per the section's amendment history line. Re-confirmed 2026-08-06 as part of Workstream 9 retrofit: Justia's current Chapter 423 table of contents shows no additional 89th Legislature (2025) amendments beyond what is already reflected in this record's effective/revision dates.,
TX-003,Texas,TX,48,Texas,State,Statewide — critical infrastructure facilities,Texas Legislature,Offense: Operation of Unmanned Aircraft Over Critical Infrastructure Facility,Tex. Gov't Code § 423.0045,Binding law or regulation,"Sept. 1, 2015 (orig.); last amended Sept. 1, 2023 (Acts 2023, 88th Leg. Ch. 591 and Ch. 1096)",2023,Current / in force,Binding,Critical-infrastructure UAS restriction,Any person operating a UAS,"Operating a UAS at or below 400 ft AGL over, allowing contact with, or interfering with a defined 'critical infrastructure facility'",Prohibition,No (listed exemptions),No,High near covered facilities,High,"It is an offense to intentionally or knowingly operate a UAS at or below 400 ft AGL over a 'critical infrastructure facility,' allow a UAS to contact the facility, or allow a UAS to come close enough to interfere with or disturb it. 'Critical infrastructure facility' is defined by an enumerated list (refineries; electrical generating/switching/control facilities; chemical, polymer, or rubber plants; water/wastewater facilities; gas compressor stations; LNG terminals; telecom switching offices; ports, rail yards, and freight terminals; gas processing plants; broadcast transmission facilities; electric-arc steelmaking facilities; TCEQ-classified high-hazard dams; concentrated animal feeding operations; and, if fenced, pipelines, drill sites, tank batteries, production facilities, wellheads, and active-flare oil/gas facilities), generally requiring the facility be fenced/barricaded or clearly posted. Exemptions include the commercial-operator exemption at (c)(5) for UAS operated for a commercial purpose in compliance with applicable FAA rules and authorizations, the facility owner/operator and its contractors, and persons with the facility owner's or occupant's prior written consent. Class B misdemeanor, enhanced to Class A on a prior conviction under this section or Section 423.0046.","The (c)(5) commercial-operator exemption is broad — FAA Part 107 compliance plus required FAA authorizations is generally sufficient to fly a covered facility for legitimate commercial AEC work (inspection, mapping) without the facility owner's separate consent, but the facility itself still controls site access and safety, so coordinate directly with the facility owner/operator regardless of the statutory exemption. Confirm which listed facility category applies before treating an ambiguous site (e.g., a water pump station) as covered or uncovered.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"Document FAA Part 107 compliance and any FAA authorization relied upon for flights over a facility on the enumerated list, since (c)(5) is the exemption most AEC commercial operators will rely on; retain this documentation given the misdemeanor exposure. Where the facility is not clearly fenced/posted as required by the definition, confirm coverage rather than assuming the statute applies.",https://law.justia.com/codes/texas/government-code/title-4/subtitle-b/chapter-423/section-423-0045/,2026-08-06,High,"Full section text pulled directly from Justia's codification, including the complete facility-type enumeration and exemption list. Re-confirmed 2026-08-06 as part of Workstream 9 retrofit: Justia's current Chapter 423 table of contents shows no additional 89th Legislature (2025) amendments beyond what is already reflected in this record's effective/revision dates.",
TX-004,Texas,TX,48,Texas,State,"Statewide — sports venues (30,000+ capacity)",Texas Legislature,Offense: Operation of Unmanned Aircraft Over Sports Venue,Tex. Gov't Code § 423.0046,Binding law or regulation,"Sept. 1, 2017",Unamended since enactment,Current / in force,Binding,Sports-venue UAS restriction,Any person operating a UAS,"Operating a UAS at or below 400 ft AGL over a sports venue with 30,000+ seating capacity",Prohibition,No (listed exemptions),No,Moderate,Moderate,"It is an offense to intentionally or knowingly operate a UAS at or below 400 ft AGL over an arena, racetrack, coliseum, stadium, or similar facility with a seating capacity of 30,000 or more used primarily for professional or amateur sports/athletics events. Exemptions mirror Section 423.0045, including the commercial-operator exemption at (c)(5) for FAA Part 107-compliant, FAA-authorized commercial operations, and the venue owner/operator, its contractors, and persons with the venue's prior written consent. Class B misdemeanor, enhanced to Class A on a prior conviction under this section or Section 423.0045.","The 30,000-seat threshold excludes most mid-size and small venues — confirm actual seating capacity before treating a stadium or arena project as covered, but coordinate with venue management regardless given event-day TFRs and safety considerations that exist independent of this statute.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,Same (c)(5) commercial-operator exemption logic as the critical-infrastructure statute applies; document FAA compliance for any flight over a qualifying venue and obtain the venue's written consent where practical even though not strictly required by the exemption.,https://law.justia.com/codes/texas/government-code/title-4/subtitle-b/chapter-423/section-423-0046/,2026-08-06,High,Full section text pulled directly from Justia's codification; no amendments since 2017 enactment per the section's history line. Re-confirmed 2026-08-06 as part of Workstream 9 retrofit: Justia's current Chapter 423 table of contents shows no additional 89th Legislature (2025) amendments beyond what is already reflected in this record's effective/revision dates.,
TX-005,Texas,TX,48,Texas,State,Statewide,Texas Legislature,Regulation of Unmanned Aircraft by Political Subdivision (state preemption of local UAS ordinances),Tex. Gov't Code § 423.009,Binding law or regulation,"Sept. 1, 2017",None located,Current / in force,Binding,State preemption of local UAS regulation,Counties and municipalities (political subdivisions),Local ordinance/order/similar measure regulating UAS operation,Preemption,No,"Yes (restricts local government, not private operators directly)",High,High,"A political subdivision (county, joint transportation board, or municipality) may not adopt or enforce any ordinance, order, or similar measure regulating UAS operation, except: (1) regulation of UAS use during a defined 'special event'; (2) the political subdivision's own UAS use; or (3) regulation of UAS near the subdivision's own facility or infrastructure, and only if the subdivision obtains FAA authorization for the regulation and holds a public hearing after reasonable notice. A measure that violates the general prohibition is void and unenforceable. The Fifth Circuit's 2023 McCraw decision affirmed dismissal of a related federal field-preemption claim without disturbing this state-law local preemption framework.","Texas's broad state preemption of local UAS ordinances means AEC operators generally should not expect a patchwork of municipal or county drone rules layered on top of state law — but confirm whether a specific project site falls within a political subdivision's own facility/infrastructure or falls within a properly FAA-authorized special-event zone, since those are the narrow areas where local rules can still apply.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"Because local UAS ordinances outside the three statutory exceptions are void by operation of state law, a local permit or ordinance purporting to independently regulate UAS operation generally cannot be enforced against a private commercial operator — but confirm this on a project-specific basis and do not assume it displaces facility-level access, trespass, or generally applicable safety regulation.",https://law.justia.com/codes/texas/government-code/title-4/subtitle-b/chapter-423/section-423-009/,2026-08-06,High,Full section text pulled directly from Justia's codification; no amendments since 2017 enactment per the section's history line. Re-confirmed 2026-08-06 as part of Workstream 9 retrofit: Justia's current Chapter 423 table of contents shows no additional 89th Legislature (2025) amendments beyond what is already reflected in this record's effective/revision dates.,Local/municipal UAS ordinances themselves remain out of scope for this research phase per Agent Instructions v4 Section 2.3; this record only covers the state statute that preempts them.
TX-006,Texas,TX,48,Texas,State,Statewide — correctional/detention facilities,Texas Legislature,Operation of Unmanned Aircraft over Correctional Facility or Detention Facility,Tex. Penal Code § 38.115,Binding law or regulation,"Sept. 1, 2023",None located,Current / in force,Binding,Corrections/detention-facility UAS restriction,Any person operating a UAS,"Operating a UAS at or below 400 ft AGL over, contacting, or interfering with a correctional or ICE detention facility",Prohibition,No (listed exemptions),No,High near facilities,Moderate,"It is an offense to intentionally or knowingly operate a UAS at or below 400 ft AGL over a 'correctional facility' (TDCJ-operated/contracted facilities, municipal/county jails, federal BOP facilities, or secure juvenile facilities under Family Code Section 51.02) or 'detention facility' (an ICE-contracted immigration detention facility), allow contact with the facility, or interfere with/disturb its operations. Exemptions include the federal/state government and its contractors, persons with the facility owner's/operator's prior written consent, and law enforcement agencies and their contractors — notably, there is no separate general commercial-operator/FAA-compliance exemption comparable to Sections 423.0045-.0046. Class B misdemeanor, enhanced to Class A on a prior conviction under this section, or to a state jail felony if the UAS was used to introduce contraband into the facility.","Identify any state, federal, private, county, or municipal correctional or immigration-detention facility near a project site during pre-flight planning; unlike the critical-infrastructure and sports-venue statutes, there is no standalone commercial-operator exemption here, so obtain the facility owner/operator's prior written consent before flying at or below 400 ft over or near such a facility.","Contact the protected facility's owner, operator, administrator, commander, or other official identified by the authority before mobilization and ask whether the proposed AEC mission qualifies for written approval or an employment/contractor exception. Provide the site, purpose, dates, flight area, crew and aircraft details the facility requests, and retain the signed authorization and security conditions; do not assume ordinary site access or a client work order is sufficient.",N/A — no procurement or equipment-selection implication identified,"Retain written consent documentation for any flight authorized near a correctional or detention facility given the absence of a general commercial exemption and the state-jail-felony exposure if contraband introduction is alleged; confirm facility classification (state, federal BOP, ICE, county/municipal, or juvenile) before relying on any exemption.",https://texas.public.law/statutes/tex._penal_code_section_38.115,2026-08-06,High,"Full section text pulled from Texas.Public.Law, a secondary republisher that cites and links the official statutes.capitol.texas.gov source and shows a 'verified' currency date; independently corroborated via Texas Penal Code Chapter 38 section index. Re-confirmed 2026-08-06 as part of Workstream 9 retrofit: Justia's current Chapter 423 table of contents shows no additional 89th Legislature (2025) amendments beyond what is already reflected in this record's effective/revision dates.",
TX-007,Texas,TX,48,Texas,State,"Statewide — airports, military installations, spaceports",Texas Legislature,"Operation of Unmanned Aircraft over Airport, Military Installation, or Spaceport",Tex. Penal Code § 42.15,Binding law or regulation,"Sept. 1, 2023 (orig., airports/military installations); amended eff. Sept. 1, 2025 to add spaceports (S.B. 1197, 89th Leg.)",2025,Current / in force,Binding,Airport / military installation / spaceport UAS restriction,Any person operating a UAS,"Operating a UAS over, contacting, or interfering with an airport, military installation, or (as of Sept. 2025) a spaceport",Prohibition,No (listed exemptions),No,High near facilities,High,"It is an offense to intentionally or knowingly operate a UAS over an airport (as defined by Transportation Code Section 22.001) or military installation, allow contact with it, or interfere with/disturb its operations. Defenses include the federal/state government and contractors, law enforcement and contractors, the airport/installation owner/operator and contractors, a person with prior written or electronic authorization from the owner/operator or the FAA, and the property owner/occupant or a person with their consent. Class B misdemeanor, enhanced to Class A on a prior conviction. S.B. 1197 (89th Leg., R.S.), signed June 20, 2025 and effective Sept. 1, 2025, amended this section to add 'spaceport' (defined by reference to Local Gov't Code Section 507.001) as a third protected facility type; the penalty tier for a spaceport violation remains Class B misdemeanor (Class A on a prior conviction) -- independently confirmed via the official Texas Senate Research Center bill analysis (capitol.texas.gov), which resolves a conflict in secondary sources where one source had mischaracterized the spaceport provision as a state-jail felony.","This statute is directly relevant to any AEC project near a Texas airport (a common site type for surveying, corridor mapping, and construction documentation) — the FAA-authorization defense in (c)(7)(B) means a standard FAA Part 107 airspace authorization for controlled airspace near an airport can double as a state-law defense, but confirm the authorization is documented in writing/electronically before relying on it.","Contact the protected facility's owner, operator, administrator, commander, or other official identified by the authority before mobilization and ask whether the proposed AEC mission qualifies for written approval or an employment/contractor exception. Provide the site, purpose, dates, flight area, crew and aircraft details the facility requests, and retain the signed authorization and security conditions; do not assume ordinary site access or a client work order is sufficient.",N/A — no procurement or equipment-selection implication identified,"Both the pre-2025 airport/military-installation text and the 2025 spaceport amendment have now been independently verified against official sources (the base statute via Texas.Public.Law's republication, and the spaceport amendment via the Texas Senate Research Center's official bill analysis of S.B. 1197). The penalty for any violation under this section, including the spaceport provision, is a Class B misdemeanor (Class A on a prior conviction) -- not a felony; do not rely on secondary sources that characterize the spaceport provision as a state-jail felony.",https://texas.public.law/statutes/tex._penal_code_section_42.15,2026-08-01,High,"Airport/military-installation text independently verified against Texas.Public.Law's republication of the official statute. The Sept. 1, 2025 spaceport amendment is now independently confirmed via the official Texas Senate Research Center bill analysis of S.B. 1197 (capitol.texas.gov/tlodocs/89R/analysis/html/SB01197F.htm), which resolved a conflict between secondary sources over the penalty tier (confirming Class B misdemeanor/Class A on repeat conviction, not a felony as one secondary source had claimed).",Re-verification completed 2026-08-06; no further action needed.
TX-008,Texas,TX,48,"5th U.S. Circuit Court of Appeals (federal, TX-originating)",Court,"Statewide (binding precedent in the Fifth Circuit, which includes Texas)",U.S. Court of Appeals for the Fifth Circuit,National Press Photographers Ass'n v. McCraw,"90 F.4th 770 (5th Cir. 2023), No. 22-50337",Court decision,"Decided Oct. 23, 2023",N/A,Current / in force (facial challenge rejected; as-applied challenges not foreclosed),Court decision,Constitutional/preemption challenge to Tex. Gov't Code Ch. 423,"N/A — case establishes the statute's constitutionality, not a direct operator obligation",N/A,N/A,No,Moderate (establishes the statute is enforceable),Moderate,Moderate,"Reversing a Western District of Texas ruling that had enjoined several provisions, the Fifth Circuit held that plaintiffs' facial First Amendment challenge to Chapter 423's surveillance-image, no-fly-over-critical-infrastructure, sports-venue, and correctional-facility provisions failed, and remanded with instructions to enter judgment for the state defendants. The court also affirmed dismissal of a related federal field-preemption claim (that FAA regulation preempts state UAS regulation). The panel expressly did not foreclose future as-applied First Amendment challenges to the statute in specific fact patterns.","This decision confirms that Chapter 423's core AEC-relevant provisions (critical infrastructure, sports venue, correctional facility, and the surveillance-image offense) are currently enforceable statewide and were not struck down — treat the statute as valid and plan operations accordingly rather than assuming ongoing litigation has suspended it.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"Because the Fifth Circuit rejected only a facial challenge and left the door open to future as-applied challenges, this is not a guarantee the statute could never be successfully challenged as applied to a specific set of facts; it does not change the practical compliance posture for routine commercial AEC operations, but counsel should track whether any as-applied challenge affecting the AEC-relevant provisions is later filed.",https://law.justia.com/cases/federal/appellate-courts/ca5/22-50337/22-50337-2023-10-23.html,2026-08-06,High,"Case holding and procedural history confirmed via multiple concurring secondary summaries (Wiley Rein/JDSupra, Haynes Boone, Texas A&M AgriLife Law, Reporters Committee for Freedom of the Press); full opinion text available at the cited Justia case-law URL but not independently re-read in full for this pass. Re-confirmed 2026-08-06: no subsequent Fifth Circuit or Supreme Court disposition of remanded as-applied claims located.",
TX-009,Texas,TX,48,Texas,State,Statewide (state parks and wildlife management areas),Texas Parks and Wildlife Department,Drones/UAVs — Aerial Management Permit (AMP) and Land Owner Authorization (LOA) requirement for wildlife-related UAS use,31 Tex. Admin. Code §§ 65.151-65.152; Tex. Parks & Wildlife Code (Airborne Hunting Act framework),Binding administrative regulation,Current,Unknown,Current / in force,Binding,Wildlife-related UAS restriction,Any person operating a UAS in connection with wildlife or exotic animals,"Using a UAS to count, photograph, relocate, capture, hunt, or take wildlife or exotic animals",Permit required for any covered activity,Yes — Aerial Management Permit (AMP) plus an approved Land Owner Authorization (LOA),No,Moderate,Moderate,"Except under a TPWD-issued Aerial Management Permit (AMP) with an approved Land Owner Authorization (LOA), it is unlawful under 31 TAC Section 65.152 to use an aircraft — including a drone — to count, photograph, relocate, capture, hunt, or take wildlife or exotic animals, implementing the state framework adopted under the federal Airborne Hunting Act. Aircraft-assisted pursuit/recovery of wildlife in connection with recreational/sport hunting is not permitted; state law separately allows a hunter to act as an AMP sub-agent for feral hog and coyote take. Violation may constitute a Class A misdemeanor and/or a federal Airborne Hunting Act violation.","Environmental monitoring, habitat mapping, or resource-inventory UAS flights that incidentally photograph wildlife should be planned to avoid counting, photographing for identification purposes, or otherwise 'taking' wildlife within the rule's meaning; if a project specifically requires wildlife counts or photography from a UAS, obtain an AMP and LOA before flying rather than treating incidental wildlife imagery as automatically exempt.","Contact Texas Parks and Wildlife Department before fixing the mobilization date and ask for the current application or approval route, supporting-document checklist, fees, and processing estimate. Describe the proposed site, dates, purpose, aircraft, operator, and requested exception clearly, and retain the issued approval and all conditions; the captured requirement is: Yes — Aerial Management Permit (AMP) plus an approved Land Owner Authorization (LOA).",N/A — no procurement or equipment-selection implication identified,"Confirm the AMP/LOA permit chain (AMP from TPWD, LOA from the landowner) is documented in the project file for any UAS work with a wildlife-survey or wildlife-photography purpose; general AEC mapping/inspection flights that do not target wildlife are less likely to implicate this rule, but the rule's breadth ('photograph... any wildlife') warrants a conservative read for any project scope that includes wildlife documentation.",https://tpwd.texas.gov/warden/law-enforcement-faq/drones-uavs,2026-08-06,High,"TPWD's own published FAQ page (primary agency source) quotes 31 TAC Sections 65.151-65.152 directly. The underlying Texas Administrative Code text was independently re-pulled 2026-08-06 from Cornell Law School's Legal Information Institute mirror of 31 Tex. Admin. Code Section 65.152 (current through the Jan. 1, 2023 amendment, Texas Register Vol. 47, No. 51), which matches TPWD's FAQ summary, including the UAV-specific carve-out in subsection (e) permitting UAV use solely to locate feral hogs.",
TX-010,Texas,TX,48,Texas,State,Statewide (state park property),Texas Parks and Wildlife Department,State Park UAS launch/land/operate authorization requirement,"31 Tex. Admin. Code Section 59.132(a) (director's general authority to restrict activity/use in a state park) and Section 59.136 (penalties); TPWD's own published Park Rules page states the drone policy as agency policy. No dedicated, drone-specific numbered TAC rule was located -- the previously cited Section 59.134 does not, in fact, contain any UAS/drone provision (see verification_status).",Official agency policy (implemented under general administrative-rule authority),Current,Unknown,Current / in force,Binding,State park UAS restriction,Any person,"Launching, landing, or operating a UAS within a state park's boundaries",Prior written authorization required,Yes — written authorization from TPWD or the park superintendent,No,Moderate,Moderate,"TPWD's own current Park Rules page (tpwd.texas.gov) states that drones are allowed in Texas state parks only in two circumstances: (1) a designated area at Martin Dies, Jr. State Park, or (2) with a filming permit obtained from the specific park. Outside those two circumstances, UAS launch/land/operate is not permitted. This is TPWD agency policy exercised under the director's general authority (31 TAC Section 59.132(a)) to restrict public activity in a state park; a violation of Sections 59.132-59.134 is a Class C misdemeanor per Section 59.136 -- not the Class A misdemeanor/$4,000 fine claimed by a previously-cited secondary source. Prior public reporting citing San Angelo State Park and Lake Whitney State Park as additional designated RC-aircraft zones was not corroborated by TPWD's current Park Rules page, which names only Martin Dies, Jr. State Park; treat those two additional parks as unconfirmed pending direct TPWD confirmation.","Build superintendent-authorization lead time into project scheduling for any state-park-adjacent AEC work (environmental documentation, trail/infrastructure inspection, corridor mapping) -- do not assume FAA Part 107 authority alone permits launch or landing within park boundaries. Confirm with the specific park whether a filming permit (TPWD's own stated mechanism) is the correct route, rather than relying on a specific TAC section number, since none currently codifies the drone-specific restriction.","Start with the site manager or permitting office for Texas Parks and Wildlife Department before scheduling fieldwork, because property-specific conditions may control the route and timing. Request the current form, lead time, fee, insurance and FAA-document checklist, and site restrictions, then keep the signed approval and conditions in the mission file.",N/A — no procurement or equipment-selection implication identified,"Do not cite '31 TAC Section 59.134' as the source of the drone restriction -- the current text of that section (independently verified 2026-08-06) contains no UAS/drone provision at all. The restriction is TPWD agency policy exercised under the director's general Section 59.132(a) authority to restrict park activities; cite TPWD's own Park Rules page as the operative source in client-facing work, and note that the penalty for violating Sections 59.132-59.134 is a Class C misdemeanor (Section 59.136), not a Class A misdemeanor/$4,000 fine as a prior secondary source claimed.",https://tpwd.texas.gov/state-parks/park-information/rules,2026-08-06,Moderate,"Corrected 2026-08-06: the previously-cited Section 59.134 was independently pulled in full from Cornell Law School's Legal Information Institute mirror of the Texas Administrative Code (current through the May 2022 amendment) and contains no UAS/drone provision whatsoever -- it addresses abandoned property, alcohol, animals/pets, firearms, closed areas, fees, camping, fires, minors, motor vehicles, natural/cultural resources, noise, nudity, soliciting, and water/wastewater rules, but not drones. Sections 59.131, 59.132, 59.133, 59.135, and 59.136 (the rest of Subchapter F) were also independently pulled and likewise contain no drone-specific provision. TPWD's own current Park Rules page (tpwd.texas.gov, last modified 2025-06-24) confirms the substantive drone policy narratively, without citing a specific TAC section, and Section 59.136 confirms Class C misdemeanor is the penalty tier for violations of the general Subchapter F rules (Sections 59.132-59.134) -- directly contradicting the 'Class A misdemeanor/$4,000 fine' figure in the previously-cited secondary source (legalclarity.org), which is not supported by the primary regulatory text and should not be relied upon.","Resolved 2026-08-06. If TPWD later publishes a dedicated numbered UAS rule (e.g., in a future TAC rulemaking), update this record's citation accordingly; as of this pass, no such numbered rule exists."
