record_id,state,state_abbr,state_fips,jurisdiction_name,jurisdiction_type,geographic_scope,issuing_authority,source_title,citation,source_type,effective_date,revision_date,status,binding_level,uas_topic,regulated_party,regulated_activity,requirement_type,permit_or_approval_required,public_agency_only,commercial_operator_relevance,aec_relevance,summary,practical_interpretation_aec_expert,practical_interpretation_agency_practitioner,practical_interpretation_uas_procurement_expert,practical_interpretation_legal_counsel,source_url,date_accessed,confidence_level,verification_status,notes
WI-001,Wisconsin,WI,55,Wisconsin,State,Statewide; state and county correctional institutions and their grounds,Wisconsin Legislature,Limitation on the operation of drones — correctional institutions,"Wis. Stat. 114.045(1)(a), (1m), and (2)",Binding statute or regulation,Current codification; originally effective in 2014,Amended by 2025 Wisconsin Acts 189 and 194; reviewed 2026-08-02,Current / in force,Binding,Correctional facilities; restricted overflight; data seizure,"Any drone operator, subject to express authorization",Operating a drone over a state or county correctional institution or its grounds,Civil forfeiture prohibition; express-authorization exception; evidence seizure,"Yes — express authorization from the secretary of corrections or designee for a state institution, or the county sheriff or designee for a county institution",No,High near correctional facilities,High near correctional facilities,"Wis. Stat. 114.045 prohibits operating a drone over a state or county correctional institution or its grounds without express authorization. Authorization must come from the secretary of corrections or designee for a state institution, or the county sheriff or designee for a county institution. A violation may produce a forfeiture of up to $5,000. An investigating officer must seize visual images or other data created or recorded by the drone in connection with the alleged violation and handle that material under the statute's transfer and retention provisions.","Treat written facility coordination as a pre-mobilization gate for work within Statewide; state and county correctional institutions and their grounds; do not rely only on flight-app geofencing or a client's general site-access instruction. Include lost-link, return-to-home, emergency landing, sensor-direction, and observer controls that prevent an unintended facility overflight, prohibited capture, loitering, or interference.","Use the current named facility or administering agency application or request channel and provide the mission description, dates, aircraft, pilot, and requested operating area. The packet identifies the approval as: Yes — express authorization from the secretary of corrections or designee for a state institution, or the county sheriff or designee for a county institution. Because the verified source does not establish a dependable review time for every case, confirm completeness, reviewer, lead time, approval duration, and field-contact expectations directly with the agency.",N/A — no procurement or equipment-selection implication identified,"Retain the current application, all attachments, written approval, conditions, amendments, and closeout records under Wis. Stat. 114.045(1)(a), (1m), and (2); a client's verbal direction should not substitute for the named authority's authorization. Escalate if the approving official, property boundary, operating dates, data rights, insurance terms, or ability to use a contractor is unclear.",https://docs.legis.wisconsin.gov/statutes/statutes/114/i/045,2026-08-02,High,"Verified against the current provision, official WisDOT UAS guidance, and 2025 Wisconsin Acts 189 and 194",The 2026 acts reorganized section 114.045 and expanded it to schools and utility facilities without removing the correctional-institution restriction.
WI-002,Wisconsin,WI,55,Wisconsin,State,"Statewide; property owned by or containing a public, private, or tribal school during instruction or a school-approved event",Wisconsin Legislature,Operation of drones over school property,"Wis. Stat. 114.045(1b), (1m)(b), and (2); 2025 Wisconsin Act 189",Binding statute or regulation,"Enacted April 3, 2026; published April 4, 2026",2025 Wisconsin Act 189,Current / in force,Binding,School property; restricted overflight; authorization; data seizure,"Any drone operator, subject to statutory exceptions",Operating a drone over covered school property during instruction or a school-approved event,Civil forfeiture prohibition; express-authorization and narrow law-enforcement exceptions,"Yes — express authorization from the applicable school board, governing body, or designee; the authority must respond within five business days",No,High for school-site work,High,"Act 189 prohibits drone operation over property owned by, or containing, a public, private, or tribal school while the school is open for pupil instruction or the property is used for a school-approved event. Express authorization from the applicable school authority or designee is an exception, and the authority must respond to a request within five business days. Narrow law-enforcement exceptions also apply. A violation may result in a forfeiture up to $5,000, and alleged-violation imagery or data is subject to statutory seizure and retention.","Treat written facility coordination as a pre-mobilization gate for work within Statewide; property owned by or containing a public, private, or tribal school during instruction or a school-approved event; do not rely only on flight-app geofencing or a client's general site-access instruction. Include lost-link, return-to-home, emergency landing, sensor-direction, and observer controls that prevent an unintended facility overflight, prohibited capture, loitering, or interference.","Use the current named facility or administering agency application or request channel and provide the mission description, dates, aircraft, pilot, and requested operating area. The packet identifies the approval as: Yes — express authorization from the applicable school board, governing body, or designee; the authority must respond within five business days. Because the verified source does not establish a dependable review time for every case, confirm completeness, reviewer, lead time, approval duration, and field-contact expectations directly with the agency.",N/A — no procurement or equipment-selection implication identified,"Retain the current application, all attachments, written approval, conditions, amendments, and closeout records under Wis. Stat. 114.045(1b), (1m)(b), and (2); 2025 Wisconsin Act 189; a client's verbal direction should not substitute for the named authority's authorization. Escalate if the approving official, property boundary, operating dates, data rights, insurance terms, or ability to use a contractor is unclear.",https://docs.legis.wisconsin.gov/document/acts/2025/189.pdf,2026-08-02,High,Verified directly against the chaptered act and official governor enactment summary,The act does not prescribe a statewide application form. Its listed law-enforcement exceptions cover specified urgent operations and do not create a general commercial exception.
WI-003,Wisconsin,WI,55,Wisconsin,State,Statewide; below 300 feet over or within 500 feet of a parcel containing a listed utility facility,Wisconsin Legislature,Operation of drones over certain utility facilities,Wis. Stat. 114.045(1)(b) and (3)(b); 2025 Wisconsin Act 194,Binding statute or regulation,"Enacted April 3, 2026; published April 4, 2026",2025 Wisconsin Act 194,Current / in force,Binding,Critical infrastructure; utility facilities; altitude; parcel buffer; commercial exception,"Any drone operator, subject to statutory exceptions",Operating below 300 feet over or within 500 feet of a parcel containing a listed utility facility,"Civil forfeiture prohibition with owner, governmental, and commercial/FAA-compliance exceptions; evidence seizure","No state permit stated; statutory exceptions may apply, including compliant commercial-purpose operations",No,High near utility facilities,High,"Act 194 prohibits drone operation below 300 feet over or within 500 feet of a parcel containing specified water, electric, natural-gas, telecommunications, broadband, cable, public-water, petroleum-refining, storage, or pipeline-pump facilities. Listed exceptions include owner-directed facility work, official local-government work, and a commercial-purpose operation conducted in compliance with applicable FAA regulations, authorizations, or exemptions. The provision excludes electric transmission lines and other structures used solely to carry electric power or product. The chapter's forfeiture and imagery-seizure provisions apply to alleged violations.","Map the covered facility and conservative stand-off area during desktop planning for work within Statewide; below 300 feet over or within 500 feet of a parcel containing a listed utility facility; do not rely only on flight-app geofencing or a client's general site-access instruction. Include lost-link, return-to-home, emergency landing, sensor-direction, and observer controls that prevent an unintended facility overflight, prohibited capture, loitering, or interference.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"Preserve the mission screening and factual basis for compliance with Wis. Stat. 114.045(1)(b) and (3)(b); 2025 Wisconsin Act 194, including the operating area, purpose, approvals, and any relied-upon exception. Escalate ambiguous scope, conflicting client direction, or facts that could change the regulated party or activity before flight.",https://docs.legis.wisconsin.gov/document/acts/2025/194.pdf,2026-08-02,High,Verified directly against the chaptered act and official governor enactment summary,"Confirm facility classification, parcel boundary, altitude, commercial purpose, and FAA compliance before relying on the commercial-operation exception."
WI-004,Wisconsin,WI,55,Wisconsin,State,Statewide land and water,Wisconsin Legislature,Flying and landing; limitations,Wis. Stat. 114.04,Binding statute or regulation,Current codification,Current statute reviewed 2026-08-02,Current / in force,Binding,Low flight; surface interference; imminent danger; landing consent; damage liability,Aircraft operators and owners; WisDOT identifies unmanned aircraft as aircraft for Wisconsin law,"Flying low enough to interfere with surface use, flying dangerously, or landing without consent",Operational prohibition and civil damage rule,Landowner consent is required for a non-forced landing,No,High,High,"Wis. Stat. 114.04 makes flight over Wisconsin land and water lawful unless the altitude is low enough to interfere intentionally with an existing use of the land or water, or the flight is imminently dangerous or damaging to persons or property lawfully on the surface. Landing an aircraft on another person's land or water without consent is unlawful except in a forced landing, and the operator or owner is liable for resulting damage. WisDOT's official UAS page states that Wisconsin recognizes unmanned aircraft as aircraft and identifies this provision as applicable.","Treat the Wisconsin Legislature process as a pre-mobilization gate: confirm the current submission route and obtain written authorization that covers the site, dates, aircraft, pilots, payload, and purpose. Do not lock the field schedule until agency lead time and any insurance, notification, or site-condition requirements are known.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"Retain the current application, all attachments, written approval, conditions, amendments, and closeout records under Wis. Stat. 114.04; a client's verbal direction should not substitute for the named authority's authorization. Escalate if the approving official, property boundary, operating dates, data rights, insurance terms, or ability to use a contractor is unclear.",https://docs.legis.wisconsin.gov/statutes/statutes/114/i/04,2026-08-02,High,Verified against the current statute text and official WisDOT UAS page,Official WisDOT UAS guidance: https://wisconsindot.gov/Pages/travel/air/pilot-info/uas.aspx
WI-005,Wisconsin,WI,55,Wisconsin,State,Statewide; aircraft operation in the air or on the ground or water,Wisconsin Legislature,Intoxicated and reckless flying; penalty,Wis. Stat. 114.09,Binding statute or regulation,Current codification,Current statute reviewed 2026-08-02,Current / in force,Binding,Intoxicated operation; prohibited alcohol concentration; careless or reckless operation,Aircraft operators; WisDOT identifies the provision as applicable to unmanned aircraft,Operating or attempting to operate while impaired or operating carelessly or recklessly so as to endanger life or property,Criminal and forfeiture prohibition with escalating penalties,No,No,High,High,"Wis. Stat. 114.09 prohibits operating or attempting to operate an aircraft while under the influence of an intoxicant, controlled substance, controlled-substance analog, or other drug to a degree that makes safe operation impossible, and prohibits operation with a prohibited alcohol concentration. It separately prohibits careless or reckless operation that endangers another's life or property and directs courts to consider federal safe-operation standards. Penalties escalate based on offense history and circumstances. WisDOT's official UAS page identifies section 114.09 among the Wisconsin statutes applicable to unmanned aircraft.",Add Intoxicated and reckless flying; penalty to the mission-specific legal and site screening for Statewide; aircraft operation in the air or on the ground or water. Brief the crew on the triggering conduct and document the operational boundary or exception relied upon before launch.,N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"Treat Intoxicated and reckless flying; penalty as a documented stop-work or redesign trigger because the packet identifies criminal, civil, evidentiary, or damage exposure. The contract and flight record should preserve the site screening, authority or exception relied upon, crew briefing, and incident/escalation path; obtain counsel where the facts sit near an undefined boundary or intent element.",https://docs.legis.wisconsin.gov/statutes/statutes/114/i/09,2026-08-02,High,Verified against the current 2025 statute text and official WisDOT UAS page,"The section contains detailed intoxication thresholds, testing procedures, assessment requirements, and escalating penalties not reproduced in full here."
WI-006,Wisconsin,WI,55,Wisconsin,State,"Statewide allocation of authority among cities, villages, towns, counties, the state, and federal law",Wisconsin Legislature,Local regulation of drones,Wis. Stat. 114.105,Binding statute or regulation,Effective in 2018; current codification,Current statute reviewed 2026-08-02,Current / in force,Binding,State preemption; local ordinances; governmental drone use,"Cities, villages, towns, counties, drone owners, and drone operators",Adopting or enforcing local rules governing drone ownership or operation,Express preemption with limited exceptions,No,No,High,High,"Wis. Stat. 114.105 generally prohibits a city, village, town, or county from regulating drone ownership or operation. A political subdivision may adopt an ordinance in strict conformity with Wisconsin Chapter 114 and may impose the same penalty, but it may not suspend or revoke an aviation certificate or license. A political subdivision may also limit how the subdivision itself uses drones. The statute bars ordinances contrary to or inconsistent with Chapter 114 or federal law, substantially limiting local operator-facing UAS regulation while preserving the stated exceptions.","Add Local regulation of drones to the mission-specific legal and site screening for Statewide allocation of authority among cities, villages, towns, counties, the state, and federal law. Brief the crew on the triggering conduct and document the operational boundary or exception relied upon before launch.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"Treat Local regulation of drones as a documented stop-work or redesign trigger because the packet identifies criminal, civil, evidentiary, or damage exposure. The contract and flight record should preserve the site screening, authority or exception relied upon, crew briefing, and incident/escalation path; obtain counsel where the facts sit near an undefined boundary or intent element.",https://docs.legis.wisconsin.gov/statutes/statutes/114/i/105,2026-08-02,High,Verified against the current 2025 statute text and official Wisconsin Legislative Council materials,"Preemption does not eliminate property-owner permissions, contract requirements, or generally applicable local rules that do not regulate drone ownership or operation."
WI-007,Wisconsin,WI,55,Wisconsin,State,Statewide; places or locations where an individual has a reasonable expectation of privacy,Wisconsin Legislature,Use of a drone,Wis. Stat. 942.10,Binding statute or regulation,Effective in 2014; current codification,Current statute reviewed 2026-08-02,Current / in force,Binding,Privacy; photography; recording; observation; reasonable expectation of privacy,"Any person using a drone, except law-enforcement use authorized under Wis. Stat. 175.55(2)","Intentionally using a drone to photograph, record, or otherwise observe an individual in a protected place or location",Criminal prohibition; Class A misdemeanor,No,No,High,High,"Wis. Stat. 942.10 makes it a Class A misdemeanor to use a drone, with intent, to photograph, record, or otherwise observe another individual in a place or location where that individual has a reasonable expectation of privacy. The statute uses the drone definition in section 114.105 and excludes law-enforcement use authorized under section 175.55(2). The prohibition is directed to intentional observation or recording of an individual in a protected setting; it is not framed as a general ban on aerial imaging or incidental capture in public places.","Use a mission-specific collection plan for Statewide; places or locations where an individual has a reasonable expectation of privacy that limits camera angle, dwell time, audio, zoom, thermal capture, and retention to the contracted purpose. Brief the crew on aborting or redirecting collection when people, residences, or unrelated activity enter the sensor footprint.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"Treat Use of a drone as a documented stop-work or redesign trigger because the packet identifies criminal, civil, evidentiary, or damage exposure. The contract and flight record should preserve the site screening, authority or exception relied upon, crew briefing, and incident/escalation path; obtain counsel where the facts sit near an undefined boundary or intent element.",https://docs.legis.wisconsin.gov/statutes/statutes/942/10,2026-08-02,High,Verified against the current 2025 statute text and official WisDOT UAS page,The statute's intent and reasonable-expectation-of-privacy elements are material; the summary does not resolve how they apply to a specific imaging geometry or site.
WI-008,Wisconsin,WI,55,Wisconsin,State,Statewide,Wisconsin Legislature,Possession of a weaponized drone,Wis. Stat. 941.292,Binding statute or regulation,Effective in 2014; current codification,Current statute reviewed 2026-08-02,Current / in force,Binding,Weaponized drones; prohibited payloads,Any drone operator except a member of the United States armed forces or National Guard acting officially,Operating a weaponized drone,Criminal prohibition; Class H felony,No,No,Moderate,Moderate,"Wis. Stat. 941.292 defines a drone as a powered aerial vehicle that carries no human operator, uses aerodynamic forces for lift, and can fly autonomously or by remote piloting. Operating any weaponized drone is a Class H felony. The only stated exception applies to a member of the United States armed forces or National Guard acting in an official capacity. The provision regulates the aircraft's weaponization rather than ordinary payloads used for imaging, surveying, inspection, or remote sensing.","Screen aircraft and payload configuration against Possession of a weaponized drone before deployment, including release devices, tethered tools, sample systems, and experimental attachments. Use configuration control so a field crew cannot inadvertently deploy a prohibited or ambiguous payload.",N/A — no agency process involved,"Use configuration-controlled payload interfaces and maintain documentation showing the purpose, operating limits, release safeguards, aircraft weight, and approved mission configuration. Avoid buying or fielding attachments whose capability could place an otherwise ordinary mapping aircraft within a weapon, projectile, contraband-delivery, or regulated dispensing provision.","Treat Possession of a weaponized drone as a documented stop-work or redesign trigger because the packet identifies criminal, civil, evidentiary, or damage exposure. The contract and flight record should preserve the site screening, authority or exception relied upon, crew briefing, and incident/escalation path; obtain counsel where the facts sit near an undefined boundary or intent element.",https://docs.legis.wisconsin.gov/statutes/statutes/941/iii/292,2026-08-02,High,Verified against the current 2025 statute text and official WisDOT UAS page,"No general law-enforcement, commercial, or owner-consent exception appears in the statute."
WI-009,Wisconsin,WI,55,Wisconsin,State,Statewide criminal investigations by Wisconsin law-enforcement agencies,Wisconsin Legislature,Use of drones restricted,Wis. Stat. 175.55,Binding statute or regulation,Effective in 2014; amended in 2018; current codification,Current statute reviewed 2026-08-02,Current / in force,Binding,Law-enforcement surveillance; search warrant; privacy; emergency exceptions,"Wisconsin law-enforcement agencies, including the Department of Justice and tribal law-enforcement agencies",Using a drone to gather evidence or information in a criminal investigation from or at a place where an individual has a reasonable expectation of privacy,Search-warrant requirement with enumerated exceptions,Yes — search warrant unless a statutory exception applies,Yes,Low for private commercial operators; relevant to public-safety clients,Moderate,"Wis. Stat. 175.55 prohibits a Wisconsin law-enforcement agency from using a drone to gather evidence or other information in a criminal investigation from or at a place where an individual has a reasonable expectation of privacy without first obtaining a search warrant. Exceptions cover use in a public place, active search and rescue, locating an escaped prisoner, surveillance to execute an arrest warrant, and reasonable suspicion that drone use is necessary to prevent imminent danger or imminent destruction of evidence. The definition includes state, local, tribal, and Department of Justice agencies.","This record does not directly regulate an ordinary privately controlled AEC flight, but it can govern a mission performed for or integrated into the named public agency's program. Define in the scope and flight plan who authorizes the mission, controls the aircraft, receives the data, and is responsible for the cited records or use restrictions.","Use the current named facility or administering agency application or request channel and provide the mission description, dates, aircraft, pilot, and requested operating area. The packet identifies the approval as: Yes — search warrant unless a statutory exception applies. Because the verified source does not establish a dependable review time for every case, confirm completeness, reviewer, lead time, approval duration, and field-contact expectations directly with the agency.",N/A — no procurement or equipment-selection implication identified,"Retain the current application, all attachments, written approval, conditions, amendments, and closeout records under Wis. Stat. 175.55; a client's verbal direction should not substitute for the named authority's authorization. Escalate if the approving official, property boundary, operating dates, data rights, insurance terms, or ability to use a contractor is unclear.",https://docs.legis.wisconsin.gov/statutes/statutes/175/55,2026-08-02,High,Verified against the current 2025 statute text,"This is a public-agency surveillance rule, not a general authorization for a private contractor to conduct law-enforcement surveillance."
WI-010,Wisconsin,WI,55,Wisconsin,State,"Statewide lawful hunting, fishing, trapping, and associated activities",Wisconsin Legislature,"Interference with hunting, fishing, or trapping — drone provision",Wis. Stat. 29.083(2)(a)8,Binding statute or regulation,Drone provision effective in 2016; current codification,"Limited by Brown v. Kemp, 86 F.4th 745 (7th Cir. 2023)",Current in part; subsection (2)(a)7 held unconstitutional,Binding subject to controlling judicial limit,Hunter interference; wildlife harassment; obstruction; drones; recording,Any person using a drone with the required interference intent,Using a drone to conduct an interference activity prohibited in subdivisions 1 through 7,"Criminal prohibition and civil remedy, limited by constitutional decision",No,No,Moderate,Moderate for wildlife and public-land work,"Section 29.083(2)(a)8 prohibits using a drone to conduct an interference activity prohibited by subdivisions 1 through 7, including harassing wildlife, physically impeding or obstructing a hunter or associated activity, and disturbing hunting property, blinds, stands, bait, or feed. In Brown v. Kemp, the Seventh Circuit held subdivision 7's proximity, confrontation, photography, recording, and monitoring restrictions unconstitutional, but the original physical-interference provisions were not challenged. Drone use therefore remains prohibited when used to carry out still-valid interference acts, while subdivision 7 cannot support enforcement as written.","Screen the mission for active hunting and wildlife sensitivity within Statewide lawful hunting, fishing, trapping, and associated activities; plan altitude, stand-off distance, route, observers, and abort criteria to avoid pursuit, harassment, or assistance to a taking. Document the project's environmental or infrastructure purpose and pause if animals materially react to the aircraft.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"Treat Interference with hunting, fishing, or trapping — drone provision as a documented stop-work or redesign trigger because the packet identifies criminal, civil, evidentiary, or damage exposure. The contract and flight record should preserve the site screening, authority or exception relied upon, crew briefing, and incident/escalation path; obtain counsel where the facts sit near an undefined boundary or intent element.",https://docs.legis.wisconsin.gov/statutes/statutes/29/083,2026-08-02,High,Verified against the statute text and Brown v. Kemp,Controlling decision: https://media.ca7.uscourts.gov/cgi-bin/OpinionsWeb/processWebInputExternal.pl?Path=Y2023/D11-13/C:21-1042:J:Hamilton:aut:T:fnOp:N:3130110:S:0&Submit=Display
