record_id,state,state_abbr,state_fips,jurisdiction_name,jurisdiction_type,geographic_scope,issuing_authority,source_title,citation,source_type,effective_date,revision_date,status,binding_level,uas_topic,regulated_party,regulated_activity,requirement_type,permit_or_approval_required,public_agency_only,commercial_operator_relevance,aec_relevance,summary,practical_interpretation_aec_expert,practical_interpretation_agency_practitioner,practical_interpretation_uas_procurement_expert,practical_interpretation_legal_counsel,source_url,date_accessed,confidence_level,verification_status,notes
AR-001,Arkansas,AR,05,Arkansas,State,Statewide (at/regarding critical infrastructure),Arkansas Legislature,Unlawful Use of an Unmanned Aircraft System Related to Infrastructure — Unlawful Use of an Unmanned Aircraft System Related to Images,"Ark. Code Ann. § 5-60-103 (Act 2015-1019, as substantially amended and retitled by Act 2025-597 (the ""Arkansas Privacy Act""), eff. 2025-08-05; previously amended by Acts 2019-320, 2019-508, 2019-1000, 2021-140)",Binding law or regulation,2015-07-22,2025-08-05,Current / in force,Binding,Critical infrastructure UAS restriction; UAS image-capture/surveillance restriction,Any person,"(1) Using a UAS to conduct surveillance of, gather evidence or collect information about, or photographically/electronically record 'critical infrastructure' (now expressly including natural gas distribution/transmission lines, facilities, and storage, added by Act 2025-597) without the owner's prior written consent; and (2), as a newly created separate offense effective 2025-08-05, purposely using a UAS to capture an 'image' (defined broadly to include sound, thermal, infrared, ultraviolet, visible-light, or other electromagnetic-wave or odor data) of an individual or private property with the purpose of conducting surveillance on that individual or property","Prohibition (misdemeanor), with property-owner, retained-contractor, insurance, law-enforcement, and ArDOT/State Highway Commission/public-works exceptions (critical-infrastructure offense, subsection (c)); separate prohibition (misdemeanor) on purposeful surveillance-intent image capture of a person or private property, with an image-destruction defense, a § 27-118-101 lawful-capture defense, and a law-enforcement-duties defense (new 'images' offense, subsections (e)-(f))",No,No,High,High,"Ark. Code Ann. § 5-60-103 was substantially amended and retitled by Act 2025-597 (the Arkansas Privacy Act, HB1148, approved 2025-04-14, effective 2025-08-05 with no emergency clause). The pre-existing critical-infrastructure offense (subsections (a)-(d)) is preserved with two changes: the definition of 'critical infrastructure' now expressly includes 'a natural gas distribution or transmission line, natural gas facility, or natural gas storage' (new subdivision (a)(1)(I)), and a new consent-exception subdivision (c)(4) was added exempting the Arkansas Department of Transportation, the State Highway Commission, a city or county department of public works, and their contractors/consultants/employees/partner state entities performing authorized department/commission/public-works work. It remains a Class B misdemeanor (Class A for a second or subsequent offense) to knowingly use a UAS to conduct surveillance of, gather evidence about, or record critical infrastructure without the owner's prior written consent, subject to the pre-existing property-owner/retained-contractor and insurance-underwriting exceptions. The Act also adds an entirely new offense at subsections (e)-(f): a person commits 'unlawful use of an unmanned aircraft system related to images' — a Class C misdemeanor — if the person purposely uses a UAS to capture an image of an individual or private property with the purpose of conducting surveillance on that individual or property. It is a defense that the person destroyed the image as soon as they knew it was captured in violation of the section (without having disclosed it), that the image was captured lawfully as authorized under the Act's new safe-harbor statute § 27-118-101 (AR-011), or that the image was captured by a law enforcement officer performing official duties. NOTE ON A DRAFTING ANOMALY: the enrolled Act 597 text's UAS-definition exclusion at subdivision (a)(3)(B)(iv) reads, verbatim, 'An unmanned aircraft system used under a certificate of authorization issued by the operated by a person for a commercial purpose pursuant to and in compliance with Federal Aviation Administration regulations, authorizations, or exemptions' — this appears to be an uncorrected drafting/amendment-stacking artifact (the clause reads as though two successive amendments were merged without cleanup) rather than a deliberate substantive change; it should be rechecked against the eventual official codified/Justia text once available, since the current wording is grammatically broken and its exact legal effect on the COA exclusion is not free from doubt.","Screen the project map for protected critical-infrastructure facilities (now including natural gas lines/facilities/storage) and active emergency operations before dispatch. Separately, because the new 'images' offense turns on purposeful surveillance intent rather than subject matter, ensure flight planning, camera framing, and mission purpose documentation for any AEC survey/inspection work make clear the flight's purpose is mapping, engineering, or infrastructure documentation — not surveillance of a specific individual or private property — and rely on the new § 27-118-101 safe harbor (AR-011), which expressly covers Arkansas-licensed engineers and surveyors performing mapping/land-surveying/GIS work, as a documented lawful-use basis.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"Treat the cited authority as a documented compliance gate where applicable, now spanning two distinct offenses (critical-infrastructure surveillance and general surveillance-intent image capture) plus a new civil-liability exposure under AR-009 and a new possession/disclosure offense under AR-010. Preserve the facts supporting any exception, consent, or § 27-118-101 safe-harbor theory, allocate client and operator responsibilities clearly, and seek state counsel when project facts approach ambiguous or penal language — including the noted drafting anomaly in the COA exclusion clause.",https://arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2025R%2FPublic%2F&file=597.pdf&ddBienniumSession=2025%2F2025R,2026-08-05,High,"Full current statutory text (as amended through Act 2025-597, approved 2025-04-14, effective 2025-08-05) verified directly against the official enrolled Act 597 PDF at arkleg.state.ar.us. Not yet cross-checked against Justia's codification, which had not yet incorporated the 2025 regular session's amendments as of this research pass; recommend re-confirming against Justia or the official Arkansas Code once its 2025-session update is published.","Act 2025-597 was a significant, previously unrecorded legislative event for this register: it retitled and expanded § 5-60-103, added a wholly new UAS-images criminal offense (subsections (e)-(f)), and (via the same Act) created three additional new authorities now recorded separately as AR-009 (new civil action, § 16-118-119), AR-010 (new possession/disclosure offense, § 5-60-126), and AR-011 (new statewide lawful-use safe harbor naming AR-licensed engineers/surveyors, § 27-118-101) — AR-011 in particular is the single most AEC-relevant new Arkansas authority identified in this retrofit pass. The COA exclusion drafting anomaly noted in the summary field does not appear to change the ordinary-commercial-Part-107-operator analysis carried over from the pre-2025 text: a routine commercial AEC drone flight over critical infrastructure without the owner's consent is still not automatically exempted merely because the operator holds a Part 107 remote pilot certificate."
AR-002,Arkansas,AR,05,Arkansas,State,Statewide (at/regarding critical infrastructure),Arkansas Legislature,Civil Actions Against Operators of an Unmanned Aircraft System,"Ark. Code Ann. § 16-118-111 (Act 2015-1019, § 2)",Binding law or regulation,2015-07-22,N/A,Current / in force,Binding,Critical infrastructure UAS restriction — civil remedy,Any person who violates § 5-60-103,Same conduct prohibited by § 5-60-103,Civil liability (statutory damages),N/A,No,High,High,"Ark. Code Ann. § 16-118-111 gives the owner of critical infrastructure a private civil action against a person who violates § 5-60-103 (AR-001), for the greater of actual damages or $10,000; three times actual damages (or $10,000, whichever is greater) if the violation resulted in profit or monetary gain; plus costs and reasonable attorney's fees.","Screen the project map for protected facilities and active emergency operations before dispatch. Establish conservative stand-off and escalation points, brief the crew on the applicable restriction, and document any source-supported authorization before entering the affected area.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"Treat the cited authority as a documented compliance gate where applicable. Preserve the facts supporting any exception or consent theory, allocate client and operator responsibilities clearly, and seek state counsel when project facts approach ambiguous or penal language.",https://law.justia.com/codes/arkansas/title-16/subtitle-7/chapter-118/section-16-118-111/,2026-08-05,High,"Full current statutory text verified directly against Justia's codification of the 2024 Arkansas Code; reconfirmed 2026-08-05 as unaffected by Act 2025-597, which added a separate, additional civil action at the newly created § 16-118-119 (AR-009) rather than amending this section.","This is a civil-liability companion to AR-001; a violation exposes an AEC operator to a statutory-minimum damages claim from the infrastructure owner independent of any criminal misdemeanor charge; note this is now one of two UAS-related civil actions in the Arkansas Code — see also AR-009 (§ 16-118-119, added by Act 2025-597), which is a separate remedy tied to the new images offense rather than the critical-infrastructure offense this section addresses."
AR-003,Arkansas,AR,05,Arkansas,State,Statewide,Arkansas Legislature,Crime of Video Voyeurism (Unmanned Vehicle or Aircraft),"Ark. Code Ann. § 5-16-101(b) (Act 2015-293, § 1, as amended by Acts 2019-461, 2021-597, 2021-822)",Binding law or regulation,2015-07-22,2021-07-28,Current / in force,Binding,Privacy / surveillance UAS restriction,Any person,"Knowingly using an unmanned vehicle or aircraft (among other listed recording devices) that is concealed, operated to escape detection, or disguised, to secretly/surreptitiously record or view another person's body where that person has a reasonable expectation of privacy, without consent","Prohibition (misdemeanor, elevated if distributed/transmitted or prior conviction)",No,No,Moderate,Moderate,"Ark. Code Ann. § 5-16-101(b) makes it unlawful to knowingly use an unmanned vehicle or aircraft, camcorder, motion picture camera, photographic camera, or other equipment that is concealed, operated to escape detection, or disguised, to secretly or surreptitiously videotape, film, photograph, record, or electronically view another person's body where that person has a reasonable expectation of privacy, without the person's knowledge or consent. A violation is a Class B misdemeanor, elevated to a Class A misdemeanor if the recording is distributed, posted online, or the person has a prior conviction under this section or § 5-16-102 (AR-004). Subsection (d) exempts several categories of authorized monitoring (court-ordered, security monitoring by an occupant/owner/administrator, correctional-facility security monitoring, and law-enforcement monitoring within official duties), none of which are general commercial-UAS-operator exceptions.","Screen the project map for protected facilities and active emergency operations before dispatch. Establish conservative stand-off and escalation points, brief the crew on the applicable restriction, and document any source-supported authorization before entering the affected area.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"Treat the cited authority as a documented compliance gate where applicable. Preserve the facts supporting any exception or consent theory, allocate client and operator responsibilities clearly, and seek state counsel when project facts approach ambiguous or penal language.",https://law.justia.com/codes/arkansas/title-5/subtitle-2/chapter-16/section-5-16-101/,2026-08-05,High,"Full current statutory text verified directly against Justia's codification of the 2024 Arkansas Code; reconfirmed 2026-08-05, unaffected by Act 2025-597.","Applies only to secretive/surreptitious recording aimed at viewing a person's body in circumstances of reasonable privacy expectation; routine, visible AEC survey/inspection/construction-documentation flights are not the conduct this statute targets, but avoid any flight path or camera framing that could be read as targeting a specific person's body in a private setting."
AR-004,Arkansas,AR,05,Arkansas,State,Statewide,Arkansas Legislature,Crime of Voyeurism (Unmanned Vehicle or Aircraft),"Ark. Code Ann. § 5-16-102(b) (Act 2015-293, § 2, as amended by Acts 2019-461, 2021-466, 2021-597)",Binding law or regulation,2015-07-22,2021-07-28,Current / in force,Binding,Privacy / surveillance UAS restriction,Any person,"For the purpose of sexual arousal or gratification, using an unmanned vehicle or aircraft to look, without consent, into a private place in a public accommodation where a person may reasonably be expected to be nude/partially nude, or to enter another's private property and look into a dwelling under specified privacy-invading circumstances",Prohibition (misdemeanor to felony depending on victim age/prior conviction),No,No,Low,Low,"Ark. Code Ann. § 5-16-102(b) makes it a crime, when done for sexual arousal or gratification, to use (personally or via an unmanned vehicle or aircraft) unconsented viewing into a private place within a public accommodation where nudity/partial nudity may reasonably be expected, or to enter another's private property via a UAS and look into a dwelling unit under specified privacy-invading conditions. Penalties range from a Class A misdemeanor up to a Class C or Class D felony depending on victim age and prior convictions.","Design acquisition and data-handling workflows to minimize unnecessary capture of people and private activity. Confirm the source-supported consent or project-purpose basis before flight and carry that limitation through processing, access control, retention, and delivery.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"Treat the cited authority as a documented compliance gate where applicable. Preserve the facts supporting any exception or consent theory, allocate client and operator responsibilities clearly, and seek state counsel when project facts approach ambiguous or penal language.",https://law.justia.com/codes/arkansas/title-5/subtitle-2/chapter-16/section-5-16-102/,2026-08-05,High,"Full current statutory text verified directly against Justia's codification of the 2024 Arkansas Code; reconfirmed 2026-08-05, unaffected by Act 2025-597.",Extremely low relevance to legitimate AEC commercial UAS work; included for completeness of the privacy/surveillance research category since it explicitly names UAS as a covered instrumentality.
AR-005,Arkansas,AR,05,Arkansas,State,Statewide,Arkansas Legislature,UAS Possession/Operation Restriction for Registered Sex Offenders,"Ark. Code Ann. § 5-14-138 (Act 2023, No. 35, § 2, eff. 8/1/2023)",Binding law or regulation,2023-08-01,N/A,Current / in force,Binding,Restricted-population UAS possession/operation restriction,Level 3 or Level 4 registered sex offenders,"Purchasing, owning, possessing, using, or operating a UAS","Prohibition, with an employment-necessity exception",N/A,No,Low,Low,"Ark. Code Ann. § 5-14-138 prohibits a person required to register under the Sex Offender Registration Act who has been assessed as a Level 3 or Level 4 offender from purchasing, owning, possessing, using, or operating a UAS, unless use is required as part of the person's employment. A violation is a Class D felony.","Design acquisition and data-handling workflows to minimize unnecessary capture of people and private activity. Confirm the source-supported consent or project-purpose basis before flight and carry that limitation through processing, access control, retention, and delivery.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"Treat the cited authority as a documented compliance gate where applicable. Preserve the facts supporting any exception or consent theory, allocate client and operator responsibilities clearly, and seek state counsel when project facts approach ambiguous or penal language.",https://law.justia.com/codes/arkansas/title-5/subtitle-2/chapter-14/subchapter-1/section-5-14-138/,2026-08-05,High,"Full current statutory text verified directly against Justia's codification of the 2024 Arkansas Code (Act 2023, No. 35, § 2, eff. 8/1/2023); upgraded from Moderate confidence after direct text verification in this retrofit pass.","Not relevant to ordinary commercial AEC UAS operations; included for completeness of the required privacy/restricted-population research category. Recommend direct verification of current statutory text before citing to a client; direct verification in this pass confirmed the statute's exact elements: it applies only to a person required to register under the Sex Offender Registration Act of 1997 who has been assessed as a Level 3 or Level 4 offender, with a narrow employment-necessity exception, Class D felony penalty."
AR-006,Arkansas,AR,05,Arkansas,State (research result — no primary source located),Statewide (all state parks),"Arkansas Department of Parks, Heritage and Tourism / Arkansas State Parks (research result)",Reported UAS Ban in Arkansas State Parks Absent a Director's Special Use Permit,N/A — reported policy; no primary Arkansas State Parks document or codified rule was located confirming this in this research pass,Discovery lead — not final authority and not included in the final source register,Unknown,Unknown,Reviewed — reported by multiple secondary sources but not independently confirmed against a primary Arkansas State Parks source,N/A,State park UAS restriction (unconfirmed),Any person,Operating a UAS in an Arkansas State Park,"Reported prohibition, with a reported Special Use Permit exception","Reportedly yes (Special Use Permit, application including drone registration and liability insurance)",No,Moderate (if accurate),Moderate,"Multiple secondary drone-law compilation sources consistently report that Arkansas State Parks prohibits UAS operation in state parks unless the Director grants a Special Use Permit, with an application process reportedly requiring a completed form, the operator's FAA drone registration certificate, and proof of liability insurance submitted to the parks system. No primary source — an official Arkansas State Parks policy page, administrative rule, or statute — was located during this research pass to independently confirm this reported policy; a direct fetch of a specific arkansasstateparks.com article page returned no content. Multiple secondary sources now consistently add that the Special Use Permit application, including the drone registration certificate and proof of liability insurance, is reportedly submitted by emailing parks.info@arkansas.gov; this contact detail is itself sourced only from secondary compilations and was not confirmed against a primary Arkansas State Parks document in this pass (a direct fetch of arkansasstateparks.com's drone-policy article page again returned no content).","Treat this record as a research flag, not an operator requirement. Do not change field procedures unless a current controlling source confirms the issue; route any project-specific uncertainty to the identified agency or counsel.","Start with the site manager or permitting office for Arkansas Department of Parks, Heritage and Tourism / Arkansas State Parks (research result) before scheduling fieldwork, because property-specific conditions may control the route and timing. Request the current form, lead time, fee, insurance and FAA-document checklist, and site restrictions, then keep the signed approval and conditions in the mission file.",N/A — no procurement or equipment-selection implication identified,"Do not present this negative or unresolved research result as a legal conclusion. Preserve the research limitation, verify current authority for the specific project, and escalate only if the issue could materially affect scope, access, or liability.",https://www.arkansasstateparks.com/,2026-08-05,Low,"This entry is a research result based on secondary drone-law compilation sources describing a reportedly consistent policy; per the evidentiary standard against relying on secondary drone-law lists as controlling authority, this should be independently confirmed directly with Arkansas State Parks before being relied upon as settled. Re-attempted direct primary-source verification in this retrofit pass (arkansasstateparks.com drone-policy page, site search, and targeted web search for a primary document) again failed to locate a primary Arkansas State Parks policy document or administrative rule; the record remains a documented research gap rather than a verified requirement.","Recommend a direct inquiry to Arkansas State Parks (or its parent Department of Parks, Heritage and Tourism) to confirm current policy and permit procedure before planning any AEC UAS work in an Arkansas state park; do not treat this record as a verified binding requirement until confirmed against a primary source."
AR-007,Arkansas,AR,05,Arkansas (no enacted statewide UAS preemption statute located),State (research result — no enacted statute),Statewide,Arkansas Legislature (research result — no enacted statute),No State Preemption of Local UAS Ordinances Located,N/A — research finding regarding the absence of a comprehensive state preemption statute,Discovery lead — not final authority and not included in the final source register,N/A,N/A,"Reviewed — no comprehensive UAS-specific preemption statute located, and no local ordinances currently identified as enforced",N/A,State/local regulatory boundary for UAS,"Local governments (cities, counties)",N/A,N/A,N/A,No,N/A,Low,"No comprehensive statewide UAS-preemption statute was located for Arkansas. Secondary sources report that Arkansas law does not explicitly bar municipalities from enacting their own drone ordinances, but also report that, as of this research pass, no local Arkansas drone ordinances were identified as currently in effect. Act 2025-597 (see AR-001, AR-009, AR-010, AR-011), while substantially expanding state UAS criminal and civil law, likewise did not enact any statewide preemption of local UAS ordinances; this finding is reconfirmed as of this retrofit pass.","Treat this record as a research flag, not an operator requirement. Do not change field procedures unless a current controlling source confirms the issue; route any project-specific uncertainty to the identified agency or counsel.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"Do not present this negative or unresolved research result as a legal conclusion. Preserve the research limitation, verify current authority for the specific project, and escalate only if the issue could materially affect scope, access, or liability.",https://dronelaunchacademy.com/drone-laws-by-state/arkansas/,2026-08-05,Low,"This entry reports a research result (absence of a located statewide preemption statute and absence of identified local ordinances) based on secondary drone-law compilation sources; no comprehensive negative-search confirmation was performed against Arkansas's full municipal code landscape; reconfirmed 2026-08-05, including specific confirmation that the 2025 session's Act 597 did not add a preemption provision.","Confirm municipal ordinances for any specific Arkansas project site in a later research phase before finalizing site-specific flight plans, since the absence of a currently identified ordinance is not a guarantee none exists or will be adopted."
AR-008,Arkansas,AR,05,Arkansas,State,Statewide,Arkansas State Board of Licensure for Professional Engineers and Professional Surveyors; various (research result — other categories reviewed),"Professional Licensing Competency Rule, and Other Reviewed Categories (Executive Orders, Court Decisions, AG Opinions, Procurement, DOT Aeronautics)","Article 20, Section B(1), Rules of Professional Conduct, Arkansas State Board of Licensure for Professional Engineers and Professional Surveyors (codified at 235.01.20 Ark. Code R. § 004)",Binding administrative regulation (competency rule); other categories are research results,Current,Unknown,Current / in force (competency rule); other categories reviewed with no result,Binding (general only — no UAS-specific rule or guidance identified),General professional licensing competency requirement; other categories reviewed,Licensed PE/PS,Practicing only in fields in which the licensee is competent by education/experience,N/A,No,No,Low,Moderate,"Article 20, Section B(1) of the current Rules of Professional Conduct of the Arkansas State Board of Licensure for Professional Engineers and Professional Surveyors (codified at 235.01.20 Ark. Code R. § 004, confirmed directly against the Cornell LII mirror of the Arkansas Code of Rules in this pass) provides: 'Licensees shall undertake assignments only when qualified by education or experience in the specific technical fields of engineering or surveying involved.' This corrects a prior citation to a superseded 'Rule 415' numbering that could not be independently located in the Board's current rules text; the underlying substantive requirement (competency-limited practice) is unchanged, but the citation now points to the Board's current article/section numbering rather than an apparently outdated rule number. No standalone UAS-specific Board guidance document was located. No Arkansas executive order specifically addressing UAS regulation was located. No Arkansas Attorney General opinion directly addressing UAS regulation was located. No Arkansas-specific state-agency UAS procurement restriction was located. No separate Arkansas DOT/aeronautics-office UAS program or policy distinct from FAA requirements was located, and Act 2025-597 (AR-001, AR-009, AR-010, AR-011) did not create one.","Classify the intended UAS-derived deliverable before mobilization and place licensed-professional review where the verified authority requires it. Keep flight acquisition, analysis, and final professional deliverable responsibilities explicit in the project workflow.",N/A — no agency process involved,"No current state equipment restriction is established by this research result. Do not treat that absence as permanent; check current solicitation terms, client policies, and independently applicable federal restrictions before committing a fleet to the work.","Describe this source as guidance or policy, not a generally binding statute. Check whether the client or property owner incorporates it contractually, preserve the version relied upon, and escalate conflicts with controlling authority.",https://www.law.cornell.edu/regulations/arkansas/235-01-20-Ark-Code-R-SS-004,2026-08-05,Moderate,"Article 20, Section B(1) text verified directly against the Cornell LII mirror of 235.01.20 Ark. Code R. § 004 in this retrofit pass, correcting a prior 'Rule 415' citation that could not be re-located. Absence of results in the other reviewed categories remains a research result, not a comprehensive negative-search confirmation.","Recommend a direct inquiry to the Board (or a fetch of its official current rules handbook PDF, e.g. labor.arkansas.gov's Board rules and laws handbook) to confirm this is still the Board's current, in-force numbering before citing specific rule language to a client on a UAS-derived-product certification question."
AR-009,Arkansas,AR,05,Arkansas,State,Statewide,Arkansas Legislature,Civil Action for Damages Caused by Violation of the Unmanned Aircraft System Image-Capture and Possession/Disclosure Offenses,"Ark. Code Ann. § 16-118-119 (Act 2025-597, § 4, eff. 2025-08-05)",Binding law or regulation,2025-08-05,N/A,Current / in force,Binding,UAS image-capture restriction — civil remedy,"Any person who violates § 5-60-103 (images offense, AR-001) or § 5-60-126 (AR-010)","Capturing, or possessing/disclosing/displaying/distributing/otherwise using, an image in violation of §§ 5-60-103 or 5-60-126","Civil liability: an owner or tenant of private real property whose property or person (while on the property, with a reasonable expectation of privacy) was imaged in violation of § 5-60-103 may enjoin the violation, recover $5,000 in statutory civil damages per episode of unlawful image capture, $10,000 per episode of unlawful disclosure/display/distribution/other use in violation of § 5-60-126, or actual damages if the image was disclosed/displayed/distributed with malice; plus mandatory court costs and reasonable attorney's fees to the prevailing party. Two-year statute of limitations.",N/A,No,High,High,"Ark. Code Ann. § 16-118-119, added by Act 2025-597 (the Arkansas Privacy Act) as a new section within Title 16, Chapter 118, Subchapter 1, gives an owner or tenant of private real property a private civil action against a person who, in violation of § 5-60-103 (AR-001), captured an image of the property or of the owner/tenant while on the property with a reasonable expectation of privacy. Remedies include injunctive relief, statutory damages of $5,000 per episode of unlawful capture (or $10,000 per episode of unlawful disclosure/display/distribution/other use of an image in violation of the companion possession/disclosure offense at § 5-60-126, AR-010), or actual damages where disclosure/display/distribution was done with 'malice' (a defined term: specific intent to cause substantial injury or harm to the property owner/tenant). All owners of a parcel are treated as a single owner and all tenants as a single tenant for damages purposes. The court must award costs and reasonable attorney's fees to the prevailing party. An action must be commenced within two years of the capture or the initial unlawful disclosure/display/distribution/use.","Screen flight plans and image-capture purpose against the surveillance-intent element of § 5-60-103(e) before any mission that could be read as targeting a specific private property or individual; document the project's mapping/engineering/GIS purpose and rely on the § 27-118-101 safe harbor (AR-011) as the operative defense, since this civil action attaches to the same underlying conduct.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"This is a companion civil-liability statute to the new images offense (AR-001, subsections (e)-(f)) and the new possession/disclosure offense (AR-010); it exposes an AEC operator to a statutory-minimum-damages claim, mandatory attorney's-fee shifting, and injunctive relief independent of any criminal misdemeanor charge, and is distinct from AR-002's pre-existing critical-infrastructure-only civil action under § 16-118-111.",https://arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2025R%2FPublic%2F&file=597.pdf&ddBienniumSession=2025%2F2025R,2026-08-05,High,Full statutory text verified directly against the official enrolled Act 597 PDF at arkleg.state.ar.us.,"New record added in this retrofit pass; not previously in this register. See AR-001, AR-010, AR-011 for the other authorities created by the same Act."
AR-010,Arkansas,AR,05,Arkansas,State,Statewide,Arkansas Legislature,"Unlawful Possession, Disclosure, Display, Distribution, or Use of an Image Captured by an Unmanned Aircraft System","Ark. Code Ann. § 5-60-126 (Act 2025-597, § 3, eff. 2025-08-05)",Binding law or regulation,2025-08-05,N/A,Current / in force,Binding,UAS image possession/disclosure restriction,Any person,"Possessing, disclosing, displaying, distributing, or otherwise using an image that was captured in violation of § 5-60-103 (AR-001)","Prohibition (misdemeanor: Class C for mere possession of a violating image, Class B if the person otherwise discloses/displays/distributes/uses it; each image possessed/disclosed/displayed/distributed/used is a separate offense), with a destroy-the-image defense (for possession), a stop-disclosing defense (for disclosure/display/distribution/use), and a § 27-118-101 lawful-capture defense",No,No,High,Moderate,"Ark. Code Ann. § 5-60-126, added by Act 2025-597 as a new section within Title 5, Chapter 60, Subchapter 1, makes it a separate offense to possess, disclose, display, distribute, or otherwise use an image that was captured in violation of the new § 5-60-103 images offense (AR-001). A violation is a Class C misdemeanor if the person only possessed the image, or a Class B misdemeanor if the person otherwise disclosed, displayed, distributed, or used it; each image is a separate offense, and it is a defense that the person destroyed the image (for a possession charge) or stopped disclosing/displaying/distributing/using it (for a disclosure-type charge) as soon as they knew it was captured unlawfully, or that the image was lawfully captured under the new § 27-118-101 safe harbor (AR-011).","Extend the same surveillance-intent screening and § 27-118-101 safe-harbor documentation used for AR-001 to downstream data handling — storage, processing, and delivery of AEC-collected imagery — since this section separately criminalizes possession or downstream use of an unlawfully captured image even by a person other than the original operator.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"This is a downstream-conduct companion to the new AR-001 images offense and the new AR-009 civil action; because each image is a separate offense, exposure can scale quickly with an AEC firm's data volume if the underlying capture were ever found unlawful, making the § 27-118-101 safe-harbor documentation practice (AR-011) correspondingly important.",https://arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2025R%2FPublic%2F&file=597.pdf&ddBienniumSession=2025%2F2025R,2026-08-05,High,Full statutory text verified directly against the official enrolled Act 597 PDF at arkleg.state.ar.us.,"New record added in this retrofit pass; not previously in this register. See AR-001, AR-009, AR-011 for the other authorities created by the same Act."
