record_id,state,state_abbr,state_fips,jurisdiction_name,jurisdiction_type,geographic_scope,issuing_authority,source_title,citation,source_type,effective_date,revision_date,status,binding_level,uas_topic,regulated_party,regulated_activity,requirement_type,permit_or_approval_required,public_agency_only,commercial_operator_relevance,aec_relevance,summary,practical_interpretation_aec_expert,practical_interpretation_agency_practitioner,practical_interpretation_uas_procurement_expert,practical_interpretation_legal_counsel,source_url,date_accessed,confidence_level,verification_status,notes
CO-001,Colorado,CO,08,Colorado,State,Statewide,Colorado General Assembly,"Obstructing a Peace Officer, Firefighter, EMS Provider, Rescue Specialist, or Volunteer (drone-specific provision)","Colo. Rev. Stat. § 18-8-104(1)(a),(2.5),(5)(b), as amended by HB 18-1314 (2018)",Binding law or regulation,"Effective August 8, 2018",2021 (subsection (1.5) added),Current / in force,Binding,Interference with emergency/public-safety operations by UAS,Any person operating a drone,"Using or threatening to use a UAS as an 'obstacle' to obstruct, impair, or hinder a peace officer, firefighter, EMS provider, rescue specialist, or volunteer acting under official authority",Prohibition (criminal offense),No general permit; conditional exception requires coordination with the responding agency,No,Moderate,Moderate,"Colo. Rev. Stat. § 18-8-104 defines 'obstacle' to include an unmanned aircraft system (§ (5)(b)). A person commits the offense by using or threatening to use a UAS as an obstacle to knowingly obstruct, impair, or hinder a peace officer, firefighter, EMS provider, rescue specialist, or volunteer acting under color of official authority. Subsection (2.5) provides that the offense does not apply if the UAS operator (a) obtains permission to operate from the law enforcement agency or entity coordinating the emergency response, (b) continues to communicate with that entity during operation, and (c) immediately complies with any instructions concerning the UAS's operation. The offense is a class 2 misdemeanor (up to 120 days imprisonment and/or a fine up to $750).","Do not fly at or near an active emergency, accident, or wildfire scene without first obtaining permission from the coordinating law enforcement or incident-command entity and maintaining communication with them throughout the flight — this is directly relevant to any AEC post-disaster damage assessment or infrastructure-inspection flight near an active incident.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"Document the specific permission obtained from the coordinating entity (agency name, contact, time granted) before and during any flight near an active emergency response, since the statutory exception is conditioned on ongoing communication and compliance, not merely initial permission; retain this documentation given the misdemeanor exposure.",https://law.justia.com/codes/colorado/2023/title-18/article-8/part-1/section-18-8-104/,2026-08-01,High,Full current statutory text (including the 2018 UAS amendment and 2021 subsection (1.5) addition) verified directly against Justia's codification of the Colorado Revised Statutes.,
CO-002,Colorado,CO,08,Colorado,State,Statewide,Colorado General Assembly,Criminal Invasion of Privacy (camera-agnostic; applies to drone-mounted cameras),Colo. Rev. Stat. § 18-7-801,Binding law or regulation,"Effective July 1, 2004; amended effective July 1, 2010",2010,Current / in force,Binding,Privacy / unauthorized surveillance by UAS-mounted camera,Any person,"Knowingly observing or photographing another person's intimate parts, without consent, where the person observed/photographed has a reasonable expectation of privacy",Prohibition (criminal offense),No,No,Low,Moderate,"Colo. Rev. Stat. § 18-7-801 makes it a class 2 misdemeanor to knowingly observe or photograph another person's intimate parts (as defined in § 18-3-401(2)) without consent, in a situation where the person has a reasonable expectation of privacy. The statute is camera-agnostic — it does not reference drones by name — but its definition of 'photograph' expressly includes photographs, motion pictures, videotape, live feed, and other electronically or digitally reproduced visual material, which industry commentary and secondary sources describe as applying to drone-mounted camera surveillance.","Routine AEC aerial mapping, inspection, and construction-progress photography is far outside the conduct this statute targets, but avoid incidental capture of private outdoor spaces (yards, pools, windows) where individuals might have a reasonable expectation of privacy, and adjust flight paths or camera angles near residential areas accordingly.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"This is an intent-based statute requiring knowing observation of intimate parts specifically, not general aerial photography — document the professional/survey purpose of a flight if a project boundary abuts residential property, but this statute presents low practical risk for standard commercial AEC UAS work.",https://law.justia.com/codes/colorado/title-18/article-7/part-8/section-18-7-801/,2026-08-01,High,"Full current statutory text verified directly against Justia's codification of the Colorado Revised Statutes; the statute's application specifically to drones (as opposed to cameras generally) is confirmed only via secondary industry-compliance sources, not by a Colorado court decision located in this research pass.",
CO-003,Colorado,CO,08,Colorado,State,Statewide,Colorado General Assembly,Landowner Airspace Rights and Civil Trespass,Colo. Rev. Stat. § 41-1-107,Binding law or regulation,Current,Unknown,Current / in force,Binding,Civil trespass / landowner airspace rights applicable to UAS overflight,Any person,"Operating an aircraft (including, per secondary sources, a UAS) over private property in a manner that interferes with the landowner's use and enjoyment",Civil liability (not a criminal prohibition),No,No,Moderate,Moderate,"Colo. Rev. Stat. § 41-1-107 recognizes a surface landowner's interest in the airspace above their land, providing a statutory basis for civil trespass claims arising from intrusive overflights. Federal law controls the navigable airspace itself, but this statute addresses civil liability for overflights that unreasonably interfere with a landowner's use and enjoyment of their property. Secondary industry-compliance sources describe this as the primary Colorado statutory hook for drone-overflight civil-trespass claims, alongside common-law intrusion-upon-seclusion theories.","Obtain landowner consent or a documented right of access before flying low-altitude survey or inspection missions over adjacent private parcels outside the project boundary, since repeated or low overflight could support a civil trespass claim even without any criminal violation.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"This is a civil-liability statute, not a licensing or permitting requirement — advise clients that a civil trespass claim is a real risk distinct from FAA compliance and the criminal statutes above; the exact contours of 'interference' sufficient to support a claim have not been independently verified against Colorado case law in this pass.",https://www.dronelaws.us/colorado,2026-08-01,Moderate,Citation and general substance confirmed via a secondary industry-compliance source (DroneLaws.us); the exact current statutory text of § 41-1-107 was not independently re-pulled and read in full in this pass.,Recommend direct verification of the full current text of § 41-1-107 against the Colorado Revised Statutes before citing specific language to a client.
CO-004,Colorado,CO,08,Colorado,State,Statewide (CPW-administered state parks and outdoor recreation lands),Colorado Parks and Wildlife (CPW) Commission,"Prohibition on Aircraft/UAS Launch, Landing, or Operation on State Parks and Outdoor Recreation Lands","2 C.C.R. 405-1, Chapter P-1, Regulation #100.b.15 (general 'aircraft' prohibition, text verified); secondary sources additionally cite Regulation #100.c.24 (UAS-specific, effective Jan. 1, 2018) which was not located in the regulation text obtained in this pass",Binding administrative regulation,"Chapter P-1 effective May 1, 2017 (text obtained); UAS-specific subsection reported effective Jan. 1, 2018 per secondary sources",Unknown — regulation text obtained reflects the 2017 adoption; a later UAS-specific amendment is reported but not independently confirmed,"Current / in force, with an unresolved citation discrepancy (see notes)",Binding,State park/outdoor recreation land UAS restriction,Any person,"Launching, landing, or operating a UAS on Colorado state parks, state wildlife areas, or state trust lands administered by CPW","Prohibition, except in designated model-aircraft areas",No,No,High,High,"The full text of 2 CCR 405-1, Chapter P-1, Regulation #100.b.15 obtained directly from CPW prohibits landing or taking off with any 'aircraft' on Parks and Outdoor Recreation Lands and waters, except as specifically authorized or in an emergency; 'aircraft' is there defined as any device used or intended for manned flight or to otherwise hold humans aloft (airplanes, helicopters, gliders, hot air balloons, hang gliders, etc.) — this specific provision's text, as obtained, does not by its own terms extend to unmanned/UAS devices. Multiple current secondary industry-compliance sources (e.g., a 'Regulation #100-c.24,' reported effective January 1, 2018) describe a UAS-specific prohibition on launching, landing, or operating drones on all CPW-administered state parks, state wildlife areas, and state trust lands, with exceptions only for designated model-aircraft fields at Cherry Creek State Park and Chatfield State Park. This UAS-specific subsection was not present in the regulation text independently obtained in this research pass, which may reflect a later amendment not reflected in the copy retrieved, an updated regulation numbering scheme, or an imprecise secondary-source citation.","Treat all CPW-administered state parks, state wildlife areas, and state trust lands as off-limits for UAS launch/landing/operation absent a specific CPW authorization, consistent with the well-corroborated secondary-source description, even though the exact current subsection citation could not be independently confirmed in this pass; Cherry Creek and Chatfield State Parks have designated model-aircraft areas that may or may not extend to UAS.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"Flag the citation discrepancy for the client — do not rely on 'Regulation #100.c.24' as a verified citation without confirming directly against CPW's current published regulations (Chapter P-1, 2 CCR 405-1) or by contacting CPW's Office of the Regulations Manager, since the copy of the regulation obtained in this pass defines 'aircraft' as manned-flight equipment only.",https://cpw.state.co.us/Documents/RulesRegs/Regulations/ChP01.pdf,2026-08-01,Moderate,"The 'aircraft' prohibition and definition were read directly and in full from CPW's own published Chapter P-1 regulation text; however, that text (dated 3/2/2017) defines 'aircraft' as manned-flight equipment and does not on its face include UAS, creating a discrepancy with secondary sources (dronelaws.us, flyusi.org) that cite a distinct, UAS-specific 'Regulation #100.c.24' effective 2018 which could not be located or independently verified in this pass.","High-priority item: confirm the current, complete text of CPW Regulation #100 (2 CCR 405-1) directly with CPW's Office of the Regulations Manager to resolve whether a UAS-specific subsection (c.24) exists and its exact current citation before relying on this record for a specific project."
CO-005,Colorado,CO,08,Colorado,State,Statewide,Colorado Parks and Wildlife (CPW) Commission,Prohibition on Using UAS to Aid in Hunting or Wildlife Detection/Scouting,"2 C.C.R. 406-0, Article IV, Section C (per secondary source; not independently re-pulled in full)",Binding administrative regulation,"Effective January 1, 2018",Unknown,Current / in force,Binding,Wildlife-related UAS restriction,Any person,"Using a UAS, or any remotely guided device, to search for, scout, or detect wildlife to aid in hunting or the taking of wildlife",Prohibition,No,No,Moderate,Moderate,"Effective January 1, 2018, CPW Commission regulation (2 CCR 406-0, Article IV, Section C, per secondary source) prohibits using a UAS or other remotely guided device to look for, scout, or detect wildlife as an aid to hunting or taking wildlife. This applies to pre-hunt scouting as well as active hunting operations, and it is separately unlawful to use a drone to harass wildlife in any way — causing an animal to look up, change direction, flee, or stop feeding is treated as harassment. Reported penalties under Colorado's 'Samson Law' wildlife-value framework range from $70 (small game) up to $125,000 for trophy species such as elk, bighorn sheep, mountain goat, moose, and lynx.","Plan environmental-monitoring, habitat-mapping, or resource-inventory UAS flights to avoid any activity that could be read as searching for, scouting, or detecting wildlife for hunting purposes, and build a conservative standoff buffer near known wildlife concentrations to avoid a harassment finding, particularly during hunting seasons.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"Document the survey/mapping purpose of any UAS flight over wildlife habitat to distinguish it from a hunting-related use; CPW has been reported to actively monitor social media for evidence of violations, so retain flight logs and mission documentation establishing a non-hunting purpose.",https://www.dronelaws.us/colorado,2026-08-01,Moderate,"Citation, effective date, and penalty structure confirmed via a secondary industry-compliance source and corroborated in substance by the Colorado Legislative Council Staff's October 2024 issue brief on drone use and regulation, which independently confirms a CPW regulation (there cited as 2 CCR 406-0) prohibiting UAS use to look for, scout, or detect wildlife; the full current regulation text was not independently re-pulled and read in this pass.",Recommend direct verification of the current CPW wildlife regulation text via the Colorado Secretary of State's CCR database before citing specific subsection language to a client.
CO-006,Colorado,CO,08,Colorado,State,Statewide (no enacted critical-infrastructure or correctional-facility-specific UAS statute located),Colorado General Assembly (research result — no enacted statute),No Enacted Critical-Infrastructure or Correctional-Facility-Specific Drone Statute,"N/A — research finding regarding the absence of a Texas- or New York-style facility-protection statute; contrast with prior bills HB 15-1555 (criminal trespass/harassment by drone), HB 15-059 (limiting law enforcement drone use), and HB 16-1026 (drones near airports and correctional facilities), all of which died in committee",Discovery lead — not final authority and not included in the final source register,N/A,N/A,Reviewed — no applicable UAS-specific source located,N/A,Critical infrastructure / correctional facility UAS restriction,Any person operating a UAS near critical infrastructure or a correctional facility,N/A,N/A,No,N/A,N/A,"High (significant negative finding for AEC risk assessment, given Texas/New York's broad facility-protection statutes)","Unlike Texas (Gov't Code §§ 423.0045-.0046, Penal Code §§ 38.115, 42.15) and New York (new Penal Law Article 280), Colorado has not enacted a standalone statute prohibiting UAS operation over or near critical infrastructure facilities, correctional facilities, airports, or sports venues as such. A bill addressing drones near airports and correctional facilities (HB 16-1026) died in committee, as did earlier bills defining criminal trespass and harassment by drone (HB 15-1555) and limiting law-enforcement drone use (HB 15-059). Colorado's enacted drone-specific criminal provision remains limited to obstruction of active public-safety operations (CRS § 18-8-104, see CO-001); general trespass, privacy, and reckless-endangerment statutes may still apply to conduct near such facilities, but no facility-specific UAS offense was located.","Do not apply the Texas- or New York-style 500-ft-buffer facility-protection framework to Colorado projects — no equivalent statute currently exists. Standard site-access, safety, and trespass considerations still apply near a correctional facility, airport, or critical-infrastructure site, and FAA airspace restrictions (e.g., near airports) remain fully applicable regardless of the absence of a state-specific offense.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,Do not represent to a client that Colorado imposes facility-specific UAS criminal exposure comparable to Texas or New York; monitor for future legislative activity given the pattern of repeated (though unsuccessful) bill introductions on this topic.,https://leg.colorado.gov/bills/hb16-1026,2026-08-01,Moderate,"Absence of an enacted facility-specific statute confirmed by cross-referencing the Colorado Legislative Council Staff's October 2024 issue brief (which does not list such a statute among current Colorado drone restrictions) against bill-history searches showing HB 15-1555, HB 15-059, and HB 16-1026 each died in committee; this is a negative-finding research result rather than an affirmative binding authority and does not reflect a comprehensive review of the entire Colorado Revised Statutes.",This record documents a research result per Agent Instructions v4 Section 3 rather than a binding source; retained in the register because the critical-infrastructure/correctional-facility question is a required research category with direct AEC operational relevance.
CO-007,Colorado,CO,08,Colorado,State,Statewide (no enacted preemption statute located),Colorado General Assembly (research result — no enacted statute),No State Preemption of Local UAS Ordinances,N/A — research finding regarding the absence of a state preemption statute; contrast with Tex. Gov't Code § 423.009. A 2026 bill that would have limited local regulatory authority (SB26-024) was postponed indefinitely (see CO-008),Discovery lead — not final authority and not included in the final source register,N/A,N/A,Reviewed — no applicable UAS-specific source located,N/A,State/local regulatory boundary for UAS,"Local governments (cities, counties, and special districts)",N/A,N/A,No,N/A,N/A,"High (context for local-ordinance risk, even though local ordinances themselves are out of scope this phase)","Colorado has not enacted a statute broadly preempting local UAS regulation, and the one 2026 bill that would have limited local regulatory authority over drone ownership, operation, design, and similar matters (SB26-024, the proposed 'Unmanned Aircraft Systems Rights and Authorities Act') was postponed indefinitely in the Senate Local Government & Housing Committee on February 25, 2026 (see CO-008). Secondary sources document an extensive and highly heterogeneous patchwork of municipal and county drone ordinances across Colorado, including Denver (park-facility permit requirement), Boulder (near-total prohibition on Open Space and Mountain Parks land, permits limited to research/SAR/public-safety with a 6-week minimum lead time), Boulder County (open-space UAS permit, 10 business days' notice, insurance required), Colorado Springs (parks permit requirement; separate, narrow commercial-filming windows at Garden of the Gods), Village of Cherry Hills (prohibition over all city property), Town of Telluride, City of Lakewood (park-specific bans and designated flying areas), City of Aurora, Fort Collins (natural-areas prohibition), Town of Loveland (commercial use prohibited on city property), Town of Windsor, and Town of Vail, among others — plus private ski-resort operators (Aspen Skiing Company, Vail Resorts) that independently prohibit drones on their permitted terrain.","Do not assume Colorado state law displaces local drone ordinances — Colorado's local-ordinance landscape is unusually dense and varied compared to states with a state preemption statute (e.g., Texas), and it includes major population centers (Denver, Boulder, Colorado Springs) as well as mountain resort communities with materially different rules. A project-specific municipal/county ordinance check will be necessary in a later research phase before finalizing site-specific flight plans anywhere in Colorado.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"Flag for the client that Colorado's local-ordinance landscape is at least as significant as — and likely more consequential than — the state-level rules summarized here; advise local counsel or a jurisdiction-specific ordinance check before relying on this state-level summary alone for a specific Colorado project site, particularly in or near Denver, Boulder, Colorado Springs, or mountain resort communities.",https://www.dronelaws.us/colorado,2026-08-01,Low,"This entry reports a research result (absence of a located state preemption statute, corroborated by SB26-024's failure) rather than an affirmative binding authority; the municipal-ordinance survey is based on a secondary drone-law compilation source and was not independently verified against each municipality's current code in this pass. No comprehensive negative-search confirmation was performed against the full Colorado Revised Statutes.",This record documents a research result per Agent Instructions v4 Section 3 rather than a binding source; retained in the register because the preemption question is a required research category with direct AEC operational relevance.
CO-008,Colorado,CO,08,Colorado,State,Statewide (proposed; not enacted),Colorado General Assembly,"SB26-024 — 'Unmanned Aircraft Systems Rights and Authorities Act' (Postponed Indefinitely, Not Enacted)","Colo. SB26-024 (2026 Regular Session, 75th General Assembly), introduced 01/14/2026",Proposed or pending authority — postponed indefinitely (dead); not currently binding,N/A — bill did not pass,N/A,"Postponed indefinitely by Senate Local Government & Housing Committee, Feb. 25, 2026; not enacted",Non-binding (failed legislation),Proposed comprehensive state/local UAS regulatory framework,"Individuals, commercial UAS operators, the state, and local governments","Proposed: authorizing recreational and lawful commercial drone operation statewide; limiting local-government regulatory authority over drone ownership/operation/design/manufacture/testing/maintenance/licensing/registration/certification/equipment and pilot qualifications; preserving local authority over drones the locality itself owns/uses or that launch/land on its property, and over generally applicable nuisance-type ordinances",N/A,N/A,No,N/A,Moderate (would have been high if enacted — would have functioned similarly to Texas's § 423.009 local preemption),"SB26-024, introduced January 14, 2026 by Sen. Liston, Sen. Michaelson Jenet, and Rep. Soper, would have created the 'Unmanned Aircraft Systems Rights and Authorities Act.' As introduced, the bill would have authorized recreational drone operation statewide and commercial drone operation where the underlying business is lawful and the operation complies with state and federal law; prohibited the state or a political subdivision from requiring UAS registration beyond state/federal requirements; clarified that federal-law-compliant operation does not by itself create legal liability; and established and limited both state and local regulatory authority — local governments would have retained authority only over drones they own/operate, drones launching/landing on their own property, and generally applicable ordinances (e.g., nuisance regulations), while losing authority to independently regulate UAS ownership, operation, design, manufacture, testing, maintenance, licensing, registration, certification, equipment, or pilot training/certification. The Senate Local Government & Housing Committee adopted twelve amendments on February 25, 2026, but then voted 5-2 to postpone the bill indefinitely, killing it for the 2026 session.","Do not rely on SB26-024 for any current compliance purpose — it did not pass and Colorado's current local-ordinance patchwork (see CO-007) remains in full force. Monitor for reintroduction in a future session, since this bill's approach (state framework limiting local regulatory scope while preserving local property-based and nuisance authority) closely tracks reforms enacted in other states and could reduce local-ordinance complexity if it passes in a later session.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"Advise clients that no Colorado bill currently limits local UAS regulatory authority; if SB26-024 or a similar successor bill is reintroduced and passes in a future session, revisit the local-ordinance research category (CO-007) since the compliance landscape would change materially.",https://leg.colorado.gov/bills/SB26-024,2026-08-01,High,"Bill status, sponsor information, amendment history, and the Feb. 25, 2026 postpone-indefinitely vote (5-2) confirmed directly against the Colorado General Assembly's official bill-tracking page; the full introduced bill text (PDF) was not independently read in full in this pass, so the summary above is based on the official bill-summary language on that page rather than a full read of the statutory text as introduced.",
CO-009,Colorado,CO,08,Colorado,State,Statewide,Colorado Department of Public Safety — Center of Excellence for Advanced Technology Aerial Firefighting (CoE),"Study, Pilot Program, and Ongoing State UAS Program for Public-Safety Integration","Section 24-33.5-1228, C.R.S. (funding via SB 19-020); HB 17-1070 (2017, original study/pilot-program directive)",Official agency policy / binding statutory program,"HB 17-1070 effective July 1, 2017; SB 19-020 funding subsequent",Ongoing,Current / in force — ongoing state agency program,Binding (statutory funding/authorization); operational program details are agency policy,State UAS program for public safety and wildfire response,Colorado Department of Public Safety (Center of Excellence); state and local government UAS users,"Researching, testing, and deploying UAS for wildland-fire airspace patrol, search and rescue, accident reconstruction, crime-scene documentation, and other public-safety functions",Program administration / research and pilot deployment (not a permit requirement for private operators),N/A,Yes (state/local government UAS operations),Low for private operators; Moderate for AEC firms contracting with the state on public-safety-adjacent UAS work,Low-Moderate,"HB 17-1070 (2017) directed the Center of Excellence for Advanced Technology Aerial Firefighting, within the Colorado Department of Public Safety, to study ways to safely integrate UAS into state and local government functions relating to firefighting, search and rescue, accident reconstruction, crime-scene documentation, emergency management, and emergencies involving significant property loss, injury, or death, and established a pilot program for UAS deployment to fire-hazard regions. SB 19-020 (codified at § 24-33.5-1228, C.R.S.) provided ongoing funding for the CoE to develop a system to patrol the airspace above wildland fires using drones. The CoE has continued researching and testing UAS use for public-safety purposes, publishing findings on its Unmanned Aerial Systems webpage.","This program governs state/local government UAS operations rather than private commercial operators directly, but AEC firms performing wildfire-related mapping, damage assessment, or infrastructure-inspection work for a Colorado state or local public-safety agency should coordinate directly with the CoE or the relevant agency's UAS program to deconflict airspace, particularly during active wildfire response when TFRs are in effect.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"Confirm whether a specific state or local government contract incorporates CoE protocols or airspace-deconfliction requirements as binding contract terms; this is a program-administration record rather than a private-operator compliance requirement, but is relevant context for any AEC work performed on behalf of, or adjacent to, Colorado public-safety UAS operations.",https://content.leg.colorado.gov/sites/default/files/r24-899_drones_update_issue_brief_.pdf,2026-08-01,High,"Confirmed directly against the Colorado Legislative Council Staff's October 2024 nonpartisan issue brief on drone use and regulation in the public sector, including the specific statutory citation (§ 24-33.5-1228, C.R.S.) and bill history (SB 19-020, HB 17-1070).",
CO-010,Colorado,CO,08,Colorado,State,Statewide,"Colorado Department of Regulatory Agencies (DORA) — State Board of Licensure for Architects, Professional Engineers and Professional Land Surveyors",General Professional-Practice Competency Requirement (no UAS-specific board guidance located),"Colo. Rev. Stat. Title 12, Article 120 (Professional Engineers and Professional Land Surveyors) — general competency-in-practice framework",Binding administrative regulation,Current,Unknown,Current / in force,Binding (general only — no UAS-specific rule or guidance identified),General professional licensing competency requirement,Licensed PE/PLS,Practicing only in fields in which the licensee is competent by education/experience,N/A,No,No,Moderate,Moderate,"Colorado's licensing framework for professional engineers and professional land surveyors (Title 12, Article 120, C.R.S., administered by DORA's State Board of Licensure for Architects, Professional Engineers and Professional Land Surveyors) requires licensees to practice only in fields in which they are, by education and/or experience, competent and proficient. No standalone Colorado-specific board rule, advisory, or guidance document addressing UAS-derived photogrammetry, LiDAR, or mapping products was located during this research pass. A frequently-cited secondary source describing a 'Rule 415' competency standard and applying it specifically to UAS mapping work was found to reference California's Board of Registration for Professional Engineers, Land Surveyors and Geologists and California's Land Surveyor's Act (Section 8726) rather than Colorado law, and should not be relied upon as a Colorado-specific citation.","Route UAS-derived photogrammetry/LiDAR mapping products through a Colorado-licensed PE or PLS for review under the existing general competency framework before delivery on any official survey or engineering deliverable, since no Colorado-specific UAS board standard currently exists to follow instead.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"Document licensed-professional review and QA/QC of UAS-derived deliverables given the absence of Colorado-specific UAS guidance; do not cite the 'Rule 415' language found in some secondary sources as a Colorado authority, since it traces to California's licensing framework rather than Colorado's Title 12, Article 120 framework.",https://codes.findlaw.com/co/title-12-professions-and-occupations/co-rev-st-sect-12-120-103/,2026-08-01,Low,"General statutory framework citation (Title 12, Article 120, C.R.S.) confirmed via FindLaw's codification; the specific competency-rule language commonly cited in industry sources for this topic was traced back to a California-specific source during this research pass and is flagged accordingly rather than presented as Colorado-specific.",Recommend direct verification of the current DORA/State Board of Licensure rules (3 CCR 720 series) before citing a specific Colorado rule number to a client.
