record_id,state,state_abbr,state_fips,jurisdiction_name,jurisdiction_type,geographic_scope,issuing_authority,source_title,citation,source_type,effective_date,revision_date,status,binding_level,uas_topic,regulated_party,regulated_activity,requirement_type,permit_or_approval_required,public_agency_only,commercial_operator_relevance,aec_relevance,summary,practical_interpretation_aec_expert,practical_interpretation_agency_practitioner,practical_interpretation_legal_counsel,source_url,date_accessed,confidence_level,verification_status,notes
MI-001,Michigan,MI,26,Michigan,State,Statewide,Michigan Legislature,Unmanned Aircraft Systems Act — Political Subdivision Preemption,"MCL 259.305 (Unmanned Aircraft Systems Act, 2016 PA 436, as amended by 2019 PA 32)",Binding law or regulation,2017-04-04,"2019-06-25 (2019 PA 32 amendment, immediate effect)",Current / in force,Binding (statute),State preemption of local UAS regulation,"Political subdivisions (counties, cities, villages, townships, and other public corporations, authorities, or districts)","Enacting or enforcing an ordinance, resolution, or other regulation of UAS ownership or operation","Prohibition on local regulation, with narrow carve-outs",No,No,Yes,Yes,"MCL 259.305(1) provides that, except as expressly authorized by statute, a political subdivision ""shall not enact or enforce an ordinance or resolution that regulates the ownership or operation of unmanned aircraft or otherwise engage in the regulation of the ownership or operation of unmanned aircraft."" Subsection (2) allows a narrow local ordinance addressing UAS interference with horse-drawn commercial activity in political subdivisions that already ban nonemergency motor vehicles, subject to required exceptions (newsgathering, insurance, utility maintenance, law enforcement) and an FAA fixed-site-facility petition requirement. Subsection (3) preserves a political subdivision's authority to regulate its own UAS fleet. Subsection (4) states the Act does not affect federal preemption. Subsection (5) provides that if the Act conflicts with MCL 324.40111c or 324.40112 (NREPA hunting/anti-harassment provisions), those sections control. ""Political subdivision"" is defined at MCL 259.303(d) as ""a county, city, village, township, or other political subdivision, public corporation, authority, or district in this state.""",PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,https://www.legislature.mi.gov/Laws/MCL?objectName=mcl-259-305,2026-08-02,High,"MCL 259.305 and its cross-referenced definitions (MCL 259.303(d)) were fetched and read in full directly from the official Michigan Legislature website (legislature.mi.gov), current through PA 20 of 2026 as posted.","MATERIAL FINDING: a December 26, 2025 Michigan Court of Claims decision, Michigan Coalition of Drone Operators, Inc v Regents of Univ of Mich, No. 24-000079-MZ, held that a Michigan public university (a constitutional corporation under Const 1963, art 8, section 5) is NOT a ""political subdivision"" under MCL 259.303(d), so MCL 259.305 does not preempt a university's own drone ordinance (see MI-008). This means the statewide preemption commonly described by secondary sources as blanket is narrower than advertised: it binds counties, cities, villages, townships, and similar public corporations, but not Michigan's constitutional public universities (University of Michigan, Michigan State University, Wayne State University), each of which may lawfully maintain its own UAS restrictions."
MI-002,Michigan,MI,26,Michigan,State,Statewide,Michigan Legislature,Restriction on State-Agency UAS Surveillance of Permitted Facilities,"MCL 259.307 (Unmanned Aircraft Systems Act, 2016 PA 436, added by 2018 PA 442)",Binding law or regulation,2019-03-21,Unknown — no subsequent amendment identified in this pass,Current / in force,Binding (statute),Critical-infrastructure / permitted-facility UAS surveillance restriction (state agency),"A department, agency, board, or commission of Michigan, and any person under contract with or acting at the direction of or on behalf of such an entity","Using a UAS to surveil, inspect, gather evidence about, or collect information concerning a facility that is subject to a state permit, license, order, or decree",Prohibition with statutory exceptions,"No standalone permit; owner/operator consent, a valid search warrant, an imminent-threat determination, or routine infrastructure inspection (roadway, highway, airport, port, etc.) each independently satisfy an exception",Yes,"Limited (applies only when acting under contract with, or at the direction of, a state department, agency, board, or commission)",Yes,"MCL 259.307(1) bars a Michigan department, agency, board, or commission, or a person under contract with or acting at the direction of or on behalf of one, from using a UAS to surveil, inspect, gather evidence about, or collect information concerning a facility subject to a permit, license, order, or decree issued or governed by that department, agency, board, or commission, unless: the facility owner/operator gives express consent (which may be conditioned on using the owner/operator's own FAA-compliant UAS under the agency's direct supervision); the entity is acting under a valid search warrant; the entity reasonably believes there is an imminent threat to public health, safety, property, or natural resources; or the entity is inspecting a roadway, highway, airport, airport approach corridor, port, or similar infrastructure. Data collected under an exception must be furnished to the facility owner/operator on request and is rebuttably presumed exempt from Michigan's Freedom of Information Act. The section does not apply to a law enforcement agency operating a UAS as part of a law enforcement investigation.",PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,https://www.legislature.mi.gov/Laws/MCL?objectName=mcl-259-307,2026-08-02,High,MCL 259.307 was fetched and read in full directly from the official Michigan Legislature website (legislature.mi.gov).,"Directly relevant to any AEC firm retained by a Michigan state department, agency, board, or commission (e.g., EGLE, MDOT) to perform UAS-based environmental, infrastructure, or compliance-monitoring work involving a permitted facility, since the statute's restriction expressly extends to contractors acting on the state entity's behalf, not just state employees. The roadway/highway/airport/port infrastructure-inspection exception in subsection (1)(d) is independently significant for AEC transportation-infrastructure inspection work."
MI-003,Michigan,MI,26,Michigan,State,Statewide,Michigan Legislature,"Prohibition on UAS Interference with Law Enforcement, Emergency, and Corrections Personnel","MCL 259.321 (Unmanned Aircraft Systems Act, 2016 PA 436, as amended by 2018 PA 468); penalty at MCL 259.323",Binding law or regulation,2017-04-04,"2019-03-27 (2018 PA 468 amendment, adding corrections officers)",Current / in force,Binding (statute),"Interference with law enforcement, emergency, search-and-rescue, and corrections operations (critical infrastructure / public safety)",Any individual,"Knowingly and intentionally operating a UAS in a manner that interferes with the official duties of a law enforcement official, firefighter, EMS personnel, search-and-rescue personnel, a state correctional officer, or a local corrections officer",Prohibition,No,No,Yes,Yes,"MCL 259.321 prohibits an individual from knowingly and intentionally operating a UAS in a manner that interferes with the official duties of a law enforcement official (as defined in MCL 763.7), a firefighter, emergency medical services personnel (as defined in MCL 333.20904), search and rescue personnel, a state correctional officer (as defined in MCL 791.502), or a local corrections officer (as defined in MCL 791.532). MCL 259.323(1) makes a violation a misdemeanor punishable by up to 90 days' imprisonment, a fine of up to $500, or both; subsection (2) preserves the ability to separately investigate, arrest, prosecute, or convict for any other violation of Michigan law.",PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,https://www.legislature.mi.gov/Laws/MCL?objectName=mcl-259-321,2026-08-02,High,MCL 259.321 and MCL 259.323 were each fetched and read in full directly from the official Michigan Legislature website (legislature.mi.gov).,"The statute does not create a standalone no-fly zone around correctional facilities or emergency scenes; it prohibits UAS operation that knowingly and intentionally interferes with the enumerated personnel's official duties. AEC firms performing inspection work near active corrections facilities, accident scenes, or search-and-rescue operations should coordinate with on-scene personnel before flying."
MI-004,Michigan,MI,26,Michigan,State,Statewide,Michigan Legislature,"Prohibition on UAS Harassment, Protective-Order Violation, and Invasion of Privacy","MCL 259.322 (Unmanned Aircraft Systems Act, 2016 PA 436); penalty at MCL 259.323",Binding law or regulation,2017-04-04,Unknown — no subsequent amendment identified in this pass,Current / in force,Binding (statute),"UAS-specific privacy, surveillance, and harassment restriction",Any individual; subsection (4) separately applies to individuals required to register as a sex offender,"Operating a UAS to harass an individual, to come within a distance of an individual that would violate a restraining or other judicial order if done in person, to violate Michigan's surveillance/eavesdropping statute (MCL 750.539j) or otherwise invade an individual's reasonable expectation of privacy, or (for registered sex offenders) to knowingly and intentionally follow, contact, or capture images of an individual in a manner a criminal sentence would otherwise prohibit",Prohibition,No,No,Yes,Yes,"MCL 259.322 prohibits knowingly and intentionally operating a UAS to: (1) subject an individual to ""harassment"" as defined in MCL 750.411h or 750.411i; (2) come within a distance of an individual that, if done by the operator personally rather than by remote UAS operation, would violate a restraining order or other judicial order; (3) violate MCL 750.539j (Michigan's surveillance statute) or otherwise capture photographs, video, or audio of an individual in a manner invading the individual's reasonable expectation of privacy; or (4), for an individual required to register as a sex offender, knowingly and intentionally follow, contact, or capture images of another individual where the offender's criminal sentence would otherwise prohibit that conduct. MCL 259.323(1) makes a violation a misdemeanor punishable by up to 90 days' imprisonment, a fine of up to $500, or both.",PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,https://www.legislature.mi.gov/Laws/MCL?objectName=mcl-259-322,2026-08-02,High,MCL 259.322 was fetched and read in full directly from the official Michigan Legislature website (legislature.mi.gov).,"Relevant to AEC UAS work over or near residential areas, construction sites with adjacent dwellings, or any project where incidental capture of identifiable individuals is possible; the statute turns on the operator's knowing and intentional conduct and Michigan's separate reasonable-expectation-of-privacy surveillance statute (MCL 750.539j), not on incidental or unintentional capture alone."
MI-005,Michigan,MI,26,Michigan,State,Statewide,Michigan Legislature; Michigan Department of Natural Resources,"Prohibition on Using an Unmanned Vehicle or Device to Take Game or Fish, and on Using One to Hinder Lawful Taking","MCL 324.40111c (Natural Resources and Environmental Protection Act, 1994 PA 451, added by 2008 PA 301, amended by 2015 PA 13); MCL 324.40112 (added by 1995 PA 57, amended by 2015 PA 12)",Binding law or regulation,2008-11-13 (MCL 324.40111c); 1995-05-24 (MCL 324.40112),"2015-07-13 (2015 PA 13 and 2015 PA 12 amendments, both adding unmanned-vehicle/device language)",Current / in force,Binding (statute),UAS-aided hunting/fishing restriction and anti-hunter-harassment provision (wildlife),Any individual,"(40111c) Taking game or fish using an unmanned vehicle or device that uses aerodynamic forces to achieve flight, or one that operates on or under water; (40112) using such a device, among other listed methods, to hinder or prevent another individual's lawful taking of an animal or fish",Prohibition,No,No,"Limited — hunting/fishing-specific, but relevant to wildlife-survey, forestry, or land-management UAS work near active hunting or fishing areas","Yes — relevant to UAS-based wildlife survey, forestry-inventory, or land-management flights that could be construed as taking game/fish or hindering a lawful taking during an open season","MCL 324.40111c(2) provides that ""an individual shall not take game or fish using an unmanned vehicle or unmanned device that uses aerodynamic forces to achieve flight or using an unmanned vehicle or unmanned device that operates on the surface of water or underwater."" Separately, MCL 324.40112(2)(c) makes it unlawful to use, among other listed methods, such an unmanned vehicle or device ""to affect animal or fish behavior in order to hinder or prevent the lawful taking of an animal or a fish"" by another person — an anti-hunter-harassment provision protecting lawful hunters/anglers from interference, not a provision protecting animals from harassment. A violation of MCL 324.40112 is a misdemeanor (up to 93 days and a $500-$1,000 fine for a first offense, with enhanced penalties for repeat violations, plus mandatory revocation of any department-issued hunting/fishing permit or license); MCL 324.40111c does not itself state a distinct penalty within the section as retrieved.",PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,https://www.legislature.mi.gov/Laws/MCL?objectName=mcl-324-40111c,2026-08-02,High,MCL 324.40111c and MCL 324.40112 were each fetched and read in full directly from the official Michigan Legislature website (legislature.mi.gov).,"CITATION-ACCURACY FINDING: several secondary drone-law sources describe MCL 324.40111c as broadly prohibiting UAS use ""to assist in the taking of an animal or to harass an animal."" The statute's actual text prohibits only using an unmanned vehicle/device to TAKE game or fish — it does not itself use the word ""harass"" or address harassment of animals. The state's UAS ""harassment""-type prohibition is instead in the separate anti-hunter-harassment statute, MCL 324.40112(2)(c), and it protects lawful hunters/anglers from interference by a UAS operator, not wildlife from harassment by a hunter. AEC firms relying on secondary summaries should cite the correct section (40111c for the taking prohibition; 40112 for the anti-harassment-of-hunters prohibition) and should not conflate the two."
MI-006,Michigan,MI,26,"Michigan (DNR-managed state parks, recreation areas, state forest campgrounds, and public boating access sites/harbors, statewide)",State,"Statewide (facility/land-specific — DNR-managed state parks, recreation areas, state forest campgrounds, and state-operated boating access sites/harbors)",Michigan Department of Natural Resources,Land Use Orders of the Director — UAS Restrictions and Commercial-Use Permission Requirement on DNR-Managed Land,"Land Use Orders of the Director, Order 5.1(5) (State Parks and Recreation Areas), as summarized on the DNR's official State Parks Rules page; substantially identical UAS provisions appear at Order 2.103(g) (state-operated public boating access sites and harbors) and Order 4.4(4) (state forest campgrounds), each issued under NREPA section 504, MCL 324.504, and Mich Admin Code R 299.921-299.933; commercial-use permission requirement cross-references Mich Admin Code R 299.922(dd)",Official agency policy,Unknown — original promulgation date of the UAS-specific language within Order 5.1 not independently isolated in this pass,"Unknown; the closely parallel Order 2.103(g) (boating access sites/harbors) was last amended Dec. 15, 2023 and Order 4.4(4) (forest campgrounds) was last amended Jan. 17, 2020, per the Land Use Orders of the Director's own amendment history",Current / in force,"Binding (administrative order/rule promulgated under NREPA section 504, MCL 324.504)","State-park/DNR-land UAS restriction and commercial-use permit requirement (parks, public lands)","Any person, including commercial UAS operators","Launching or operating a UAS on DNR-managed state park, recreation area, state forest campground, or boating access site/harbor land",Prohibition (specific locations/manners) plus a written-permission requirement for commercial-purpose UAS use,"Yes — written permission from an authorized DNR representative required for commercial-purpose UAS use, per Mich Admin Code R 299.922(dd); no statewide fee schedule or standard timeline identified in the sources reviewed",No,Yes,"Yes — directly relevant to any AEC firm considering aerial mapping, inspection, or environmental-monitoring UAS work on DNR-managed state parks, recreation areas, state forest campgrounds, or boating access sites","The DNR's official State Parks Rules FAQ page states that, ""in accordance with the Unmanned Aircraft System Act (PA 436 of 2016) and rule 5.1(5),"" drone operators must not fly in a state park or recreation area: in a manner that knowingly and intentionally interferes with department employees or their designees performing official duties or search-and-rescue operations; within 100 yards of a cultural or historical site or structure; upon or over the viewing platforms at Tahquamenon Falls or the platform at Palms Book State Park; over an occupied beach area, equestrian facility, campground, or restroom/open-air changing court; over an area subject to an aerial right-of-way; or for a commercial purpose without first obtaining written permission from an authorized DNR representative under Mich Admin Code R 299.922(dd). The Land Use Orders of the Director contain materially identical UAS provisions for state-operated public boating access sites/harbors (Order 2.103(g)) and state forest campgrounds (Order 4.4(4)), each independently fetched and confirmed in this pass.",PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,https://www.michigan.gov/dnr/places/state-parks/rules,2026-08-02,Moderate,"The DNR's official State Parks Rules FAQ page (michigan.gov/dnr/places/state-parks/rules), which directly quotes ""rule 5.1(5)"" and its list of UAS restrictions, was fetched and read directly. The Land Use Orders of the Director combined PDF (michigan.gov/dnr .../Orders/Land-Use-Orders/LUOD.pdf) was separately fetched and read in full; it contains near-identical UAS provisions at Order 2.103(g) (boating access sites/harbors) and Order 4.4(4) (state forest campgrounds), each expressly tied to the Unmanned Aircraft Systems Act (2016 PA 436), but Chapter V (State Parks and Recreation Areas) containing Order 5.1 itself was not located within the specific LUOD.pdf file retrieved in this pass — meaning the exact primary Order 5.1 text was not independently opened, only its restatement on the DNR's own official FAQ page.","Because Order 5.1's own primary text was not independently located in this pass (only its restatement on the DNR's official rules FAQ page, plus materially identical sibling provisions at Orders 2.103(g) and 4.4(4) which were independently verified), confirm the current, complete Order 5.1 text directly with DNR before relying on this citation for a specific state-park project; the DNR's FAQ page format for UAS rules is functionally identical across parks, forest campgrounds, and boating access sites, which supports high confidence in the substance even though the specific state-park order document was not independently pulled."
MI-007,Michigan,MI,26,"Michigan (MDOT-let projects, statewide)",State,Statewide,"Michigan Department of Transportation (MDOT), Design Division",Design Advisory DA 2026-04 — American Security Drone Act of 2023 (Prohibited Foreign-Manufactured UAS Components on MDOT-Let Projects),"MDOT Design Advisory DA 2026-04 (April 24, 2026), implementing the American Security Drone Act of 2023 (Pub. L. 118-158, Div. G, 6 USC 1828 et seq.) and OMB Memorandum M-26-02",Official agency policy,2026-04-24,"Unknown — the advisory states it is superseded by any subsequent revision to its underlying references, and MDOT indicated a further Consultant Advisory on cost treatment was forthcoming as of this research date",Current / in force,Official agency policy — binding as a condition of MDOT-let contracts (not a generally applicable statute),State-agency UAS procurement / approved-manufacturer / country-of-origin restriction,MDOT and MDOT-prequalified design and construction-engineering consultants and contractors performing UAS work on MDOT-let projects,"Using, billing, or associating with an MDOT-let project any aircraft, flight controller, payload, ground control station, or software/firmware supplied by a manufacturer based in, or subject to the control of, a foreign adversary, specifically the People's Republic of China","Prohibition; only NDAA-vetted, government-approved UAS may be associated with MDOT-let projects","No permit process; compliance with the approved/vetted equipment list is a condition of the MDOT contract, applicable to all phases including design and construction engineering","No — expressly extends to prequalified consultants and contractors, not only MDOT employees",Yes — directly binds AEC firms performing UAS work under MDOT design or construction-engineering contracts,"Yes — highly material for any AEC (survey, mapping, construction-engineering) firm bidding or performing MDOT-contracted UAS work","MDOT Design Advisory DA 2026-04 (April 24, 2026) states that, in accordance with the American Security Drone Act of 2023 (ASDA) and OMB Memorandum M-26-02, MDOT ""prohibits the use of any aircraft, flight controller, payloads, ground control station, software and firmware supplied by a manufacturer that is based in, or subject to the control of a foreign adversary, specifically the People's Republic of China,"" on all MDOT-let projects and all phases, ""including but not limited to Design and Construction Engineering."" Only UAS vetted by the U.S. government and listed as NDAA-compliant may be associated with an MDOT-let project, and no costs associated with a prohibited drone are allowable to be billed to MDOT. MDOT stated that further guidance on the treatment of direct and indirect UAS costs would follow in a future Consultant Advisory.",PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,https://www.michigan.gov/mdot/-/media/Project/Websites/MDOT/Business/Design/Design-Advisories/DA-2026-04-American-Security-Drone-Act-2023.pdf,2026-08-02,High,The full Design Advisory PDF was fetched and read directly from michigan.gov/mdot.,"This is an MDOT Design Division advisory, not a MDOT Office of Aeronautics document; no separate MDOT Aeronautics-specific internal UAS operations policy (analogous to Massachusetts's MassDOT Aeronautics Interim UAS Policy) was located in this pass. AEC firms should confirm with their MDOT contract administrator which specific equipment/software is currently NDAA-listed and watch for the forthcoming Consultant Advisory on cost treatment referenced in this document."
MI-008,Michigan,MI,26,"Michigan (arising from University of Michigan's Ann Arbor, Dearborn, and Flint campuses; decided by the Michigan Court of Claims, statewide jurisdiction)",State,"Statewide precedent (case arose from a University of Michigan Regents' ordinance, but the preemption analysis bears on all Michigan constitutional public universities)","State of Michigan, Court of Claims","Michigan Coalition of Drone Operators, Inc v Regents of University of Michigan","Michigan Coalition of Drone Operators, Inc v Regents of Univ of Mich, No. 24-000079-MZ (Mich Ct Claims, Dec. 26, 2025)",Court decision,2025-12-26,Unknown — no indication of an appeal identified in this pass; the order states it is a final order closing the case,Current / in force (final order; appellate status not independently confirmed in this pass),Binding within the Court of Claims; not yet reviewed by the Michigan Court of Appeals as of this research date,State preemption scope — public-university UAS ordinances,"Michigan's constitutional public universities (University of Michigan, and by the same reasoning, Michigan State University and Wayne State University) and any person seeking to operate a UAS on their campus property","University of Michigan Regents' Ordinance, Article XVI, which generally prohibits outdoor UAS takeoff, landing, or operation on University property absent a waiver or listed exemption (FAA-compliant law-enforcement use; indoor use under university policy)",Judicial ruling upholding a university UAS ordinance against state- and federal-preemption challenges,"N/A — the case addresses the university's own pre-existing waiver process, not a state or federal permit",No,Yes,"Yes — directly relevant to any AEC firm surveying, mapping, or inspecting on a Michigan constitutional public university's campus","In Michigan Coalition of Drone Operators, Inc v Regents of Univ of Mich, the Michigan Court of Claims (Swartzle, C.J.) granted summary disposition for the University of Michigan, rejecting a facial challenge to the Regents' drone ordinance (Article XVI), which generally bans outdoor UAS takeoff, landing, or operation on University of Michigan property (Ann Arbor, Dearborn, and Flint campuses) absent a written waiver or a listed exemption (FAA-compliant law-enforcement use, or indoor use under university safety policy). The court held that the University is not a ""political subdivision"" under MCL 259.303(d) because it is a constitutional corporation under Const 1963, art 8, section 5 with authority coordinate with the Legislature, so the state UAS preemption statute (MCL 259.305) does not expressly, field-, or conflict-preempt the university's ordinance. The court separately held the ordinance is not federally preempted because it targets privacy and campus-security objectives distinct from aviation safety/airspace efficiency, does not conflict with a specific FAA regulation, and contains its own savings clause deferring to federal law in case of conflict.",PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,https://www.courts.michigan.gov/48d265/siteassets/case-documents/opinions-orders/coc-opinions-(manually-curated)/2025/24-000079-mz.pdf,2026-08-02,High,The full opinion and order (17 pages) was fetched and read in full directly from the official Michigan Courts website (courts.michigan.gov).,"MATERIAL FINDING: this is a very recent (December 2025) primary authority establishing that Michigan's state UAS preemption statute (MCL 259.305, see MI-001) does not reach the state's constitutional public universities. AEC firms performing UAS work on University of Michigan, Michigan State University, or Wayne State University property must independently check that university's own drone policy/waiver process — the same practical caution AEC firms must exercise for municipal ordinances is warranted here, even though MCL 259.305 generally preempts municipal drone ordinances statewide. Whether this decision has been or will be appealed to the Michigan Court of Appeals was not confirmed in this pass."
MI-009,Michigan,MI,26,"Michigan Board of Professional Surveyors (within the Department of Licensing and Regulatory Affairs, Bureau of Professional Licensing)",State,Statewide,"Michigan Legislature; Department of Licensing and Regulatory Affairs (LARA), Bureau of Professional Licensing","""Practice of Professional Surveying"" — Definition (No UAS-Specific Board Guidance Located)","MCL 339.2001(f) (Occupational Code, 1980 PA 299, Article 20)",Binding law or regulation (statute) — general licensing framework only,1980-10-21,1998-07-01 (1998 PA 218 amendment),Current / in force,Binding (general licensing framework only — no UAS-specific rule or guidance identified),General professional-licensing competency for aerial/photogrammetric surveying methods (no UAS-specific rule or guidance located),Professional surveyors; persons offering or providing professional surveying services,"Practicing or offering the statutorily defined ""practice of professional surveying"" — including land, geodetic, land-information-system, engineering/architectural, and cartographic surveying (""including topographic and hydrographic mapping"") — without licensure",Licensure requirement,License (professional surveyor) generally required for the statutorily defined practice of professional surveying,No,Moderate,Moderate,"MCL 339.2001(f) defines ""practice of professional surveying"" to include consultation, investigation, evaluation, planning, mapping, assembling, and interpreting reliable scientific measurements relative to the location, size, shape, or physical features of the earth, improvements on the earth, or the space above the earth, and further enumerates land surveying, geodetic surveying, land-information-system work, engineering/architectural surveying for infrastructure design and construction layout, and cartographic surveying (""including topographic and hydrographic mapping"") as included practices. The definition does not separately name ""unmanned aircraft,"" ""UAS,"" ""drone,"" or ""photogrammetry."" No standalone LARA Board of Professional Surveyors rule, advisory ruling, or FAQ specifically addressing UAS-derived photogrammetric or LiDAR survey deliverables was located during this research pass; an attempted fetch of LARA's own ""Michigan Professional Surveyor FAQs"" PDF did not return extractable UAS-specific guidance text in this pass.",PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,https://www.legislature.mi.gov/Laws/MCL?objectName=mcl-339-2001,2026-08-02,Low,MCL 339.2001 was fetched and read in full directly from the official Michigan Legislature website (legislature.mi.gov). LARA's Bureau of Professional Licensing Surveyor FAQ PDF (michigan.gov/-/media/Project/Websites/lara/bpl/Surveyors/Surveyor-FAQ.pdf) was fetched but returned no extractable UAS-specific text in this pass; the Board's administrative rules (Mich Admin Code R 339.17101 to R 339.17509) were identified via search but not opened and reviewed section-by-section for UAS-specific guidance in this pass.,"As with several other states' analogous general surveying-licensure statutes reviewed in this project (e.g., Massachusetts's MA-005), Michigan's statutory definition uses generic ""mapping""/""cartographic surveying"" language without a direct UAS or photogrammetry textual hook, and no Board-specific UAS guidance was located. Firms should confirm directly with LARA's Board of Professional Surveyors whether a specific UAS-derived deliverable requires licensed responsible charge before relying on this citation for a specific project; the Surveyor FAQ PDF should be re-checked directly (e.g., via a PDF reader) since this pass's automated fetch may not have captured its full content."
MI-010,"Michigan (no state UAS-specific gubernatorial executive order, AG opinion, or additional state-court UAS decision beyond MI-008 located; legislative-history and pending-bill research findings)",MI,26,Michigan (research result — categories reviewed),State (research result — categories reviewed),Statewide,Governor of Michigan; Michigan Attorney General; Michigan Legislature,"Executive Orders, AG Opinions, Court Decisions, and Procurement — Research Results and Related Findings, Including Pending SHIELD Act UAS Legislation","House Bills 5329 and 5331 (103rd Legislature, 2025-2026 session), the two most advanced bills of a reported 15-bill ""SHIELD"" (Safeguarding Homesteads and Infrastructure from Emerging Foreign-Linked Drones) legislative package introduced December 2, 2025; passed by the Michigan House as of May 14, 2026 and pending before the Senate as of this research date",Discovery lead — not final authority and not included in the final source register,N/A (none enacted as of this research date),N/A,"Reviewed — no applicable UAS-specific gubernatorial executive order, AG opinion, or additional state-court decision beyond MI-008 located; substantial pending legislation identified, none enacted",N/A (pending legislation; no current binding effect),General (research checklist categories: executive orders; AG opinions; additional court decisions; state-agency UAS procurement/country-of-origin restriction beyond MI-007; pending UAS legislation; state UAS preemption statute scope),N/A,N/A,N/A,No,N/A,N/A,"Yes — clarifies the research-checklist status of several categories and flags a substantial pending 15-bill legislative package (critical-infrastructure no-fly zones, a state drone registry administered by MDOT, geofencing/signage standards, and expanded foreign-manufacturer procurement bans) directly relevant to AEC firms monitoring Michigan's regulatory trajectory","No Michigan gubernatorial executive order, Attorney General opinion, or state-court UAS decision beyond Michigan Coalition of Drone Operators, Inc v Regents of Univ of Mich (MI-008) directly and dispositively addressing UAS regulation was located. As of this research date, the most advanced pending measures are House Bills 5329 and 5331, which would bar a Michigan public entity from contracting to purchase a UAS containing software developed in whole or in part by an entity on the NDAA section 1260H list, the Chinese Military-Industrial Complex Sanctions List, or the U.S. Commerce Department's Entity List; both passed the Michigan House as of May 14, 2026 per industry reporting and remained pending in the Senate as of this research date, with no indication of Senate passage or gubernatorial signature identified in this pass. These two bills are reported to be part of a broader 15-bill ""SHIELD"" package introduced December 2, 2025 that would also create critical-infrastructure/correctional-facility no-fly zones, a state-run MDOT drone registry supplementing FAA registration, and geofencing/no-drone-zone signage standards; as of May 2026, the remaining 13 bills in the package had not advanced to a House floor vote.",PENDING — Phase 2,PENDING — Phase 2,PENDING — Phase 2,https://dronexl.co/2026/05/14/michigan-house-passes-2-of-15-shield-drone-bills/,2026-08-02,Moderate,"HB 5329 and HB 5331's House-passage status and the characterization of the broader 15-bill SHIELD package were identified through DroneXL industry reporting (May 14, 2026, and Feb. 1, 2026) and StateScoop reporting on the proposed MDOT drone registry; these bills' current committee/floor status was not independently re-confirmed against each bill's own official legislature.mi.gov bill-status page in this pass due to a tool-availability interruption during this research session. The absence of a Michigan UAS-specific executive order, AG opinion, or additional state-court decision reflects this research pass's searches, not an exhaustive review of every AG opinion volume or gubernatorial order.","MATERIAL CITATION-ACCURACY CAUTION: a March 26, 2026 trade-press headline (""Michigan Pushes Sweeping Drone Legislation Package Through State Legislature,"" DroneLife) could be misread as describing enactment of the full 15-bill SHIELD package. As of the most recent secondary reporting identified in this pass (DroneXL, May 14, 2026), only 2 of the 15 bills (HB 5329 and HB 5331) had passed the Michigan House, and neither had passed the Senate or been signed by the Governor as of this research date — the SHIELD package is NOT enacted law. This mirrors a citation-accuracy pattern flagged repeatedly elsewhere in this research program: a bill package described in headlines as advancing or passing should not be treated as enacted without confirming final passage by both chambers and gubernatorial signature. This entire row's bill-status findings should be independently re-verified directly against legislature.mi.gov before being relied upon, given the tool interruption noted above."
