"record_id","state","state_abbr","state_fips","jurisdiction_name","jurisdiction_type","geographic_scope","issuing_authority","source_title","citation","source_type","effective_date","revision_date","status","binding_level","uas_topic","regulated_party","regulated_activity","requirement_type","permit_or_approval_required","public_agency_only","commercial_operator_relevance","aec_relevance","summary","practical_interpretation_aec_expert","practical_interpretation_agency_practitioner","practical_interpretation_uas_procurement_expert","practical_interpretation_legal_counsel","source_url","date_accessed","confidence_level","verification_status","notes"
"OH-001","Ohio","OH","39","Ohio","State","Statewide","Ohio General Assembly","UAV operation and prohibitions; critical-facility definitions","Ohio Rev. Code §§ 4561.50-.51; incorporated definition at § 2911.21(F)(4)","Binding statute or regulation","2025-04-09","House Bill 77, 135th General Assembly","Current / in force","Binding","Federal compliance; emergency-response interference; critical facilities","Any UAV or UAS operator","Operating contrary to federal requirements; disrupting on-duty responders; photographing, recording, or loitering near a critical facility for specified criminal purposes","Prohibition with FAA-authorization exception for the federal-compliance provision","No separate state permit; an applicable FAA authorization supplies the stated exception to § 4561.51(A)","No","High","High","Ohio Rev. Code § 4561.51 makes federally prohibited UAV operations a state offense unless the operator complies with an FAA authorization. It separately prohibits operations that disrupt, interrupt, or impair on-duty law-enforcement, fire, or emergency-medical personnel. Purposeful photography, recording, or loitering over or near a critical facility is prohibited when done to further a violent or threatening offense or to destroy or tamper with the facility. The incorporated facility definitions cover courts, police and correctional sites, military facilities, air-ambulance hospitals, commercial distribution centers, and a long list of fenced, posted, railroad, electronic, and industrial infrastructure. Penalties range from misdemeanors to a third-degree felony.","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","https://codes.ohio.gov/ohio-revised-code/section-4561.51","2026-08-02","High","Verified against current official code text, H.B. 77 history, and incorporated § 2911.21 definition","The critical-facility provisions require a specified criminal purpose; they are not a categorical ban on ordinary commercial imaging near every listed facility. The emergency-response interference prohibition does not require that criminal purpose."
"OH-002","Ohio","OH","39","Ohio","State","Statewide","Ohio General Assembly","Unsafe operation of aircraft or UAV","Ohio Rev. Code § 4561.15(A)(5), (C)","Binding statute or regulation","2025-04-09","House Bill 77, 135th General Assembly","Current / in force","Binding","Unsafe operation; endangerment; rights and safety","Any UAV operator","Operating on land or water or in Ohio airspace in a manner that knowingly endangers a person or property or purposely disregards the rights or safety of another person","Criminal prohibition","No","No","High","High","Ohio Rev. Code § 4561.15(A)(5) prohibits operating an unmanned aerial vehicle on land or water or in the airspace over Ohio in a manner that knowingly endangers any person or property or purposely disregards the rights or safety of others. Under division (C), a violation may be punished by a fine of not more than $500, imprisonment for not more than six months, or both. The UAS provision was added by H.B. 77 and is distinct from the separate careless-or-reckless standard for manned aircraft in the section.","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","https://codes.ohio.gov/ohio-revised-code/section-4561.15","2026-08-02","High","Verified against current official code text and H.B. 77 history","The statute does not define detailed operational thresholds for knowing endangerment or purposeful disregard; project facts and other applicable law remain important."
"OH-003","Ohio","OH","39","Ohio","State","Statewide boundary on specified local UAS regulation","Ohio General Assembly","Local use and operation of UAVs","Ohio Rev. Code § 4561.52","Binding statute or regulation","2025-04-09","House Bill 77, 135th General Assembly","Current / in force","Binding","Local authority; government fleets; recreational use on public property","Municipal corporations, townships, Chapter 1545 park districts, and counties","Adopting ordinances, resolutions, or regulations concerning UAS","Affirmative but limited grant of local regulatory authority","N/A","No","Moderate","Moderate","Subject to Ohio Rev. Code §§ 4561.50-.53, § 4561.52 authorizes a municipal corporation, township, Chapter 1545 park district, or county to regulate two categories: UAVs owned and operated by that governmental entity, and UAVs operated exclusively for hobby or recreational purposes in or above a park or other public property the entity owns. The section does not expressly label itself a preemption statute or independently authorize local regulation of ordinary commercial UAS operations. It nevertheless defines the UAS-specific local powers affirmatively granted by H.B. 77 and should be read with other generally applicable property and police powers.","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","https://codes.ohio.gov/ohio-revised-code/section-4561.52","2026-08-02","High","Verified against current official code text and authenticated official PDF","Do not overstate this section as blanket preemption. It expressly grants two regulatory categories but does not state that all other local laws are void."
"OH-004","Ohio","OH","39","Ohio state parks","State agency property","All lands and waters administered by the Ohio Division of Parks and Watercraft","Ohio Department of Natural Resources, Division of Parks and Watercraft","Aviation","Ohio Admin. Code 1501:46-13-11(C)-(D)","Binding statute or regulation","2025-01-01","Current rule reviewed 2026-08-02","Current / in force","Binding","State parks; permission; recording; people, roads, boats, beaches; harassment","Any person operating or permitting operation of an unmanned aerial craft","Operating within state-park boundaries or using the craft to record covered park activities, features, facilities, lands, or waters","Prohibition with chief or authorized-agent permission and designated-site exception","Yes — permission from the chief or authorized agent, unless using an airfield or landing zone maintained specifically for unmanned craft","No","High","High","Ohio Admin. Code 1501:46-13-11 prohibits unmanned-aerial-craft operation within state-park boundaries without permission from the division chief or an authorized agent, except at an airfield or landing zone maintained for such craft. Separate permission is required to photograph, film, or record public activities, historical or cultural features, natural formations, division facilities, or other aspects of managed lands and waters. The rule also bars operation over open-air assemblies, beaches, boats, or roadways in division areas, requires FAA compliance, prohibits harassment of persons, and limits wildlife-harassment use to nuisance-control permittees who also have division permission.","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","https://codes.ohio.gov/ohio-administrative-code/rule-1501%3A46-13-11","2026-08-02","High","Verified against complete current official rule text","The rule regulates operation within park boundaries, not merely launch and landing. Its recording restriction is broader than a conventional takeoff/landing property rule."
"OH-005","Ohio","OH","39","Ohio state nature preserves and natural areas","State agency property","State nature preserves, natural areas, and lands or waters administered by the Division of Natural Areas and Preserves","Ohio Department of Natural Resources, Division of Natural Areas and Preserves","Aviation","Ohio Admin. Code 1501:17-11-03","Binding statute or regulation","2024-06-30","Current rule reviewed 2026-08-02","Current / in force","Binding","Nature preserves; natural areas; written permission; recording; harassment","Any person","Launching, landing, or operating UAS over or within preserve or natural-area boundaries; recording covered features or activities","Prohibition with advance written-permission exception","Yes — written permission from the division chief or authorized agent, requested at least 30 days in advance","No","High","High","Ohio Admin. Code 1501:17-11-03 prohibits launching, landing, or otherwise operating an unmanned aerial craft in the airspace over or within a state nature preserve or natural area unless written permission is obtained from the division chief or an authorized agent. The request must be made at least 30 days in advance. The rule separately prohibits using unmanned craft to photograph, film, or record public activities, cultural or historical features, natural formations, division facilities, or other aspects of managed lands and waters without that permission, and strictly forbids using them to harass persons or wildlife.","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","https://codes.ohio.gov/ohio-administrative-code/rule-1501%3A17-11-03","2026-08-02","High","Verified against complete current official rule text","Because the rule expressly reaches airspace over or within the boundaries, an off-property launch does not by itself avoid the state rule."
"OH-006","Ohio","OH","39","Ohio Division of Forestry lands and waters","State agency property","Lands and waters administered by the Ohio Division of Forestry","Ohio Department of Natural Resources, Division of Forestry","Aviation","Ohio Admin. Code 1501:3-2-16","Binding statute or regulation","2019-05-03","Rule updated 2026-05-29; five-year review date 2031-05-29","Current / in force","Binding","State forests; operation; takeoff; landing; permission","Any person","Operating, taking off, ascending, bringing, landing, or alighting an unmanned aerial vehicle on Division of Forestry lands or waters","Prohibition with permission exception","Yes — permission from the division chief or authorized agent","No","High","High","Ohio Admin. Code 1501:3-2-16 provides that no person may operate, take off, or ascend within or from lands or waters administered by the Division of Forestry in an unmanned aerial vehicle or other listed aerial apparatus without permission from the division chief or an authorized agent. It separately bars voluntarily bringing, landing, or alighting an unmanned aerial vehicle within or on those lands or waters without the same permission. The rule does not publish a standard application, lead time, insurance threshold, or categorical commercial exception.","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","https://codes.ohio.gov/ohio-administrative-code/rule-1501%3A3-2-16","2026-08-02","High","Verified against complete current official rule text and 2026 review metadata","Unlike the state-park and nature-preserve rules, this text is framed around operations on or from division lands and waters and does not expressly claim all overflight within the property boundary."
"OH-007","Ohio","OH","39","Ohio","State","Statewide hunting activity","Ohio Department of Natural Resources, Division of Wildlife","General hunting and trapping provisions","Ohio Admin. Code 1501:31-15-02(B)","Binding statute or regulation","2026-07-06","Current rule reviewed 2026-08-02","Current / in force","Binding","Hunting; drone assistance; deer recovery","Hunters, drone operators, and persons aiding hunting","Hunting, taking, or attempting to take wildlife with the aid or use of an aircraft or aerial drone","Prohibition with narrow post-take deer-recovery exception","No","No","Low for ordinary AEC work; high if imagery or services are connected to hunting","Low for ordinary AEC work","Ohio Admin. Code 1501:31-15-02(B) prohibits hunting, shooting, killing, taking, or attempting to take a wild bird or wild quadruped by means, aid, or use of an aircraft, expressly including aerial drones. A narrow exception allows a drone to aid recovery of a deer after the taking has occurred, provided no one involved in the recovery is employing a hunting device. If the deer is found alive, drone use must stop before hunting resumes; the operator may communicate the last location where the drone observed the deer.","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","https://codes.ohio.gov/ohio-administrative-code/rule-1501%3A31-15-02","2026-08-02","High","Verified against current official rule text effective July 6, 2026","This rule is included because it expressly names aerial drones. It does not regulate unrelated mapping, inspection, or environmental work merely because it occurs during hunting season."
"OH-008","Ohio","OH","39","Ohio","State","Statewide; law-enforcement UAV surveillance and flights","Ohio General Assembly","Law-enforcement UAV surveillance, use, and data requirements","Ohio Rev. Code §§ 4561.60-.64; H.B. 251, 136th General Assembly","Binding statute or regulation","2026-10-06","Signed 2026-07-07","Enacted / future effective","Binding when effective","Law enforcement; warrants; surveillance; lethal weapons; flight and surveillance data","Ohio law-enforcement agencies, peace officers, and persons flying on their behalf","Law-enforcement surveillance flights, weaponization, private-person surveillance authorization, and data handling","Warrant and documentation requirements; enumerated exceptions; prohibitions","A judicial warrant is required when § 4561.61 applies; no separate operator permit is created","Yes — applies to law-enforcement use and flights taken on behalf of an agency","Moderate when a consultant flies on behalf of law enforcement","Moderate","Effective October 6, 2026, Ohio Rev. Code §§ 4561.60-.64 require a warrant when a peace officer uses UAS to enter or observe a house or place in circumstances where physical entry would require one, subject to enumerated warrantless uses such as exigencies, disasters, crash scenes, crime scenes, nonintrusive public observation, event threat assessment, and collaborative research or training. Agencies may not use lethal-weapon UAS or authorize surveillance by one private individual of another without specified consent. Agencies must document and verify flight data for each surveillance flight taken by or on their behalf, retain data relevant to proceedings, and generally treat flight and surveillance data as public records.","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","https://codes.ohio.gov/ohio-revised-code/chapter-4561","2026-08-02","High","Verified against official codified future-effective sections and H.B. 251 status","This authority is enacted but not yet effective on the research date. The on-behalf-of documentation clause can reach contractor-operated surveillance flights for an agency."
"OH-009","Ohio","OH","39","Ohio public entities","State","State and political subdivisions, including boards, authorities, agencies, colleges, and universities","Ohio General Assembly / Ohio Secretary of State","Public-entity UAS foreign-adversary purchasing and operation restriction","Ohio Rev. Code § 5501.84; H.B. 251, 136th General Assembly","Binding statute or regulation","2030-10-06","Signed 2026-07-07","Enacted / future effective","Binding when effective","Procurement; foreign adversaries; state funds; public-entity fleet operation","Ohio public entities and recipients using state funds in connection with covered purchases","Purchasing, acquiring, funding, or operating UAS manufactured or assembled by a listed foreign adversary","Procurement, funding, and operation prohibition with federal-law exception","No permit; the statutory exception depends on federal law or regulation allowing continued purchase and operation","Yes — principally governs public entities and state-funded acquisitions","High for public-sector contracts and state-funded equipment","High","Beginning October 6, 2030, Ohio Rev. Code § 5501.84 prohibits a public entity from purchasing or otherwise acquiring a UAS manufactured or assembled by a foreign adversary, prohibits use of state funds in connection with such systems purchased on or after that date—including through contracts, grants, and cooperative agreements—and prohibits public entities from operating such post-effective-date systems. A federal-law or federal-regulation allowance for continued purchase and operation supplies an exception. The Secretary of State must publish and update at least semiannually a registry derived from specified federal lists.","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","https://codes.ohio.gov/ohio-revised-code/chapter-5501","2026-08-02","High","Verified against official codified future-effective section, H.B. 251 status, and Secretary of State effective-date table","The restriction is enacted but has a delayed effective date of October 6, 2030. It does not impose a present general ban on a private commercial fleet, but procurement and contract planning may need to anticipate it."
"OH-010","Ohio","OH","39","The Ohio State University","State entity (public university)","All university property, including regional campuses and reasonable airspace above it; university-sponsored activities","The Ohio State University, Office of Administration and Planning / Department of Public Safety","Use of Unmanned Aircraft Systems (UAS)","Ohio State University interim policy, issued 2015-11-20 and revised 2025-11-19","Official agency policy","2015-11-20","2025-11-19 interim revision; a July 1, 2026 revision is listed by the policy office","Current university policy","Official agency policy","Public-university property; prior approval; operations agreement; events","Faculty, staff, students, volunteers, vendors, visitors, and remote pilots","Operating UAS on university property or in university-sponsored activities","No-fly rule with discretionary advance-approval process","Yes — advance Department of Public Safety approval through the UAS request process; current flight-request guidance states at least 14 days in advance","No","High","High","Ohio State treats all university property, including regional campuses and reasonable airspace above it, as a no-drone-fly zone unless the remote pilot first receives university approval and complies with imposed conditions. The process includes a UAS request form and operations agreement, with review by Public Safety and potentially communications, export-control, venue, and other offices. Current flight-request guidance calls for submission at least 14 days before the event, prohibits flight over people, and adds venue-specific controls. The policy also governs university-sponsored activities off property and requires accident and adverse-event reporting.","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","PENDING — Phase 2","https://policies.osu.edu/sites/default/files/documents/2025/11/UAS-Policy.pdf","2026-08-02","High","Verified against official policy PDF, Public Safety request page, and policy-office revision listing","The policy office lists a July 1, 2026 revision, while the accessible PDF reviewed bears the November 19, 2025 interim revision date. Confirm the currently operative PDF during project intake."
