record_id,state,state_abbr,state_fips,jurisdiction_name,jurisdiction_type,geographic_scope,issuing_authority,source_title,citation,source_type,effective_date,revision_date,status,binding_level,uas_topic,regulated_party,regulated_activity,requirement_type,permit_or_approval_required,public_agency_only,commercial_operator_relevance,aec_relevance,summary,practical_interpretation_aec_expert,practical_interpretation_agency_practitioner,practical_interpretation_uas_procurement_expert,practical_interpretation_legal_counsel,source_url,date_accessed,confidence_level,verification_status,notes
TN-001,Tennessee,TN,47,Tennessee,State,Statewide,Tennessee General Assembly,"Lawful capture of images — mapping, surveying, utilities, commercial services, transportation, and other stated purposes","Tenn. Code Ann. § 39-13-902(a), (b)",Binding statute or regulation,"July 1, 2014; subsequently amended",Current 2024 codification reviewed with the 2025–2026 enacted session,Current / in force,Binding,Privacy; imaging; mapping; surveying; utilities; transportation,Any UAS operator capturing images in Tennessee,"Capturing and using UAS imagery for commercial, professional, public, utility, mapping, surveying, transportation, or emergency purposes",Enumerated lawful-image categories and use limitation,"No separate state permit stated; category-specific consent, credential, contract, or FAA authority may be required",No,High,High,"Section 39-13-902 makes UAS image capture lawful for enumerated purposes that include mapping; surveying by a duly registered land surveyor; utility operations, inspection, vegetation management, routing, and siting; owner or lawful-occupant consent; public-property imagery; pipeline work; FAA-authorized commercial services; TDOT planning, design, construction, maintenance, and operations; and certified photogrammetric mapping. Images may be used only for the lawful purpose for which they were captured. Incidental images of private persons or property from specified categories remain subject to § 39-13-905.","Use a mission-specific collection plan for Statewide that limits camera angle, dwell time, audio, zoom, thermal capture, and retention to the contracted purpose. Brief the crew on aborting or redirecting collection when people, residences, or unrelated activity enter the sensor footprint.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"Preserve the mission purpose, property or participant permissions, sensor settings, collection boundary, retention rule, access log, and deletion record relevant to Tenn. Code Ann. § 39-13-902(a), (b). Escalate before using zoom, audio, thermal, recognition, persistent tracking, or secondary data uses that materially expand the agreed collection.",https://law.justia.com/codes/tennessee/title-39/chapter-13/part-9/section-39-13-902/,2026-08-02,High,Verified against the full current legal text and cross-checked against official TDOT UAS guidance,"The Tennessee code is difficult to retrieve section-by-section from an official current website. The complete section was reviewed on Justia and cross-checked against official Tennessee legislative and TDOT materials. This row does not treat the lawful-purpose list as an exemption from other state, property, or federal requirements."
TN-002,Tennessee,TN,47,Tennessee,State,Statewide,Tennessee General Assembly,"Unlawful surveillance imagery; possession, distribution, and evidentiary treatment","Tenn. Code Ann. §§ 39-13-903(a)(1)–(2), 39-13-904, 39-13-905",Binding statute or regulation,"July 1, 2014",Current 2024 codification reviewed with the 2025–2026 enacted session,Current / in force,Binding,Privacy; surveillance; image use; data governance,"Any person capturing, possessing, disclosing, displaying, distributing, or using UAS imagery",UAS surveillance of individuals or private real property and later handling of unlawfully captured images,"Criminal prohibition, destruction defense, and disclosure/evidentiary limits",Owner or lawful-occupant consent or another § 39-13-902 category may establish lawful capture,No,High,High,"Subject to § 39-13-902, § 39-13-903 prohibits capturing an image of an individual or privately owned real property with intent to conduct surveillance and knowingly using an image for a prohibited purpose. Section 39-13-904 separately penalizes possession and disclosure or use of an unlawfully captured image, with each image a separate offense and prompt-cessation or destruction defenses. Section 39-13-905 generally makes unlawful or qualifying incidental imagery unavailable in proceedings, public-records disclosure, discovery, or subpoena, except when used to prove a violation of the UAS-surveillance part.","Use a mission-specific collection plan for Statewide that limits camera angle, dwell time, audio, zoom, thermal capture, and retention to the contracted purpose. Brief the crew on aborting or redirecting collection when people, residences, or unrelated activity enter the sensor footprint.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"Retain the current application, all attachments, written approval, conditions, amendments, and closeout records under Tenn. Code Ann. §§ 39-13-903(a)(1)–(2), 39-13-904, 39-13-905; a client's verbal direction should not substitute for the named authority's authorization. Escalate if the approving official, property boundary, operating dates, data rights, insurance terms, or ability to use a contractor is unclear.",https://law.justia.com/codes/tennessee/title-39/chapter-13/part-9/section-39-13-904/,2026-08-02,High,"Verified against the full text of §§ 39-13-903, 904, and 905","Section 39-13-905 limits disclosure and evidentiary use; it does not state a general deletion deadline for ordinary commercial mapping or surveying imagery. Section 39-13-904 sets Class C and Class B misdemeanor levels for possession and disclosure/use, respectively."
TN-003,Tennessee,TN,47,Tennessee,State,Statewide,Tennessee General Assembly,Open-air ticketed events and fireworks sites,"Tenn. Code Ann. § 39-13-903(a)(3)–(4), (b)",Binding statute or regulation,"July 1, 2015; fireworks provision effective July 1, 2019","Renumbering effective July 1, 2026 reviewed",Current / in force,Binding,Events; fireworks; image capture; payload delivery,Any UAS operator,Imaging or dropping items at large open-air ticketed events and operating within or over active fireworks sites,Criminal prohibition unless owner or operator consents,Yes — venue or fireworks-event owner/operator consent for the covered conduct,No,High,Moderate,"Without the venue owner or operator’s consent, § 39-13-903 prohibits intentionally capturing an image of a person or event at, or dropping any item or substance into, an open-air venue where more than 100 people are gathered for a ticketed event. It also prohibits knowingly operating within or over a designated fireworks discharge site, display site, or fallout area during the event without the event owner or operator’s consent. Following the July 1, 2026 renumbering, these remain Class C misdemeanor provisions.","Map the event or fireworks perimeter and active time window for Statewide, obtain any consent expressly available under the rule, and keep launch, route, return-to-home, and contingency areas outside the covered zone unless authorized. Recheck the event schedule immediately before flight because setup, rehearsal, or ignition activity can change the applicable operating boundary.",N/A — no agency process involved,"Use configuration-controlled payload interfaces and maintain documentation showing the purpose, operating limits, release safeguards, aircraft weight, and approved mission configuration. Avoid buying or fielding attachments whose capability could place an otherwise ordinary mapping aircraft within a weapon, projectile, contraband-delivery, or regulated dispensing provision.","Retain the current application, all attachments, written approval, conditions, amendments, and closeout records under Tenn. Code Ann. § 39-13-903(a)(3)–(4), (b); a client's verbal direction should not substitute for the named authority's authorization. Escalate if the approving official, property boundary, operating dates, data rights, insurance terms, or ability to use a contractor is unclear.",https://law.justia.com/codes/tennessee/title-39/chapter-13/part-9/section-39-13-903/,2026-08-02,High,Verified against the full statute and the 2026 enacted renumbering,The statute defines the covered fireworks areas. The school-ground amendment renumbered later subdivisions but did not alter these event and fireworks requirements.
TN-004,Tennessee,TN,47,Tennessee,State,Statewide,Tennessee General Assembly,Unmanned aircraft over correctional-facility grounds,"Tenn. Code Ann. § 39-13-903(a)(6), (b)(1), as renumbered by 2026 Tenn. Pub. Acts ch. 868",Binding statute or regulation,"July 1, 2015; renumbered July 1, 2026",2026 Tenn. Pub. Acts ch. 868,Current / in force,Binding,Correctional facilities; prohibited operation,Any UAS operator,Knowingly using a UAS over correctional-facility grounds,Class C misdemeanor prohibition,No general permission exception stated in this section,No,High,High,"Tennessee prohibits knowingly using an unmanned aircraft over the grounds of a correctional facility. Public Chapter 868 inserted the school provision as a new subdivision (a)(5), so the correctional-facility rule is subdivision (a)(6) beginning July 1, 2026. The offense remains a Class C misdemeanor. Unlike adjacent event, fireworks, school, and critical-infrastructure provisions, the correctional-facility text does not state a general owner-consent, commercial-purpose, or FAA-authorization exception for an ordinary private contractor.","Map the covered facility and conservative stand-off area during desktop planning for work within Statewide; do not rely only on flight-app geofencing or a client's general site-access instruction. Include lost-link, return-to-home, emergency landing, sensor-direction, and observer controls that prevent an unintended facility overflight, prohibited capture, loitering, or interference.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"Treat Unmanned aircraft over correctional-facility grounds as a documented stop-work or redesign trigger because the packet identifies criminal, civil, evidentiary, or damage exposure. The contract and flight record should preserve the site screening, authority or exception relied upon, crew briefing, and incident/escalation path; obtain counsel where the facts sit near an undefined boundary or intent element.",https://law.justia.com/codes/tennessee/title-39/chapter-13/part-9/section-39-13-903/,2026-08-02,High,Verified against the full pre-2026 statute and official enacted 2026 bill materials,"The 2024 online codification numbers this provision (a)(5). Public Chapter 868 renumbered it to (a)(6) effective July 1, 2026. No current enacted 2026 correctional exception was located."
TN-005,Tennessee,TN,47,Tennessee,State,Statewide,Tennessee General Assembly,Critical-infrastructure surveillance and data collection,"Tenn. Code Ann. § 39-13-903(a)(7), (b)(2), as renumbered by 2026 Tenn. Pub. Acts ch. 868",Binding statute or regulation,"July 1, 2016; renumbered July 1, 2026",2026 Tenn. Pub. Acts ch. 868,Current / in force,Binding,Critical infrastructure; surveillance; facility authorization,Any UAS operator,Using a UAS within 250 feet of specified critical-infrastructure perimeters to collect facility information or imagery,Class E felony prohibition with written-consent and commercial-FAA exceptions,"Business operator’s written consent, unless the stated FAA-authorized commercial-purpose exception applies",No,High,High,"Without the business operator’s written consent, § 39-13-903 prohibits knowingly using a UAS within 250 feet of a listed critical-infrastructure perimeter to surveil, gather evidence or information, or record critical-infrastructure data. Covered facilities include electric systems, refineries, hazardous-substance manufacturing, chemical and rubber plants, petroleum or chemical storage, water and wastewater treatment, natural-gas or propane infrastructure, nonpublic railroad facilities, and communications facilities. The Class E felony provision does not prohibit commercial UAS operations conducted in compliance with FAA authorization. Public Chapter 868 renumbered it to subdivision (a)(7) on July 1, 2026.","Treat written facility coordination as a pre-mobilization gate for work within Statewide; do not rely only on flight-app geofencing or a client's general site-access instruction. Include lost-link, return-to-home, emergency landing, sensor-direction, and observer controls that prevent an unintended facility overflight, prohibited capture, loitering, or interference.","Use the current named facility or administering agency application or request channel and provide the current fee. The packet identifies the approval as: Business operator’s written consent, unless the stated FAA-authorized commercial-purpose exception applies. Because the verified source does not establish a dependable review time for every case, confirm completeness, reviewer, lead time, approval duration, and field-contact expectations directly with the agency.",N/A — no procurement or equipment-selection implication identified,"Retain the current application, all attachments, written approval, conditions, amendments, and closeout records under Tenn. Code Ann. § 39-13-903(a)(7), (b)(2), as renumbered by 2026 Tenn. Pub. Acts ch. 868; a client's verbal direction should not substitute for the named authority's authorization. Escalate if the approving official, property boundary, operating dates, data rights, insurance terms, or ability to use a contractor is unclear.",https://law.justia.com/codes/tennessee/title-39/chapter-13/part-9/section-39-13-903/,2026-08-02,High,Verified against the full pre-2026 statute and official enacted 2026 renumbering materials,"The statute’s commercial-purpose clause is an exception to this state offense, not a substitute for property permission, client authorization, facility security rules, or other law."
TN-006,Tennessee,TN,47,Tennessee,State,Statewide,Tennessee General Assembly,Freedom from Unwarranted Surveillance Act — law-enforcement drone use and data,Tenn. Code Ann. § 39-13-609,Binding statute or regulation,"July 1, 2013","Amended effective March 1, 2024",Current / in force,Binding,Law enforcement; warrants; emergency use; retention; civil remedy,"State and local law-enforcement agencies, including local code-enforcement agencies",Using a drone to search for evidence or obtain information or data,"Warrant rule, enumerated exceptions, retention limit, exclusion rule, and civil remedy",Search warrant unless a recognized or enumerated statutory exception applies,Yes,High when acting for a law-enforcement client,Moderate,"Section 39-13-609 treats covered law-enforcement drone collection as a search and requires FAA compliance plus a warrant or recognized exception, unless an enumerated path applies. Those paths include specified threats, imminent danger, fugitive or hostage operations, missing-person searches, public-area crash investigation, crimes on public property, fire investigation, consent-based event security, declared natural disasters, and crime-scene investigation. Collected data generally must be deleted within 15 business days unless directly relevant to the lawful mission, investigation, or prosecution. Violations can trigger exclusion, destruction, damages, injunctions, and attorney fees.","This record does not directly regulate an ordinary privately controlled AEC flight, but it can govern a mission performed for or integrated into the named public agency's program. Define in the scope and flight plan who authorizes the mission, controls the aircraft, receives the data, and is responsible for the cited records or use restrictions.",N/A — no agency process involved,"Select capture and processing systems that support role-based access, exportable audit logs, configurable retention and deletion, defensible redaction, and delivery in the agency's required format. Confirm cloud hosting, backup replication, account ownership, and vendor deletion behavior before the platform is approved for covered data.","Treat Freedom from Unwarranted Surveillance Act — law-enforcement drone use and data as a documented stop-work or redesign trigger because the packet identifies criminal, civil, evidentiary, or damage exposure. The contract and flight record should preserve the site screening, authority or exception relied upon, crew briefing, and incident/escalation path; obtain counsel where the facts sit near an undefined boundary or intent element.",https://law.justia.com/codes/tennessee/title-39/chapter-13/part-6/section-39-13-609/,2026-08-02,High,Verified against the full current section text and official enacted-amendment history,The section defines law-enforcement agency broadly enough to include local code enforcement. Contractors should not assume that a public-client assignment itself establishes a warrant exception.
TN-007,Tennessee,TN,47,Tennessee,State,Statewide,Tennessee General Assembly; Tennessee Emergency Management Agency,Emergency-management and state-authority image capture and retention,"Tenn. Code Ann. § 39-13-902(a)(9), (22), (c)",Binding statute or regulation,"July 1, 2014; TEMA provision amended April 27, 2022",Current 2024 codification reviewed with the 2025–2026 enacted session,Current / in force,Binding,Emergency management; damage assessment; public contracts; retention,"TEMA, state or local authorities, and persons under contract with or acting for state authorities","UAS imaging for catastrophe assessment, declared emergencies, air-quality monitoring, disaster response, and preliminary damage assessment",Lawful-use authorization with agency-specific image-retention limits,Covered operator must be under contract with or acting under the direction of the relevant state authority where the statute so requires,Yes,High for emergency-management or state-authority contractors,High,"Section 39-13-902 authorizes state or local authorities and persons under contract with or acting for state authorities to capture imagery for catastrophe assessment, declared-emergency safety, property protection, damage or contamination assessment, and routine legally authorized air-quality monitoring. It separately authorizes TEMA emergency-management imagery, including disaster coordination and preliminary damage assessment. TEMA may retain damage-assessment images for no more than one year, or the FEMA-required period after a presidential major-disaster declaration, and may retain other images for no more than 15 business days. Incidental private-property imagery is governed by § 39-13-905.","This record does not directly regulate an ordinary privately controlled AEC flight, but it can govern a mission performed for or integrated into the named public agency's program. Define in the scope and flight plan who authorizes the mission, controls the aircraft, receives the data, and is responsible for the cited records or use restrictions.",N/A — no agency process involved,"Select capture and processing systems that support role-based access, exportable audit logs, configurable retention and deletion, defensible redaction, and delivery in the agency's required format. Confirm cloud hosting, backup replication, account ownership, and vendor deletion behavior before the platform is approved for covered data.","State in the contract whether the public agency or the consultant is the operator and data custodian, and allocate authorization, disclosure, retention, and records-request duties accordingly. Do not represent an agency-only power or exception as authority for a privately controlled flight unless the verified source and written mission authorization support that relationship.",https://law.justia.com/codes/tennessee/title-39/chapter-13/part-9/section-39-13-902/,2026-08-02,High,Verified against the full current statute text,The express retention deadlines in subsection (c) apply to TEMA. The statute does not state that the same deadlines govern every private commercial operator’s ordinary project imagery.
TN-008,Tennessee,TN,47,Tennessee,State,Statewide,Tennessee General Assembly,Unmanned aircraft surveillance over public K–12 school grounds,"Tenn. Code Ann. § 39-13-903(a)(5), as added by 2026 Tenn. Pub. Acts ch. 868 (SB 2434/HB 2147)",Binding statute or regulation,"July 1, 2026",2026 Tenn. Pub. Acts ch. 868,Current / in force,Binding,Schools; surveillance; permission; commercial exception,"Any UAS operator, subject to stated exceptions",Knowingly using a UAS over public K–12 school grounds with intent to conduct surveillance,Class C misdemeanor prohibition with permission and stated exceptions,"School-administrator, director-of-schools, or designee permission, unless a stated exception applies",No,High,High,"Effective July 1, 2026, Public Chapter 868 makes it a Class C misdemeanor to knowingly use an unmanned aircraft over the grounds of a public school serving any K–12 grade with intent to conduct surveillance of the school grounds, without permission from a school administrator, the director of schools, or the director’s designee. The enacted provision does not apply to a law-enforcement officer acting within lawful duties or to a commercial-purpose operator authorized by the FAA to conduct operations in that airspace.","Map the covered facility and conservative stand-off area during desktop planning for work within Statewide; do not rely only on flight-app geofencing or a client's general site-access instruction. Include lost-link, return-to-home, emergency landing, sensor-direction, and observer controls that prevent an unintended facility overflight, prohibited capture, loitering, or interference.",N/A — no agency process involved,N/A — no procurement or equipment-selection implication identified,"Treat Unmanned aircraft surveillance over public K–12 school grounds as a documented stop-work or redesign trigger because the packet identifies criminal, civil, evidentiary, or damage exposure. The contract and flight record should preserve the site screening, authority or exception relied upon, crew briefing, and incident/escalation path; obtain counsel where the facts sit near an undefined boundary or intent element.",https://wapp.capitol.tn.gov/apps/BillInfo/Default?BillNumber=SB2434&ga=114,2026-08-02,High,"Verified against the official enacted bill page, adopted-amendment summary, bill text, and Public Chapter status","The official public-chapter PDF host returned access controls during this pass. The General Assembly’s official bill page confirms enactment, effective date, and the adopted Senate and House amendments that narrowed the offense and added exceptions."
TN-009,Tennessee,TN,47,Tennessee,State,Statewide,Tennessee General Assembly,Public-agency drone procurement restrictions,"Tenn. Code Ann. §§ 4-56-112, 12-4-120",Binding statute or regulation,"July 1, 2023",Current 2024 codification reviewed with official 2025 code volume,Current / in force,Binding,Procurement; manufacturer restrictions; public contracts,"State agencies, counties, municipalities, local and law-enforcement agencies, public utilities, utility districts, and interlocal entities",Purchasing or acquiring drones through public contracts or agreements,Prohibited manufacturer source and void-contract consequence,No approval pathway stated for a prohibited purchase,Yes,High for vendors and public-client procurements,High,"Sections 4-56-112 and 12-4-120 prohibit state agencies and defined local or law-enforcement agencies from purchasing or acquiring a drone produced by a manufacturer banned under Section 889 of the National Defense Authorization Act for Fiscal Year 2019, as amended. The local-agency definition includes counties, municipalities, their branches or agencies, public utilities, utility districts, and interlocal entities. A contract or agreement for a purchase or acquisition that violates either section is void and unenforceable. The statutes regulate public acquisition and do not expressly prohibit every privately owned aircraft used by a consultant.","This record does not directly regulate an ordinary privately controlled AEC flight, but it can govern a mission performed for or integrated into the named public agency's program. Define in the scope and flight plan who authorizes the mission, controls the aircraft, receives the data, and is responsible for the cited records or use restrictions.",N/A — no agency process involved,"Treat Public-agency drone procurement restrictions as a time-sensitive eligibility check at solicitation and again before purchase or assignment to a public project. Maintain manufacturer and component attestations, model and serial inventories, software and data-hosting details, funding-source restrictions, and a replacement path; do not assume a restriction on a public owner automatically binds a consultant unless the contract says so.","State in the contract whether the public agency or the consultant is the operator and data custodian, and allocate authorization, disclosure, retention, and records-request duties accordingly. Do not represent an agency-only power or exception as authority for a privately controlled flight unless the verified source and written mission authorization support that relationship.",https://www.capitol.tn.gov/Archives/Joint/publications/TNCodeBills/2025/TNCodeBill_Volume1_2025.pdf,2026-08-02,High,Verified against the official Tennessee code volume and full current text of both sections,The statutes incorporate a changing federal manufacturer restriction by reference. Solicitations and contracts may impose additional current requirements; the source register does not infer a consultant flow-down that the statutes do not expressly state.
TN-010,Tennessee,TN,47,Tennessee state park areas and natural areas,State,All park areas and natural areas administered by the Tennessee Department of Environment and Conservation,Tennessee Department of Environment and Conservation,Unmanned Aircraft Systems in park areas and natural areas,Tenn. Comp. R. & Regs. 0400-02-02-.33,Binding statute or regulation,"April 11, 2021",Current quarterly rule text reviewed 2026-08-02,Current / in force,Binding,State parks; natural areas; flight permits; commercial operations,"Any person launching, landing, or operating a UAS in a state park area or natural area","Recreational or commercial UAS launch, landing, or operation on covered state lands",Authorized-flight-zone exception or discretionary written flight permit,Yes outside an Authorized Flight Zone; no permit or fee inside an Authorized Flight Zone,No,High,High,"Rule 0400-02-02-.33 prohibits UAS launch, landing, or operation in a Tennessee park area or natural area unless the entire activity stays inside an Authorized Flight Zone or the Commissioner first issues a signed UAS flight permit. An application must identify the pilot, times, locations, activity, impacts, purpose, FAA authority, liability acceptance, and requested additional information. Commercial applicants must state intended data or media use and may need liability insurance naming Tennessee as an additional insured. Permits are discretionary, location- and time-specific, revocable, and may carry fees and conditions. Official government contractors receive a stated exemption.","Treat property authorization for All park areas and natural areas administered by the Tennessee Department of Environment and Conservation as a pre-mobilization gate and obtain conditions that cover launch, landing, route, dates, aircraft, crew, and sensor purpose. Confirm whether the approval is site-wide or location-specific and carry the written authorization and field contact with the crew.","Use the current Tennessee Department of Environment and Conservation application or request channel and provide insurance evidence, a location map, pilot credentials, aircraft details. The packet identifies the approval as: Yes outside an Authorized Flight Zone; no permit or fee inside an Authorized Flight Zone. Because the verified source does not establish a dependable review time for every case, confirm completeness, reviewer, lead time, approval duration, and field-contact expectations directly with the agency.",N/A — no procurement or equipment-selection implication identified,"Retain the current application, all attachments, written approval, conditions, amendments, and closeout records under Tenn. Comp. R. & Regs. 0400-02-02-.33; a client's verbal direction should not substitute for the named authority's authorization. Escalate if the approving official, property boundary, operating dates, data rights, insurance terms, or ability to use a contractor is unclear.",https://www.law.cornell.edu/regulations/tennessee/Tenn-Comp-R-Regs-0400-02-02-.33,2026-08-02,High,Verified against the complete current quarterly rule text,The rule defines commercial purpose broadly to include GIS and scientific data collection and university or government research. The government-contractor exemption applies only to official government business. Separate collection permits apply to specimens or artifacts.
